# VHH-NNLO multi-axis scan points
# process: ZHH
# energy_tev: 14
# scan_axes: kappa_lambda,kappa_z
# windows: kappa_lambda=[-0.7,6.1]; kappa_z=[0.9,1.2]
# n_points: kappa_lambda:40,kappa_z:40
# fixed_kappa: 1,1,1,1
#
kappa_lambda	kappa_z	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo	sigma_lo_pdfas	sigma_lo_sup	sigma_lo_inf	sigma_nnlo_pdfas	sigma_nnlo_sup	sigma_nnlo_inf
-0.7	0.9	0.107797678	0.167376697	1.552692972	0.352854843	0.4010626715	0.00235622141	0.001839195314	0.001975936556	0.003108433453	0.0102082739	0.00786342004
-0.7	0.9076923077	0.1088781613	0.1694775281	1.55657963	0.356391596	0.4060966155	0.002379391006	0.001856655535	0.00199486155	0.003141683655	0.01041465305	0.008021704326
-0.7	0.9153846154	0.1100094216	0.1716755224	1.560552904	0.3600945577	0.411363379	0.002403833721	0.001875601321	0.002015240837	0.003176802341	0.01063090515	0.008187449995
-0.7	0.9230769231	0.111192376	0.1739716254	1.564600306	0.3639667299	0.4168652274	0.002429573511	0.00189606379	0.002037104307	0.003213818973	0.01085698651	0.00836062738
-0.7	0.9307692308	0.112427949	0.1763667928	1.568709511	0.3680111391	0.4226044506	0.002456634612	0.001918074306	0.002060482085	0.003252763362	0.01109285371	0.008541207039
-0.7	0.9384615385	0.1137170727	0.1788619903	1.5728684	0.3722308363	0.4285833627	0.002485041533	0.001941664476	0.002085404535	0.003293665648	0.0113384636	0.008729159751
-0.7	0.9461538462	0.1150606869	0.1814581936	1.577065099	0.3766288974	0.4348043019	0.002514819065	0.001966866153	0.002111902254	0.003336556274	0.01159377329	0.008924456521
-0.7	0.9538461538	0.1164597387	0.1841563888	1.581288013	0.3812084228	0.4412696306	0.002545992279	0.001993711434	0.002140006077	0.003381465959	0.01185874015	0.009127068575
-0.7	0.9615384615	0.1179151828	0.1869575718	1.585525862	0.3859725375	0.4479817356	0.00257858653	0.002022232661	0.002169747073	0.003428425681	0.01213332183	0.009336967366
-0.7	0.9692307692	0.1194279815	0.1898627489	1.589767712	0.3909243913	0.4549430277	0.002612627455	0.00205246242	0.002201156548	0.003477466655	0.01241747624	0.009554124567
-0.7	0.9769230769	0.1209991046	0.1928729363	1.594003005	0.3960671587	0.4621559421	0.002648140976	0.002084433542	0.002234266044	0.003528620316	0.01271116156	0.009778512078
-0.7	0.9846153846	0.1226295293	0.1959891604	1.598221582	0.4014040386	0.4696229382	0.002685153297	0.002118179101	0.00226910734	0.0035819183	0.01301433624	0.01001010202
