# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	1.402997406	1.75426645	1.250370416	4.592326765	4.204079718
-14.94987469	1.399329943	1.74979865	1.250454661	4.580322332	4.193372685
-14.89974937	1.39566248	1.745330849	1.250539349	4.568317898	4.182665652
-14.84962406	1.391995017	1.740863049	1.250624484	4.556313464	4.171958618
-14.79949875	1.388327553	1.736395249	1.250710068	4.544309031	4.161251585
-14.74937343	1.38466009	1.731927448	1.250796105	4.532304597	4.150544552
-14.69924812	1.380992627	1.727459648	1.2508826	4.520300164	4.139837518
-14.64912281	1.377325164	1.722991847	1.250969555	4.50829573	4.129130485
-14.59899749	1.373657701	1.718524047	1.251056974	4.496291296	4.118423452
-14.54887218	1.369990238	1.714056246	1.251144862	4.484286863	4.107716418
-14.49874687	1.366322774	1.709588446	1.251233221	4.472282429	4.097009385
-14.44862155	1.362655311	1.705120645	1.251322056	4.460277995	4.086302352
-14.39849624	1.358987848	1.700652845	1.25141137	4.448273562	4.075595318
-14.34837093	1.355320385	1.696185044	1.251501168	4.436269128	4.064888285
-14.29824561	1.351652922	1.691717244	1.251591453	4.424264695	4.054181252
-14.2481203	1.347985459	1.687249443	1.251682229	4.412260261	4.043474218
-14.19799499	1.344317995	1.682781643	1.251773501	4.400255827	4.032767185
-14.14786967	1.340650532	1.678313842	1.251865271	4.388251394	4.022060152
-14.09774436	1.336983069	1.673846042	1.251957546	4.37624696	4.011353119
-14.04761905	1.333315606	1.669378242	1.252050328	4.364242526	4.000646085
-13.99749373	1.329648143	1.664910441	1.252143622	4.352238093	3.989939052
-13.94736842	1.32598068	1.660442641	1.252237432	4.340233659	3.979232019
-13.89724311	1.322313216	1.65597484	1.252331762	4.328229225	3.968524985
-13.84711779	1.318645753	1.65150704	1.252426617	4.316224792	3.957817952
-13.79699248	1.31497829	1.647039239	1.252522001	4.304220358	3.947110919
-13.74686717	1.311310827	1.642571439	1.252617919	4.292215925	3.936403885
-13.69674185	1.307643364	1.638103638	1.252714374	4.280211491	3.925696852
-13.64661654	1.303975901	1.633635838	1.252811373	4.268207057	3.914989819
-13.59649123	1.300308437	1.629168037	1.252908918	4.256202624	3.904282785
-13.54636591	1.296640974	1.624700237	1.253007015	4.24419819	3.893575752
-13.4962406	1.292973511	1.620232436	1.253105669	4.232193756	3.882868719
-13.44611529	1.289306048	1.615764636	1.253204884	4.220189323	3.872161686
-13.39598997	1.285638585	1.611296835	1.253304665	4.208184889	3.861454652
-13.34586466	1.281971122	1.606829035	1.253405017	4.196180455	3.850747619
-13.29573935	1.278303658	1.602361235	1.253505944	4.184176022	3.840040586
-13.24561404	1.274636195	1.597893434	1.253607453	4.172171588	3.829333552
-13.19548872	1.270968732	1.593425634	1.253709547	4.160167155	3.818626519
-13.14536341	1.267301269	1.588957833	1.253812232	4.148162721	3.807919486
-13.0952381	1.263633806	1.584490033	1.253915514	4.136158287	3.797212452
-13.04511278	1.259966343	1.580022232	1.254019396	4.124153854	3.786505419
-12.99498747	1.256298879	1.575554432	1.254123885	4.11214942	3.775798386
-12.94486216	1.252631416	1.571086631	1.254228986	4.100144986	3.765091352
-12.89473684	1.248963953	1.566618831	1.254334704	4.088140553	3.754384319
-12.84461153	1.24529649	1.56215103	1.254441045	4.076136119	3.743677286
-12.79448622	1.241629027	1.55768323	1.254548014	4.064131685	3.732970252
-12.7443609	1.237961564	1.553215429	1.254655617	4.052127252	3.722263219
-12.69423559	1.2342941	1.548747629	1.254763859	4.040122818	3.711556186
-12.64411028	1.230626637	1.544279829	1.254872747	4.028118385	3.700849153
-12.59398496	1.226959174	1.539812028	1.254982285	4.016113951	3.690142119
-12.54385965	1.223291711	1.535344228	1.25509248	4.004109517	3.679435086
-12.49373434	1.219624248	1.530876427	1.255203338	3.992105084	3.668728053
-12.44360902	1.215956785	1.526408627	1.255314865	3.98010065	3.658021019
-12.39348371	1.212289321	1.521940826	1.255427066	3.968096216	3.647313986
-12.3433584	1.208621858	1.517473026	1.255539948	3.956091783	3.636606953
-12.29323308	1.204954395	1.513005225	1.255653518	3.944087349	3.625899919
-12.24310777	1.201286932	1.508537425	1.255767781	3.932082915	3.615192886
-12.19298246	1.197619469	1.504069624	1.255882744	3.920078482	3.604485853
-12.14285714	1.193952006	1.499601824	1.255998413	3.908074048	3.593778819
-12.09273183	1.190284542	1.495134023	1.256114794	3.896069615	3.583071786
-12.04260652	1.186617079	1.490666223	1.256231896	3.884065181	3.572364753
-11.9924812	1.182949616	1.486198422	1.256349723	3.872060747	3.56165772
-11.94235589	1.179282153	1.481730622	1.256468283	3.860056314	3.550950686
-11.89223058	1.17561469	1.477262822	1.256587583	3.84805188	3.540243653
-11.84210526	1.171947227	1.472795021	1.256707629	3.836047446	3.52953662
-11.79197995	1.168279764	1.468327221	1.25682843	3.824043013	3.518829586
-11.74185464	1.1646123	1.46385942	1.256949991	3.812038579	3.508122553
-11.69172932	1.160944837	1.45939162	1.25707232	3.800034145	3.49741552
-11.64160401	1.157277374	1.454923819	1.257195424	3.788029712	3.486708486
