# VHH-NNLO scan points
# process: ZHH
# energy_tev: 14
# scan_axis: kappa_lambda
# scan_x_key: kappa_lambda
# vmin: -0.7
# vmax: 6.1
# n_points: 400
# fixed_kappa: 1,1,1,1
#
kappa_lambda	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
-0.7	0.1260722306	0.2025438745	1.606570086	0.4126730554	0.4853291339
-0.6829573935	0.127027706	0.2036329548	1.603059373	0.4158006192	0.4879387532
-0.665914787	0.1280002612	0.2047435884	1.59955602	0.4189840903	0.4906000178
-0.6488721805	0.1289898961	0.2058757753	1.596061254	0.4222234688	0.4933129278
-0.6318295739	0.1299966108	0.2070295155	1.592576254	0.4255187547	0.4960774831
-0.6147869674	0.1310204053	0.208204809	1.589102159	0.4288699479	0.4988936837
-0.5977443609	0.1320612796	0.2094016559	1.585640064	0.4322770485	0.5017615297
-0.5807017544	0.1331192337	0.210620056	1.582191019	0.4357400564	0.504681021
-0.5636591479	0.1341942675	0.2118600094	1.578756033	0.4392589717	0.5076521576
-0.5466165414	0.1352863811	0.2131215162	1.575336071	0.4428337943	0.5106749395
-0.5295739348	0.1363955745	0.2144045762	1.571932058	0.4464645243	0.5137493668
-0.5125313283	0.1375218477	0.2157091895	1.568544876	0.4501511616	0.5168754395
-0.4954887218	0.1386652007	0.2170353562	1.565175366	0.4538937063	0.5200531574
-0.4784461153	0.1398256334	0.2183830761	1.561824329	0.4576921584	0.5232825207
-0.4614035088	0.1410031459	0.2197523494	1.558492528	0.4615465178	0.5265635294
-0.4443609023	0.1421977382	0.2211431759	1.555180685	0.4654567845	0.5298961833
-0.4273182957	0.1434094103	0.2225555558	1.551889484	0.4694229586	0.5332804826
-0.4102756892	0.1446381621	0.2239894889	1.548619573	0.4734450401	0.5367164273
-0.3932330827	0.1458839938	0.2254449754	1.545371562	0.4775230289	0.5402040172
-0.3761904762	0.1471469052	0.2269220152	1.542146027	0.4816569251	0.5437432525
-0.3591478697	0.1484268964	0.2284206082	1.538943506	0.4858467286	0.5473341332
-0.3421052632	0.1497239674	0.2299407546	1.535764505	0.4900924395	0.5509766592
-0.3250626566	0.1510381181	0.2314824543	1.532609497	0.4943940578	0.5546708305
-0.3080200501	0.1523693486	0.2330457073	1.529478923	0.4987515833	0.5584166471
-0.2909774436	0.153717659	0.2346305136	1.526373191	0.5031650163	0.5622141091
