# VHH-NNLO scan points
# process: ZHH
# energy_tev: 14
# scan_axis: kappa_t
# scan_x_key: kappa_t
# vmin: 0.85
# vmax: 1.15
# n_points: 400
# fixed_kappa: 1,1,1,1
#
kappa_t	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.85	0.3055014836	0.4123495594	1.349746504	1	0.988058785
0.8507518797	0.3055014836	0.4123748341	1.349829236	1	0.9881193475
0.8515037594	0.3055014836	0.4124000877	1.349911899	1	0.9881798594
0.8522556391	0.3055014836	0.4124253204	1.349994493	1	0.9882403212
0.8530075188	0.3055014836	0.4124505324	1.35007702	1	0.9883007333
0.8537593985	0.3055014836	0.4124757239	1.350159479	1	0.9883610963
0.8545112782	0.3055014836	0.4125008951	1.350241872	1	0.9884214107
0.8552631579	0.3055014836	0.4125260462	1.350324199	1	0.988481677
0.8560150376	0.3055014836	0.4125511774	1.350406462	1	0.9885418957
0.8567669173	0.3055014836	0.412576289	1.350488659	1	0.9886020672
0.857518797	0.3055014836	0.4126013811	1.350570794	1	0.9886621921
0.8582706767	0.3055014836	0.412626454	1.350652865	1	0.988722271
0.8590225564	0.3055014836	0.4126515079	1.350734874	1	0.9887823043
0.8597744361	0.3055014836	0.4126765429	1.350816821	1	0.9888422925
0.8605263158	0.3055014836	0.4127015594	1.350898708	1	0.9889022363
0.8612781955	0.3055014836	0.4127265576	1.350980535	1	0.988962136
0.8620300752	0.3055014836	0.4127515376	1.351062302	1	0.9890219923
0.8627819549	0.3055014836	0.4127764997	1.35114401	1	0.9890818057
0.8635338346	0.3055014836	0.4128014441	1.351225661	1	0.9891415767
0.8642857143	0.3055014836	0.412826371	1.351307255	1	0.9892013058
0.865037594	0.3055014836	0.4128512808	1.351388792	1	0.9892609937
0.8657894737	0.3055014836	0.4128761735	1.351470273	1	0.9893206408
0.8665413534	0.3055014836	0.4129010494	1.3515517	1	0.9893802478
0.8672932331	0.3055014836	0.4129259089	1.351633072	1	0.9894398151
0.8680451128	0.3055014836	0.412950752	1.351714392	1	0.9894993434
0.8687969925	0.3055014836	0.412975579	1.351795658	1	0.9895588332
0.8695488722	0.3055014836	0.4130003902	1.351876873	1	0.989618285
0.8703007519	0.3055014836	0.4130251859	1.351958036	1	0.9896776995
0.8710526316	0.3055014836	0.4130499662	1.35203915	1	0.9897370772
0.8718045113	0.3055014836	0.4130747313	1.352120214	1	0.9897964188
0.872556391	0.3055014836	0.4130994816	1.352201229	1	0.9898557246
