# VHH-NNLO scan points
# process: ZHH
# energy_tev: 14
# scan_axis: kappa_z
# scan_x_key: kappa_z
# vmin: 0.9
# vmax: 1.2
# n_points: 400
# fixed_kappa: 1,1,1,1
#
kappa_z	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.9	0.2716687664	0.3624767305	1.334259861	0.889255146	0.8685551125
0.9007518797	0.2718925879	0.3628355313	1.334481142	0.8899877823	0.8694148593
0.9015037594	0.2721168369	0.3631951039	1.334702799	0.890721818	0.8702764557
0.9022556391	0.2723415141	0.3635554493	1.334924829	0.8914572556	0.8711399039
0.9030075188	0.2725666205	0.3639165684	1.33514723	0.8921940978	0.8720052059
0.9037593985	0.2727921568	0.3642784621	1.335369999	0.8929323471	0.872872364
0.9045112782	0.2730181237	0.3646411313	1.335593134	0.8936720061	0.8737413804
0.9052631579	0.2732445221	0.365004577	1.335816631	0.8944130774	0.8746122572
0.9060150376	0.2734713527	0.3653688	1.33604049	0.8951555636	0.8754849967
0.9067669173	0.2736986164	0.3657338013	1.336264706	0.8958994674	0.876359601
0.907518797	0.273926314	0.3660995817	1.336489278	0.8966447913	0.8772360724
0.9082706767	0.2741544462	0.3664661423	1.336714204	0.897391538	0.878114413
0.9090225564	0.2743830139	0.3668334838	1.33693948	0.89813971	0.878994625
0.9097744361	0.2746120178	0.3672016073	1.337165104	0.8988893099	0.8798767107
0.9105263158	0.2748414587	0.3675705137	1.337391074	0.8996403405	0.8807606723
0.9112781955	0.2750713375	0.3679402038	1.337617387	0.9003928042	0.8816465119
0.9120300752	0.2753016549	0.3683106786	1.337844041	0.9011467038	0.8825342317
0.9127819549	0.2755324118	0.368681939	1.338071033	0.9019020418	0.883423834
0.9135338346	0.2757636089	0.369053986	1.338298362	0.9026588208	0.8843153211
0.9142857143	0.2759952471	0.3694268204	1.338526023	0.9034170436	0.885208695
0.915037594	0.2762273271	0.3698004433	1.338754015	0.9041767126	0.886103958
0.9157894737	0.2764598498	0.3701748554	1.338982336	0.9049378306	0.8870011124
0.9165413534	0.2766928159	0.3705500578	1.339210982	0.9057004002	0.8879001604
0.9172932331	0.2769262263	0.3709260514	1.339439952	0.9064644239	0.8888011041
0.9180451128	0.2771600818	0.3713028371	1.339669243	0.9072299046	0.8897039459
0.9187969925	0.2773943831	0.3716804158	1.339898853	0.9079968447	0.8906086879
0.9195488722	0.2776291311	0.3720587885	1.340128779	0.9087652469	0.8915153324
0.9203007519	0.2778643267	0.372437956	1.340359018	0.9095351139	0.8924238816
0.9210526316	0.2780999705	0.3728179195	1.340589569	0.9103064484	0.8933343377
0.9218045113	0.2783360634	0.3731986796	1.340820428	0.9110792528	0.894246703
0.922556391	0.2785726062	0.3735802375	1.341051594	0.9118535301	0.8951609798
0.9233082707	0.2788095998	0.373962594	1.341283063	0.9126292826	0.8960771702
0.9240601504	0.2790470449	0.3743457501	1.341514834	0.9134065132	0.8969952765
0.9248120301	0.2792849423	0.3747297067	1.341746904	0.9141852245	0.897915301
0.9255639098	0.279523293	0.3751144648	1.34197927	0.9149654191	0.8988372459
0.9263157895	0.2797620976	0.3755000252	1.342211931	0.9157470998	0.8997611134
0.9270676692	0.2800013569	0.375886389	1.342444883	0.9165302691	0.9006869059
0.9278195489	0.2802410719	0.376273557	1.342678125	0.9173149297	0.9016146255
0.9285714286	0.2804812433	0.3766615303	1.342911653	0.9181010843	0.9025442746
0.9293233083	0.280721872	0.3770503097	1.343145466	0.9188887356	0.9034758553
0.930075188	0.2809629587	0.3774398962	1.343379561	0.9196778863	0.90440937
0.9308270677	0.2812045042	0.3778302907	1.343613936	0.920468539	0.9053448209
0.9315789474	0.2814465095	0.3782214943	1.343848588	0.9212606963	0.9062822103
0.9323308271	0.2816889752	0.3786135077	1.344083514	0.9220543611	0.9072215404
0.9330827068	0.2819319023	0.3790063321	1.344318713	0.9228495359	0.9081628136
0.9338345865	0.2821752916	0.3793999683	1.344554182	0.9236462234	0.909106032
0.9345864662	0.2824191438	0.3797944173	1.344789918	0.9244444264	0.910051198
0.9353383459	0.2826634597	0.38018968	1.34502592	0.9252441475	0.9109983138
0.9360902256	0.2829082403	0.3805857574	1.345262185	0.9260453895	0.9119473818
0.9368421053	0.2831534864	0.3809826505	1.345498709	0.9268481549	0.9128984042
0.937593985	0.2833991986	0.3813803601	1.345735492	0.9276524465	0.9138513833
0.9383458647	0.283645378	0.3817788873	1.345972531	0.928458267	0.9148063213
0.9390977444	0.2838920253	0.382178233	1.346209823	0.9292656191	0.9157632207
0.9398496241	0.2841391413	0.3825783981	1.346447365	0.9300745055	0.9167220835
0.9406015038	0.2843867268	0.3829793837	1.346685156	0.930884929	0.9176829123
0.9413533835	0.2846347828	0.3833811906	1.346923194	0.9316968921	0.9186457092
0.9421052632	0.2848833099	0.3837838199	1.347161475	0.9325103976	0.9196104765
0.9428571429	0.2851323091	0.3841872724	1.347399997	0.9333254483	0.9205772166
0.9436090226	0.2853817812	0.3845915493	1.347638758	0.9341420468	0.9215459317
0.9443609023	0.2856317269	0.3849966513	1.347877756	0.9349601959	0.9225166241
0.945112782	0.2858821472	0.3854025795	1.348116989	0.9357798983	0.9234892963
0.9458646617	0.2861330429	0.3858093348	1.348356453	0.9366011567	0.9244639504
0.9466165414	0.2863844147	0.3862169183	1.348596147	0.9374239738	0.9254405887
0.9473684211	0.2866362636	0.3866253308	1.348836068	0.9382483523	0.9264192137
0.9481203008	0.2868885903	0.3870345733	1.349076214	0.939074295	0.9273998276
0.9488721805	0.2871413957	0.3874446469	1.349316583	0.9399018046	0.9283824327
0.9496240602	0.2873946807	0.3878555524	1.349557172	0.9407308839	0.9293670313
0.9503759398	0.287648446	0.3882672909	1.349797978	0.9415615355	0.9303536258
0.9511278195	0.2879026925	0.3886798632	1.350039001	0.9423937622	0.9313422185
0.9518796992	0.288157421	0.3890932705	1.350280236	0.9432275667	0.9323328117
0.9526315789	0.2884126324	0.3895075136	1.350521683	0.9440629519	0.9333254077
0.9533834586	0.2886683275	0.3899225935	1.350763338	0.9448999204	0.9343200089
0.9541353383	0.2889245071	0.3903385113	1.351005199	0.9457384749	0.9353166177
0.954887218	0.2891811722	0.3907552678	1.351247264	0.9465786182	0.9363152363
0.9556390977	0.2894383235	0.391172864	1.351489531	0.9474203532	0.937315867
0.9563909774	0.2896959618	0.391591301	1.351731997	0.9482636824	0.9383185123
0.9571428571	0.289954088	0.3920105797	1.35197466	0.9491086087	0.9393231744
0.9578947368	0.290212703	0.3924307011	1.352217518	0.9499551349	0.9403298558
0.9586466165	0.2904718076	0.3928516661	1.352460569	0.9508032636	0.9413385587
0.9593984962	0.2907314026	0.3932734758	1.352703809	0.9516529977	0.9423492855
0.9601503759	0.2909914889	0.3936961311	1.352947237	0.9525043399	0.9433620385
0.9609022556	0.2912520674	0.394119633	1.353190851	0.953357293	0.9443768202
0.9616541353	0.2915131388	0.3945439824	1.353434648	0.9542118597	0.9453936328
0.962406015	0.291774704	0.3949691805	1.353678626	0.9550680428	0.9464124787
0.9631578947	0.2920367639	0.3953952281	1.353922783	0.9559258452	0.9474333603
0.9639097744	0.2922993193	0.3958221263	1.354167116	0.9567852694	0.94845628
0.9646616541	0.292562371	0.3962498759	1.354411624	0.9576463185	0.94948124
0.9654135338	0.29282592	0.3966784781	1.354656303	0.958508995	0.9505082429
0.9661654135	0.293089967	0.3971079338	1.354901152	0.9593733018	0.9515372908
0.9669172932	0.2933545129	0.397538244	1.355146168	0.9602392418	0.9525683863
0.9676691729	0.2936195586	0.3979694097	1.355391349	0.9611068175	0.9536015316
0.9684210526	0.2938851049	0.3984014318	1.355636693	0.961976032	0.9546367292
0.9691729323	0.2941511527	0.3988343114	1.355882198	0.9628468879	0.9556739815
0.969924812	0.2944177028	0.3992680495	1.356127861	0.963719388	0.9567132907
0.9706766917	0.294684756	0.399702647	1.35637368	0.9645935351	0.9577546594
0.9714285714	0.2949523133	0.400138105	1.356619653	0.9654693321	0.9587980898
0.9721804511	0.2952203755	0.4005744244	1.356865778	0.9663467817	0.9598435844
0.9729323308	0.2954889433	0.4010116063	1.357112052	0.9672258867	0.9608911455
0.9736842105	0.2957580178	0.4014496516	1.357358473	0.96810665	0.9619407756
0.9744360902	0.2960275998	0.4018885613	1.35760504	0.9689890743	0.962992477
0.9751879699	0.29629769	0.4023283365	1.357851749	0.9698731625	0.9640462521
0.9759398496	0.2965682894	0.4027689781	1.358098598	0.9707589173	0.9651021034
0.9766917293	0.2968393988	0.4032104871	1.358345586	0.9716463415	0.9661600332
0.977443609	0.2971110192	0.4036528646	1.35859271	0.9725354381	0.9672200439
0.9781954887	0.2973831512	0.4040961115	1.358839967	0.9734262097	0.968282138
0.9789473684	0.2976557959	0.4045402289	1.359087357	0.9743186593	0.9693463178
0.9796992481	0.297928954	0.4049852177	1.359334876	0.9752127896	0.9704125858
0.9804511278	0.2982026265	0.405431079	1.359582522	0.9761086035	0.9714809443
0.9812030075	0.2984768142	0.4058778137	1.359830293	0.9770061038	0.9725513957
0.9819548872	0.2987515179	0.406325423	1.360078188	0.9779052933	0.9736239426
0.9827067669	0.2990267385	0.4067739077	1.360326202	0.9788061748	0.9746985873
0.9834586466	0.299302477	0.4072232689	1.360574336	0.9797087512	0.9757753321
0.9842105263	0.2995787341	0.4076735076	1.360822586	0.9806130254	0.9768541797
0.984962406	0.2998555107	0.4081246248	1.36107095	0.9815190001	0.9779351323
0.9857142857	0.3001328077	0.4085766215	1.361319426	0.9824266782	0.9790181923
0.9864661654	0.3004106259	0.4090294988	1.361568012	0.9833360625	0.9801033623
0.9872180451	0.3006889663	0.4094832576	1.361816706	0.9842471559	0.9811906447
0.9879699248	0.3009678297	0.409937899	1.362065505	0.9851599613	0.9822800418
0.9887218045	0.301247217	0.410393424	1.362314408	0.9860744814	0.9833715562
0.9894736842	0.301527129	0.4108498336	1.362563412	0.9869907191	0.9844651902
0.9902255639	0.3018075666	0.4113071288	1.362812515	0.9879086773	0.9855609463
0.9909774436	0.3020885306	0.4117653107	1.363061715	0.9888283589	0.9866588269
0.9917293233	0.3023700221	0.4122243802	1.36331101	0.9897497666	0.9877588346
0.992481203	0.3026520417	0.4126843383	1.363560398	0.9906729034	0.9888609716
0.9932330827	0.3029345905	0.4131451862	1.363809876	0.9915977721	0.9899652405
0.9939849624	0.3032176692	0.4136069248	1.364059442	0.9925243756	0.9910716437
0.9947368421	0.3035012788	0.4140695552	1.364309095	0.9934527167	0.9921801838
0.9954887218	0.3037854201	0.4145330783	1.364558833	0.9943827984	0.993290863
0.9962406015	0.3040700941	0.4149974952	1.364808652	0.9953146234	0.9944036839
0.9969924812	0.3043553015	0.415462807	1.365058551	0.9962481947	0.995518649
0.9977443609	0.3046410433	0.4159290146	1.365308529	0.9971835151	0.9966357607
0.9984962406	0.3049273203	0.416396119	1.365558582	0.9981205876	0.9977550214
0.9992481203	0.3052141334	0.4168641214	1.365808709	0.9990594149	0.9988764337
1	0.3055014836	0.4173330227	1.366058907	1	1
1.00075188	0.3057893716	0.417802824	1.366309175	1.000942346	1.001125723
1.001503759	0.3060777984	0.4182735263	1.36655951	1.001886455	1.002253604
1.002255639	0.3063667648	0.4187451306	1.366809911	1.002832331	1.003383648
1.003007519	0.3066562718	0.419217638	1.367060375	1.003779976	1.004515855
1.003759398	0.3069463202	0.4196910495	1.367310901	1.004729393	1.005650228
1.004511278	0.3072369109	0.4201653661	1.367561485	1.005680586	1.00678677
1.005263158	0.3075280448	0.4206405889	1.367812127	1.006633556	1.007925484
1.006015038	0.3078197227	0.4211167189	1.368062823	1.007588307	1.009066371
1.006766917	0.3081119456	0.4215937571	1.368313573	1.008544842	1.010209435
1.007518797	0.3084047144	0.4220717047	1.368564373	1.009503164	1.011354678
1.008270677	0.3086980298	0.4225505625	1.368815223	1.010463276	1.012502101
1.009022556	0.3089918929	0.4230303318	1.369066119	1.01142518	1.013651709
1.009774436	0.3092863046	0.4235110134	1.36931706	1.012388879	1.014803503
1.010526316	0.3095812656	0.4239926085	1.369568044	1.013354377	1.015957486
1.011278195	0.3098767769	0.4244751181	1.369819069	1.014321676	1.01711366
1.012030075	0.3101728394	0.4249585432	1.370070133	1.01529078	1.018272028
1.012781955	0.310469454	0.4254428849	1.370321233	1.01626169	1.019432592
1.013533835	0.3107666215	0.4259281443	1.370572368	1.01723441	1.020595355
1.014285714	0.3110643429	0.4264143223	1.370823535	1.018208944	1.021760319
1.015037594	0.3113626191	0.4269014201	1.371074734	1.019185293	1.022927487
1.015789474	0.3116614509	0.4273894386	1.371325961	1.020163461	1.024096861
1.016541353	0.3119608393	0.427878379	1.371577215	1.021143451	1.025268444
1.017293233	0.3122607851	0.4283682422	1.371828493	1.022125266	1.026442239
1.018045113	0.3125612893	0.4288590294	1.372079794	1.023108908	1.027618247
1.018796992	0.3128623527	0.4293507416	1.372331116	1.024094381	1.028796472
1.019548872	0.3131639762	0.4298433798	1.372582457	1.025081687	1.029976916
1.020300752	0.3134661608	0.4303369451	1.372833814	1.02607083	1.031159582
1.021052632	0.3137689073	0.4308314386	1.373085187	1.027061812	1.032344471
1.021804511	0.3140722166	0.4313268612	1.373336572	1.028054636	1.033531587
1.022556391	0.3143760897	0.4318232141	1.373587968	1.029049306	1.034720932
1.023308271	0.3146805274	0.4323204984	1.373839373	1.030045824	1.035912508
1.02406015	0.3149855307	0.432818715	1.374090785	1.031044193	1.037106319
1.02481203	0.3152911004	0.4333178651	1.374342202	1.032044417	1.038302366
1.02556391	0.3155972375	0.4338179496	1.374593622	1.033046497	1.039500653
1.026315789	0.3159039428	0.4343189698	1.374845043	1.034050438	1.040701181
1.027067669	0.3162112173	0.4348209266	1.375096463	1.035056241	1.041903954
1.027819549	0.3165190618	0.435323821	1.375347881	1.036063911	1.043108974
1.028571429	0.3168274773	0.4358276542	1.375599294	1.037073449	1.044316243
1.029323308	0.3171364647	0.4363324273	1.375850701	1.03808486	1.045525764
1.030075188	0.3174460249	0.4368381412	1.376102099	1.039098145	1.046737539
1.030827068	0.3177561588	0.4373447971	1.376353487	1.040113308	1.047951572
1.031578947	0.3180668673	0.437852396	1.376604862	1.041130353	1.049167864
1.032330827	0.3183781513	0.438360939	1.376856224	1.042149281	1.050386418
1.033082707	0.3186900117	0.4388704272	1.377107569	1.043170095	1.051607238
1.033834586	0.3190024495	0.4393808616	1.377358896	1.0441928	1.052830324
1.034586466	0.3193154655	0.4398922434	1.377610203	1.045217397	1.054055681
1.035338346	0.3196290607	0.4404045735	1.377861489	1.04624389	1.05528331
1.036090226	0.319943236	0.4409178531	1.378112751	1.047272282	1.056513214
1.036842105	0.3202579922	0.4414320832	1.378363987	1.048302576	1.057745396
1.037593985	0.3205733304	0.4419472649	1.378615197	1.049334775	1.058979857
1.038345865	0.3208892514	0.4424633993	1.378866377	1.050368881	1.060216602
1.039097744	0.3212057561	0.4429804875	1.379117525	1.051404898	1.061455632
1.039849624	0.3215228455	0.4434985305	1.379368641	1.052442829	1.06269695
1.040601504	0.3218405204	0.4440175295	1.379619722	1.053482676	1.063940559
1.041353383	0.3221587819	0.4445374854	1.379870767	1.054524443	1.065186461
1.042105263	0.3224776307	0.4450583994	1.380121773	1.055568133	1.066434658
1.042857143	0.3227970679	0.4455802726	1.380372739	1.056613749	1.067685154
1.043609023	0.3231170944	0.4461031061	1.380623662	1.057661294	1.068937951
1.044360902	0.323437711	0.4466269009	1.380874542	1.05871077	1.070193051
1.045112782	0.3237589187	0.4471516581	1.381125375	1.059762181	1.071450457
1.045864662	0.3240807184	0.4476773788	1.381376162	1.060815531	1.072710173
1.046616541	0.324403111	0.4482040641	1.381626898	1.061870821	1.073972199
1.047368421	0.3247260976	0.4487317151	1.381877584	1.062928054	1.075236539
1.048120301	0.3250496789	0.4492603329	1.382128216	1.063987235	1.076503196
1.04887218	0.3253738559	0.4497899185	1.382378794	1.065048366	1.077772172
1.04962406	0.3256986295	0.4503204731	1.382629315	1.06611145	1.07904347
1.05037594	0.3260240008	0.4508519977	1.382879778	1.067176489	1.080317093
1.05112782	0.3263499705	0.4513844935	1.38313018	1.068243488	1.081593042
1.051879699	0.3266765396	0.4519179615	1.383380521	1.069312449	1.082871321
1.052631579	0.3270037091	0.4524524028	1.383630798	1.070383375	1.084151932
1.053383459	0.3273314799	0.4529878186	1.383881009	1.071456269	1.085434878
1.054135338	0.3276598528	0.4535242098	1.384131153	1.072531135	1.086720161
