# VHH-NNLO scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: kappa_2w
# scan_x_key: kappa_2w
# vmin: 0.7
# vmax: 1.3
# n_points: 400
# fixed_kappa: 1,1,1
#
kappa_2w	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.7	0.1113087879	0.1301982952	1.169703648	0.6961457465	0.6957458483
0.7015037594	0.11151591	0.1304403294	1.16970152	0.6974411264	0.6970392159
0.7030075188	0.1117233989	0.1306828004	1.169699469	0.6987388006	0.6983349181
0.7045112782	0.1119312547	0.1309257084	1.169697496	0.700038769	0.699632955
0.7060150376	0.1121394773	0.1311690532	1.1696956	0.7013410316	0.7009333265
0.707518797	0.1123480667	0.1314128349	1.169693781	0.7026455883	0.7022360328
0.7090225564	0.1125570229	0.1316570536	1.169692038	0.7039524393	0.7035410737
0.7105263158	0.112766346	0.1319017091	1.169690371	0.7052615844	0.7048484492
0.7120300752	0.1129760359	0.1321468015	1.169688779	0.7065730238	0.7061581595
0.7135338346	0.1131860926	0.1323923308	1.169687263	0.7078867573	0.7074702044
0.715037594	0.1133965161	0.1326382971	1.169685821	0.7092027851	0.7087845839
0.7165413534	0.1136073065	0.1328847002	1.169684453	0.710521107	0.7101012982
0.7180451128	0.1138184637	0.1331315402	1.169683159	0.7118417232	0.7114203471
0.7195488722	0.1140299877	0.1333788171	1.169681939	0.7131646335	0.7127417307
0.7210526316	0.1142418786	0.1336265309	1.169680792	0.7144898381	0.7140654489
0.722556391	0.1144541362	0.1338746817	1.169679717	0.7158173368	0.7153915018
0.7240601504	0.1146667607	0.1341232693	1.169678714	0.7171471297	0.7167198894
0.7255639098	0.1148797521	0.1343722938	1.169677784	0.7184792168	0.7180506117
0.7270676692	0.1150931102	0.1346217552	1.169676925	0.7198135981	0.7193836686
0.7285714286	0.1153068352	0.1348716535	1.169676137	0.7211502737	0.7207190602
0.730075188	0.115520927	0.1351219887	1.169675419	0.7224892434	0.7220567865
0.7315789474	0.1157353856	0.1353727608	1.169674772	0.7238305073	0.7233968474
0.7330827068	0.115950211	0.1356239698	1.169674195	0.7251740654	0.724739243
0.7345864662	0.1161654033	0.1358756157	1.169673688	0.7265199177	0.7260839733
0.7360902256	0.1163809624	0.1361276985	1.16967325	0.7278680642	0.7274310382
0.737593985	0.1165968884	0.1363802182	1.16967288	0.7292185049	0.7287804378
0.7390977444	0.1168131811	0.1366331748	1.169672579	0.7305712398	0.7301321721
0.7406015038	0.1170298407	0.1368865683	1.169672346	0.7319262688	0.731486241
0.7421052632	0.1172468671	0.1371403987	1.16967218	0.7332835921	0.7328426447
0.7436090226	0.1174642603	0.137394666	1.169672082	0.7346432096	0.7342013829
0.745112782	0.1176820204	0.1376493701	1.169672051	0.7360051213	0.7355624559
0.7466165414	0.1179001473	0.1379045112	1.169672086	0.7373693271	0.7369258635
0.7481203008	0.118118641	0.1381600892	1.169672188	0.7387358272	0.7382916058
0.7496240602	0.1183375015	0.1384161041	1.169672355	0.7401046215	0.7396596828
0.7511278195	0.1185567289	0.1386725559	1.169672588	0.7414757099	0.7410300944
0.7526315789	0.1187763231	0.1389294445	1.169672886	0.7428490926	0.7424028407
0.7541353383	0.1189962841	0.1391867701	1.169673248	0.7442247694	0.7437779217
0.7556390977	0.1192166119	0.1394445326	1.169673675	0.7456027405	0.7451553373
0.7571428571	0.1194373066	0.1397027319	1.169674166	0.7469830057	0.7465350876
0.7586466165	0.1196583681	0.1399613682	1.16967472	0.7483655652	0.7479171726
0.7601503759	0.1198797964	0.1402204414	1.169675338	0.7497504188	0.7493015923
0.7616541353	0.1201015915	0.1404799514	1.169676019	0.7511375666	0.7506883466
0.7631578947	0.1203237535	0.1407398984	1.169676762	0.7525270087	0.7520774356
0.7646616541	0.1205462823	0.1410002822	1.169677568	0.7539187449	0.7534688592
0.7661654135	0.1207691779	0.141261103	1.169678435	0.7553127753	0.7548626176
0.7676691729	0.1209924403	0.1415223607	1.169679364	0.7567090999	0.7562587105
0.7691729323	0.1212160696	0.1417840552	1.169680354	0.7581077188	0.7576571382
0.7706766917	0.1214400657	0.1420461867	1.169681405	0.7595086318	0.7590579005
0.7721804511	0.1216644286	0.142308755	1.169682516	0.760911839	0.7604609975
0.7736842105	0.1218891584	0.1425717602	1.169683688	0.7623173404	0.7618664292
0.7751879699	0.1221142549	0.1428352024	1.169684919	0.763725136	0.7632741956
0.7766917293	0.1223397183	0.1430990814	1.16968621	0.7651352258	0.7646842966
0.7781954887	0.1225655486	0.1433633974	1.169687559	0.7665476098	0.7660967322
0.7796992481	0.1227917456	0.1436281502	1.169688968	0.767962288	0.7675115026
0.7812030075	0.1230183095	0.1438933399	1.169690435	0.7693792603	0.7689286076
0.7827067669	0.1232452402	0.1441589666	1.16969196	0.7707985269	0.7703480473
0.7842105263	0.1234725377	0.1444250301	1.169693543	0.7722200877	0.7717698217
0.7857142857	0.1237002021	0.1446915305	1.169695183	0.7736439427	0.7731939307
0.7872180451	0.1239282333	0.1449584679	1.169696881	0.7750700919	0.7746203744
0.7887218045	0.1241566313	0.1452258421	1.169698635	0.7764985352	0.7760491527
0.7902255639	0.1243853961	0.1454936532	1.169700445	0.7779292728	0.7774802658
0.7917293233	0.1246145278	0.1457619012	1.169702312	0.7793623045	0.7789137135
0.7932330827	0.1248440262	0.1460305862	1.169704235	0.7807976305	0.7803494958
0.7947368421	0.1250738915	0.146299708	1.169706213	0.7822352507	0.7817876129
0.7962406015	0.1253041237	0.1465692667	1.169708246	0.783675165	0.7832280646
0.7977443609	0.1255347226	0.1468392623	1.169710334	0.7851173735	0.784670851
0.7992481203	0.1257656884	0.1471096948	1.169712476	0.7865618763	0.786115972
0.8007518797	0.125997021	0.1473805642	1.169714673	0.7880086732	0.7875634277
0.8022556391	0.1262287205	0.1476518705	1.169716923	0.7894577644	0.7890132181
0.8037593985	0.1264607867	0.1479236137	1.169719227	0.7909091497	0.7904653432
0.8052631579	0.1266932198	0.1481957938	1.169721584	0.7923628292	0.7919198029
0.8067669173	0.1269260197	0.1484684108	1.169723995	0.7938188029	0.7933765973
0.8082706767	0.1271591865	0.1487414647	1.169726457	0.7952770709	0.7948357263
0.8097744361	0.12739272	0.1490149555	1.169728973	0.796737633	0.7962971901
0.8112781955	0.1276266204	0.1492888832	1.16973154	0.7982004893	0.7977609885
0.8127819549	0.1278608877	0.1495632478	1.169734158	0.7996656398	0.7992271215
0.8142857143	0.1280955217	0.1498380493	1.169736829	0.8011330845	0.8006955893
0.8157894737	0.1283305226	0.1501132877	1.16973955	0.8026028234	0.8021663917
0.8172932331	0.1285658903	0.150388963	1.169742322	0.8040748565	0.8036395288
0.8187969925	0.1288016248	0.1506650752	1.169745144	0.8055491838	0.8051150005
0.8203007519	0.1290377261	0.1509416243	1.169748017	0.8070258053	0.8065928069
0.8218045113	0.1292741943	0.1512186102	1.169750939	0.808504721	0.808072948
0.8233082707	0.1295110293	0.1514960331	1.169753912	0.8099859308	0.8095554238
0.8248120301	0.1297482311	0.1517738929	1.169756933	0.8114694349	0.8110402342
0.8263157895	0.1299857998	0.1520521896	1.169760003	0.8129552332	0.8125273793
0.8278195489	0.1302237352	0.1523309231	1.169763122	0.8144433257	0.8140168591
0.8293233083	0.1304620375	0.1526100936	1.16976629	0.8159337123	0.8155086735
0.8308270677	0.1307007067	0.152889701	1.169769505	0.8174263932	0.8170028226
0.8323308271	0.1309397426	0.1531697452	1.169772768	0.8189213683	0.8184993064
0.8338345865	0.1311791454	0.1534502264	1.169776079	0.8204186375	0.8199981248
0.8353383459	0.131418915	0.1537311445	1.169779437	0.821918201	0.8214992779
0.8368421053	0.1316590514	0.1540124994	1.169782842	0.8234200586	0.8230027657
0.8383458647	0.1318995547	0.1542942913	1.169786294	0.8249242105	0.8245085881
0.8398496241	0.1321404248	0.15457652	1.169789792	0.8264306565	0.8260167452
0.8413533835	0.1323816617	0.1548591857	1.169793336	0.8279393968	0.827527237
0.8428571429	0.1326232654	0.1551422882	1.169796926	0.8294504312	0.8290400635
0.8443609023	0.132865236	0.1554258277	1.169800562	0.8309637598	0.8305552246
0.8458646617	0.1331075734	0.155709804	1.169804243	0.8324793826	0.8320727204
0.8473684211	0.1333502776	0.1559942173	1.169807968	0.8339972997	0.8335925509
0.8488721805	0.1335933486	0.1562790674	1.169811739	0.8355175109	0.835114716
0.8503759398	0.1338367865	0.1565643545	1.169815554	0.8370400163	0.8366392158
0.8518796992	0.1340805912	0.1568500784	1.169819413	0.8385648159	0.8381660503
0.8533834586	0.1343247627	0.1571362393	1.169823316	0.8400919097	0.8396952194
0.854887218	0.134569301	0.157422837	1.169827262	0.8416212977	0.8412267232
0.8563909774	0.1348142062	0.1577098716	1.169831252	0.8431529799	0.8427605617
0.8578947368	0.1350594782	0.1579973432	1.169835285	0.8446869563	0.8442967348
0.8593984962	0.135305117	0.1582852516	1.169839361	0.8462232269	0.8458352426
0.8609022556	0.1355511226	0.1585735969	1.169843479	0.8477617917	0.8473760851
0.862406015	0.1357974951	0.1588623791	1.16984764	0.8493026507	0.8489192623
0.8639097744	0.1360442344	0.1591515983	1.169851842	0.8508458039	0.8504647741
