# VHH-NNLO scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: kappa_lambda
# scan_x_key: kappa_lambda
# vmin: -0.7
# vmax: 6.1
# n_points: 400
# fixed_kappa: 1,1,1
#
kappa_lambda	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
-0.7	0.06257272985	0.07387579758	1.180638878	0.3913414256	0.3947730603
-0.6829573935	0.06304480554	0.07442237765	1.180468034	0.3942938743	0.3976938422
-0.665914787	0.06352708003	0.07498088379	1.180297973	0.3973101081	0.4006783538
-0.6488721805	0.06401955332	0.07555131598	1.180128759	0.4003901272	0.4037265952
-0.6318295739	0.0645222254	0.07613367423	1.179960452	0.4035339313	0.4068385663
-0.6147869674	0.06503509627	0.07672795853	1.179793111	0.4067415206	0.4100142671
-0.5977443609	0.06555816594	0.0773341689	1.179626791	0.4100128951	0.4132536977
-0.5807017544	0.0660914344	0.07795230531	1.179461545	0.4133480547	0.4165568581
-0.5636591479	0.06663490166	0.07858236778	1.179297423	0.4167469994	0.4199237481
-0.5466165414	0.06718856771	0.07922435631	1.179134472	0.4202097293	0.423354368
-0.5295739348	0.06775243256	0.0798782709	1.178972738	0.4237362443	0.4268487175
-0.5125313283	0.0683264962	0.08054411154	1.178812262	0.4273265445	0.4304067969
-0.4954887218	0.06891075864	0.08122187824	1.178653085	0.4309806298	0.4340286059
-0.4784461153	0.06950521987	0.08191157099	1.178495243	0.4346985003	0.4377141447
-0.4614035088	0.07010987989	0.0826131898	1.178338772	0.4384801559	0.4414634133
-0.4443609023	0.07072473871	0.08332673466	1.178183705	0.4423255967	0.4452764116
-0.4273182957	0.07134979632	0.08405220559	1.17803007	0.4462348226	0.4491531396
-0.4102756892	0.07198505273	0.08478960256	1.177877898	0.4502078337	0.4530935974
-0.3932330827	0.07263050793	0.0855389256	1.177727212	0.4542446299	0.4570977849
-0.3761904762	0.07328616193	0.08630017469	1.177578037	0.4583452113	0.4611657022
-0.3591478697	0.07395201472	0.08707334983	1.177430394	0.4625095778	0.4652973492
-0.3421052632	0.0746280663	0.08785845103	1.177284303	0.4667377294	0.469492726
-0.3250626566	0.07531431668	0.08865547829	1.177139782	0.4710296662	0.4737518325
-0.3080200501	0.07601076586	0.08946443161	1.176996845	0.4753853882	0.4780746687
-0.2909774436	0.07671741383	0.09028531098	1.176855507	0.4798048953	0.4824612347
-0.2739348371	0.07743426059	0.0911181164	1.176715781	0.4842881875	0.4869115305
