# VHH-NNLO grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: kappa_lambda,kappa_w
# scan_x_keys: kappa_lambda,kappa_w
# windows: kappa_lambda=[-0.7,6.1]; kappa_w=[0.85,1.2]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_kappa: 1,1,1
#
kappa_lambda	kappa_w	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
-0.7	0.85	0.05104538231	0.0602487899	1.180298534	0.319247262	0.3219538732
-0.7	0.858974359	0.05143714123	0.06070705335	1.180218261	0.3216973947	0.324402714
-0.7	0.8679487179	0.05186284867	0.06120597526	1.180150663	0.3243598478	0.327068823
-0.7	0.8769230769	0.05232328701	0.06174649856	1.18009594	0.3272395144	0.329957239
-0.7	0.8858974359	0.05281924637	0.06232957547	1.180054237	0.3303413359	0.3330730505
-0.7	0.8948717949	0.0533515246	0.06295616754	1.180025651	0.3336703024	0.3364213956
-0.7	0.9038461538	0.05392092728	0.06362724563	1.180010227	0.3372314521	0.3400074625
-0.7	0.9128205128	0.05452826775	0.0643437899	1.180007958	0.3410298717	0.3438364889
-0.7	0.9217948718	0.05517436706	0.06510678985	1.18001879	0.3450706963	0.3479137623
-0.7	0.9307692308	0.05586005401	0.06591724428	1.180042616	0.3493591093	0.3522446201
-0.7	0.9397435897	0.05658616513	0.06677616131	1.180079285	0.3539003426	0.3568344494
-0.7	0.9487179487	0.05735354469	0.06768455836	1.180128599	0.3586996763	0.3616886872
-0.7	0.9576923077	0.0581630447	0.06864346218	1.180190317	0.3637624391	0.3668128199
-0.7	0.9666666667	0.0590155249	0.06965390883	1.180264158	0.3690940079	0.3722123842
-0.7	0.9756410256	0.05991185277	0.07071694368	1.180349804	0.3746998082	0.3778929661
-0.7	0.9846153846	0.06085290353	0.07183362142	1.180446902	0.3805853137	0.3838602017
-0.7	0.9935897436	0.06183956012	0.07300500606	1.180555067	0.3867560465	0.3901197768
-0.7	1.002564103	0.06287271324	0.07423217092	1.18067389	0.3932175772	0.3966774268
