# VHH-NNLO scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: kappa_w
# scan_x_key: kappa_w
# vmin: 0.85
# vmax: 1.2
# n_points: 400
# fixed_kappa: 1,1,1
#
kappa_w	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.85	0.1376498604	0.1613565548	1.172224616	0.8608876861	0.8622474886
0.850877193	0.1377556962	0.1614785167	1.172209362	0.8615496027	0.8628992216
0.851754386	0.1378617798	0.1616007724	1.172194155	0.8622130689	0.8635525241
0.8526315789	0.1379681117	0.1617233225	1.172178995	0.8628780886	0.8642074001
0.8535087719	0.1380746927	0.1618461679	1.172163882	0.8635446658	0.8648638537
0.8543859649	0.1381815234	0.1619693092	1.172148817	0.8642128045	0.8655218891
0.8552631579	0.1382886043	0.1620927473	1.1721338	0.8648825086	0.8661815103
0.8561403509	0.1383959363	0.162216483	1.172118831	0.8655537823	0.8668427214
0.8570175439	0.1385035198	0.1623405169	1.172103909	0.8662266293	0.8675055264
0.8578947368	0.1386113555	0.1624648499	1.172089035	0.8669010539	0.8681699296
0.8587719298	0.1387194441	0.1625894827	1.172074209	0.8675770598	0.868835935
0.8596491228	0.1388277861	0.1627144161	1.172059432	0.8682546513	0.8695035468
0.8605263158	0.1389363824	0.1628396509	1.172044703	0.8689338321	0.870172769
0.8614035088	0.1390452334	0.1629651879	1.172030022	0.8696146065	0.8708436057
0.8622807018	0.1391543398	0.1630910277	1.172015389	0.8702969783	0.8715160612
0.8631578947	0.1392637023	0.1632171713	1.172000805	0.8709809517	0.8721901394
0.8640350877	0.1393733215	0.1633436192	1.17198627	0.8716665305	0.8728658446
0.8649122807	0.1394831981	0.1634703725	1.171971784	0.872353719	0.873543181
0.8657894737	0.1395933327	0.1635974317	1.171957346	0.873042521	0.8742221525
0.8666666667	0.1397037259	0.1637247977	1.171942958	0.8737329407	0.8749027635
0.8675438596	0.1398143785	0.1638524713	1.171928618	0.8744249821	0.875585018
0.8684210526	0.1399252909	0.1639804533	1.171914328	0.8751186492	0.8762689202
0.8692982456	0.140036464	0.1641087443	1.171900087	0.8758139461	0.8769544742
0.8701754386	0.1401478983	0.1642373453	1.171885896	0.8765108769	0.8776416843
0.8710526316	0.1402595945	0.1643662569	1.171871754	0.8772094455	0.8783305546
0.8719298246	0.1403715532	0.16449548	1.171857661	0.8779096561	0.8790210893
0.8728070175	0.1404837751	0.1646250154	1.171843618	0.8786115128	0.8797132925
0.8736842105	0.1405962609	0.1647548638	1.171829626	0.8793150195	0.8804071685
0.8745614035	0.1407090112	0.164885026	1.171815683	0.8800201805	0.8811027214
0.8754385965	0.1408220266	0.1650155027	1.17180179	0.8807269997	0.8817999555
0.8763157895	0.1409353078	0.1651462949	1.171787947	0.8814354814	0.8824988749
0.8771929825	0.1410488554	0.1652774033	1.171774154	0.8821456294	0.8831994838
0.8780701754	0.1411626702	0.1654088286	1.171760412	0.8828574481	0.8839017864
0.8789473684	0.1412767527	0.1655405716	1.17174672	0.8835709413	0.884605787
0.8798245614	0.1413911037	0.1656726332	1.171733078	0.8842861134	0.8853114898
0.8807017544	0.1415057237	0.1658050141	1.171719488	0.8850029683	0.8860188989
0.8815789474	0.1416206135	0.1659377151	1.171705947	0.8857215102	0.8867280187
0.8824561404	0.1417357737	0.166070737	1.171692458	0.8864417432	0.8874388533
0.8833333333	0.1418512049	0.1662040807	1.171679019	0.8871636715	0.888151407
0.8842105263	0.1419669079	0.1663377468	1.171665632	0.8878872991	0.888865684
0.8850877193	0.1420828832	0.1664717362	1.171652295	0.8886126302	0.8895816886
0.8859649123	0.1421991315	0.1666060497	1.17163901	0.8893396689	0.890299425
0.8868421053	0.1423156536	0.1667406881	1.171625776	0.8900684194	0.8910188975
0.8877192982	0.14243245	0.1668756521	1.171612593	0.8907988858	0.8917401103
0.8885964912	0.1425495215	0.1670109426	1.171599462	0.8915310723	0.8924630676
0.8894736842	0.1426668686	0.1671465604	1.171586382	0.892264983	0.8931877739
0.8903508772	0.1427844921	0.1672825063	1.171573354	0.893000622	0.8939142332
0.8912280702	0.1429023926	0.167418781	1.171560378	0.8937379936	0.89464245
0.8921052632	0.1430205708	0.1675553854	1.171547453	0.894477102	0.8953724284
0.8929824561	0.1431390273	0.1676923203	1.17153458	0.8952179511	0.8961041729
0.8938596491	0.1432577629	0.1678295865	1.17152176	0.8959605454	0.8968376875
0.8947368421	0.1433767782	0.1679671847	1.171508991	0.8967048889	0.8975729768
0.8956140351	0.1434960738	0.1681051158	1.171496274	0.8974509858	0.8983100448
0.8964912281	0.1436156505	0.1682433807	1.17148361	0.8981988403	0.8990488961
0.8973684211	0.1437355088	0.16838198	1.171470998	0.8989484566	0.8997895347
0.898245614	0.1438556495	0.1685209146	1.171458439	0.8996998389	0.9005319652
0.899122807	0.1439760733	0.1686601853	1.171445931	0.9004529915	0.9012761918
0.9	0.1440967808	0.168799793	1.171433477	0.9012079184	0.9020222187
0.900877193	0.1442177727	0.1689397383	1.171421075	0.901964624	0.9027700504
0.901754386	0.1443390496	0.1690800222	1.171408726	0.9027231124	0.9035196912
0.9026315789	0.1444606123	0.1692206455	1.17139643	0.9034833879	0.9042711454
0.9035087719	0.1445824614	0.1693616089	1.171384187	0.9042454546	0.9050244173
0.9043859649	0.1447045976	0.1695029133	1.171371996	0.9050093169	0.9057795113
0.9052631579	0.1448270215	0.1696445595	1.171359859	0.9057749789	0.9065364318
0.9061403509	0.1449497339	0.1697865483	1.171347775	0.906542445	0.907295183
0.9070175439	0.1450727354	0.1699288806	1.171335744	0.9073117192	0.9080557694
0.9078947368	0.1451960268	0.170071557	1.171323767	0.9080828059	0.9088181953
0.9087719298	0.1453196086	0.1702145785	1.171311843	0.9088557094	0.9095824651
0.9096491228	0.1454434815	0.1703579459	1.171299972	0.9096304338	0.9103485831
0.9105263158	0.1455676463	0.17050166	1.171288156	0.9104069835	0.9111165538
0.9114035088	0.1456921037	0.1706457216	1.171276392	0.9111853627	0.9118863814
0.9122807018	0.1458168542	0.1707901315	1.171264683	0.9119655757	0.9126580705
0.9131578947	0.1459418987	0.1709348905	1.171253027	0.9127476268	0.9134316253
0.9140350877	0.1460672377	0.1710799996	1.171241425	0.9135315201	0.9142070503
0.9149122807	0.1461928719	0.1712254594	1.171229877	0.9143172601	0.9149843499
0.9157894737	0.1463188022	0.1713712709	1.171218383	0.915104851	0.9157635284
0.9166666667	0.146445029	0.1715174348	1.171206943	0.9158942971	0.9165445903
0.9175438596	0.1465715532	0.171663952	1.171195558	0.9166856026	0.9173275401
0.9184210526	0.1466983754	0.1718108232	1.171184226	0.917478772	0.918112382
0.9192982456	0.1468254962	0.1719580495	1.171172949	0.9182738094	0.9188991206
0.9201754386	0.1469529165	0.1721056314	1.171161727	0.9190707193	0.9196877602
0.9210526316	0.1470806368	0.17225357	1.171150559	0.9198695058	0.9204783053
0.9219298246	0.1472086579	0.1724018659	1.171139445	0.9206701734	0.9212707604
0.9228070175	0.1473369805	0.1725505201	1.171128386	0.9214727263	0.9220651298
0.9236842105	0.1474656051	0.1726995334	1.171117382	0.922277169	0.922861418
0.9245614035	0.1475945327	0.1728489066	1.171106432	0.9230835056	0.9236596295
0.9254385965	0.1477237637	0.1729986405	1.171095538	0.9238917406	0.9244597687
0.9263157895	0.147853299	0.173148736	1.171084698	0.9247018783	0.9252618401
0.9271929825	0.1479831392	0.1732991939	1.171073913	0.925513923	0.9260658481
0.9280701754	0.1481132851	0.1734500151	1.171063183	0.926327879	0.9268717972
0.9289473684	0.1482437372	0.1736012003	1.171052509	0.9271437508	0.9276796918
0.9298245614	0.1483744964	0.1737527505	1.171041889	0.9279615427	0.9284895366
0.9307017544	0.1485055632	0.1739046664	1.171031325	0.9287812591	0.9293013358
0.9315789474	0.1486369385	0.174056949	1.171020816	0.9296029043	0.930115094
0.9324561404	0.1487686228	0.1742095989	1.171010362	0.9304264826	0.9309308158
0.9333333333	0.148900617	0.1743626172	1.170999964	0.9312519986	0.9317485055
0.9342105263	0.1490329217	0.1745160046	1.170989622	0.9320794564	0.9325681678
0.9350877193	0.1491655375	0.1746697619	1.170979335	0.9329088606	0.933389807
0.9359649123	0.1492984653	0.17482389	1.170969103	0.9337402155	0.9342134278
0.9368421053	0.1494317057	0.1749783898	1.170958927	0.9345735256	0.9350390345
0.9377192982	0.1495652594	0.1751332621	1.170948807	0.9354087951	0.9358666318
0.9385964912	0.1496991271	0.1752885078	1.170938743	0.9362460285	0.9366962242
0.9394736842	0.1498333096	0.1754441276	1.170928735	0.9370852303	0.9375278161
0.9403508772	0.1499678074	0.1756001225	1.170918782	0.9379264048	0.9383614121
0.9412280702	0.1501026214	0.1757564932	1.170908886	0.9387695564	0.9391970168
0.9421052632	0.1502377522	0.1759132407	1.170899046	0.9396146895	0.9400346347
0.9429824561	0.1503732006	0.1760703658	1.170889262	0.9404618087	0.9408742703
0.9438596491	0.1505089672	0.1762278693	1.170879533	0.9413109183	0.9417159282
0.9447368421	0.1506450528	0.1763857521	1.170869862	0.9421620227	0.9425596129
0.9456140351	0.1507814581	0.1765440151	1.170860246	0.9430151264	0.943405329
0.9464912281	0.1509181837	0.176702659	1.170850687	0.9438702338	0.944253081
0.9473684211	0.1510552304	0.1768616849	1.170841184	0.9447273493	0.9451028736
0.948245614	0.1511925989	0.1770210934	1.170831738	0.9455864775	0.9459547113
0.949122807	0.15133029	0.1771808854	1.170822348	0.9464476228	0.9468085986
0.95	0.1514683043	0.1773410619	1.170813015	0.9473107896	0.9476645402
0.950877193	0.1516066425	0.1775016237	1.170803738	0.9481759824	0.9485225406
0.951754386	0.1517453054	0.1776625716	1.170794518	0.9490432056	0.9493826044
0.9526315789	0.1518842936	0.1778239065	1.170785355	0.9499124638	0.9502447362
0.9535087719	0.1520236079	0.1779856293	1.170776248	0.9507837614	0.9511089407
0.9543859649	0.1521632491	0.1781477408	1.170767198	0.9516571029	0.9519752224
0.9552631579	0.1523032177	0.1783102419	1.170758206	0.9525324928	0.9528435859
0.9561403509	0.1524435146	0.1784731334	1.17074927	0.9534099355	0.9537140358
0.9570175439	0.1525841405	0.1786364162	1.170740391	0.9542894356	0.9545865768
0.9578947368	0.152725096	0.1788000912	1.170731569	0.9551709976	0.9554612134
0.9587719298	0.1528663819	0.1789641593	1.170722804	0.9560546259	0.9563379504
0.9596491228	0.153007999	0.1791286212	1.170714096	0.9569403251	0.9572167923
0.9605263158	0.1531499479	0.1792934779	1.170705445	0.9578280997	0.9580977438
0.9614035088	0.1532922293	0.1794587303	1.170696852	0.9587179541	0.9589808094
0.9622807018	0.153434844	0.1796243792	1.170688316	0.959609893	0.9598659939
0.9631578947	0.1535777928	0.1797904254	1.170679837	0.9605039209	0.9607533019
0.9640350877	0.1537210762	0.1799568699	1.170671416	0.9614000422	0.9616427381
0.9649122807	0.1538646952	0.1801237135	1.170663051	0.9622982615	0.9625343071
0.9657894737	0.1540086503	0.1802909572	1.170654745	0.9631985834	0.9634280135
0.9666666667	0.1541529423	0.1804586017	1.170646495	0.9641010124	0.9643238621
0.9675438596	0.154297572	0.1806266479	1.170638304	0.965005553	0.9652218575
0.9684210526	0.15444254	0.1807950967	1.170630169	0.9659122098	0.9661220044
0.9692982456	0.1545878471	0.1809639491	1.170622093	0.9668209874	0.9670243074
0.9701754386	0.154733494	0.1811332058	1.170614074	0.9677318902	0.9679287713
0.9710526316	0.1548794815	0.1813028678	1.170606113	0.9686449229	0.9688354007
0.9719298246	0.1550258103	0.1814729359	1.170598209	0.9695600901	0.9697442004
0.9728070175	0.1551724811	0.181643411	1.170590363	0.9704773963	0.970655175
0.9736842105	0.1553194946	0.1818142939	1.170582575	0.9713968461	0.9715683292
0.9745614035	0.1554668516	0.1819855857	1.170574845	0.9723184441	0.9724836678
0.9754385965	0.1556145528	0.1821572871	1.170567173	0.9732421948	0.9734011954
0.9763157895	0.155762599	0.182329399	1.170559558	0.9741681029	0.9743209168
0.9771929825	0.1559109908	0.1825019223	1.170552002	0.9750961729	0.9752428367
0.9780701754	0.1560597291	0.182674858	1.170544503	0.9760264095	0.9761669598
0.9789473684	0.1562088145	0.1828482068	1.170537062	0.9769588172	0.9770932909
0.9798245614	0.1563582478	0.1830219697	1.17052968	0.9778934007	0.9780218347
0.9807017544	0.1565080297	0.1831961476	1.170522355	0.9788301646	0.9789525958
0.9815789474	0.156658161	0.1833707413	1.170515089	0.9797691135	0.9798855792
0.9824561404	0.1568086424	0.1835457517	1.170507881	0.980710252	0.9808207894
0.9833333333	0.1569594746	0.1837211797	1.170500731	0.9816535847	0.9817582314
0.9842105263	0.1571106585	0.1838970263	1.170493639	0.9825991164	0.9826979097
0.9850877193	0.1572621946	0.1840732923	1.170486605	0.9835468515	0.9836398293
0.9859649123	0.1574140839	0.1842499786	1.17047963	0.9844967948	0.9845839948
0.9868421053	0.1575663269	0.184427086	1.170472712	0.9854489509	0.985530411
0.9877192982	0.1577189245	0.1846046156	1.170465854	0.9864033245	0.9864790827
0.9885964912	0.1578718774	0.1847825681	1.170459053	0.9873599201	0.9874300147
0.9894736842	0.1580251863	0.1849609445	1.170452311	0.9883187425	0.9883832118
0.9903508772	0.158178852	0.1851397456	1.170445627	0.9892797963	0.9893386787
0.9912280702	0.1583328753	0.1853189725	1.170439002	0.9902430862	0.9902964203
0.9921052632	0.1584872568	0.1854986259	1.170432435	0.9912086169	0.9912564414
0.9929824561	0.1586419974	0.1856787067	1.170425926	0.992176393	0.9922187467
0.9938596491	0.1587970977	0.1858592159	1.170419476	0.9931464192	0.993183341
0.9947368421	0.1589525586	0.1860401544	1.170413085	0.9941187003	0.9941502292
