# VHH-NNLO scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: kappa_2w
# scan_x_key: kappa_2w
# vmin: 0.7
# vmax: 1.3
# n_points: 400
# fixed_kappa: 1,1,1
#
kappa_2w	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.7	0.2060075797	0.2484823524	1.20618063	0.6942933092	0.6941774694
0.7015037594	0.2063887764	0.2489412507	1.2061763	0.6955780302	0.6954594794
0.7030075188	0.2067707134	0.249401054	1.206172044	0.6968652464	0.6967440178
0.7045112782	0.2071533907	0.2498617624	1.206167862	0.6981549578	0.6980310844
0.7060150376	0.2075368084	0.2503233757	1.206163753	0.6994471643	0.6993206793
0.707518797	0.2079209664	0.2507858941	1.206159717	0.7007418659	0.7006128026
0.7090225564	0.2083058648	0.2512493175	1.206155754	0.7020390627	0.7019074542
0.7105263158	0.2086915035	0.2517136459	1.206151863	0.7033387547	0.7032046341
0.7120300752	0.2090778826	0.2521788793	1.206148045	0.7046409417	0.7045043423
0.7135338346	0.209465002	0.2526450177	1.206144297	0.705945624	0.7058065788
0.715037594	0.2098528618	0.2531120611	1.206140621	0.7072528013	0.7071113436
0.7165413534	0.2102414619	0.2535800096	1.206137016	0.7085624739	0.7084186367
0.7180451128	0.2106308024	0.2540488631	1.206133482	0.7098746415	0.7097284582
0.7195488722	0.2110208832	0.2545186215	1.206130017	0.7111893044	0.7110408079
0.7210526316	0.2114117044	0.254989285	1.206126623	0.7125064623	0.712355686
0.722556391	0.2118032659	0.2554608536	1.206123298	0.7138261154	0.7136730924
0.7240601504	0.2121955678	0.2559333271	1.206120042	0.7151482637	0.7149930271
0.7255639098	0.21258861	0.2564067056	1.206116855	0.7164729071	0.7163154901
0.7270676692	0.2129823926	0.2568809892	1.206113736	0.7178000456	0.7176404814
0.7285714286	0.2133769155	0.2573561778	1.206110685	0.7191296793	0.7189680011
0.730075188	0.2137721788	0.2578322714	1.206107702	0.7204618082	0.720298049
0.7315789474	0.2141681824	0.25830927	1.206104787	0.7217964322	0.7216306253
0.7330827068	0.2145649263	0.2587871736	1.206101938	0.7231335513	0.7229657299
0.7345864662	0.2149624107	0.2592659822	1.206099157	0.7244731656	0.7243033627
0.7360902256	0.2153606353	0.2597456959	1.206096441	0.725815275	0.7256435239
0.737593985	0.2157596003	0.2602263145	1.206093792	0.7271598796	0.7269862134
0.7390977444	0.2161593057	0.2607078382	1.206091208	0.7285069793	0.7283314313
0.7406015038	0.2165597514	0.2611902669	1.20608869	0.7298565742	0.7296791774
0.7421052632	0.2169609374	0.2616736006	1.206086237	0.7312086642	0.7310294518
0.7436090226	0.2173628638	0.2621578393	1.206083848	0.7325632494	0.7323822546
0.745112782	0.2177655306	0.2626429831	1.206081524	0.7339203297	0.7337375857
0.7466165414	0.2181689377	0.2631290318	1.206079264	0.7352799052	0.7350954451
0.7481203008	0.2185730851	0.2636159856	1.206077068	0.7366419758	0.7364558328
0.7496240602	0.2189779729	0.2641038444	1.206074935	0.7380065415	0.7378187488
0.7511278195	0.2193836011	0.2645926082	1.206072865	0.7393736024	0.7391841931
0.7526315789	0.2197899696	0.265082277	1.206070857	0.7407431585	0.7405521657
0.7541353383	0.2201970784	0.2655728508	1.206068912	0.7421152097	0.7419226667
0.7556390977	0.2206049276	0.2660643297	1.206067029	0.743489756	0.7432956959
0.7571428571	0.2210135171	0.2665567135	1.206065208	0.7448667975	0.7446712535
0.7586466165	0.221422847	0.2670500024	1.206063448	0.7462463341	0.7460493394
0.7601503759	0.2218329173	0.2675441963	1.206061749	0.7476283659	0.7474299536
0.7616541353	0.2222437278	0.2680392952	1.206060111	0.7490128928	0.7488130961
0.7631578947	0.2226552788	0.2685352991	1.206058534	0.7503999149	0.7501987669
0.7646616541	0.2230675701	0.269032208	1.206057017	0.7517894321	0.751586966
0.7661654135	0.2234806017	0.269530022	1.206055559	0.7531814445	0.7529776935
0.7676691729	0.2238943737	0.2700287409	1.206054161	0.754575952	0.7543709492
0.7691729323	0.224308886	0.2705283649	1.206052822	0.7559729546	0.7557667333
0.7706766917	0.2247241387	0.2710288939	1.206051542	0.7573724524	0.7571650457
0.7721804511	0.2251401317	0.2715303279	1.20605032	0.7587744454	0.7585658864
0.7736842105	0.2255568651	0.2720326669	1.206049157	0.7601789335	0.7599692554
0.7751879699	0.2259743388	0.272535911	1.206048051	0.7615859167	0.7613751527
0.7766917293	0.2263925529	0.27304006	1.206047004	0.7629953951	0.7627835783
0.7781954887	0.2268115073	0.2735451141	1.206046013	0.7644073687	0.7641945323
0.7796992481	0.2272312021	0.2740510732	1.20604508	0.7658218374	0.7656080145
0.7812030075	0.2276516372	0.2745579373	1.206044203	0.7672388012	0.7670240251
0.7827067669	0.2280728127	0.2750657064	1.206043382	0.7686582602	0.768442564
0.7842105263	0.2284947285	0.2755743805	1.206042618	0.7700802143	0.7698636312
0.7857142857	0.2289173846	0.2760839597	1.206041909	0.7715046636	0.7712872267
0.7872180451	0.2293407811	0.2765944438	1.206041256	0.772931608	0.7727133505
0.7887218045	0.229764918	0.277105833	1.206040658	0.7743610475	0.7741420026
0.7902255639	0.2301897952	0.2776181272	1.206040115	0.7757929823	0.7755731831
0.7917293233	0.2306154128	0.2781313264	1.206039627	0.7772274121	0.7770068918
0.7932330827	0.2310417707	0.2786454306	1.206039193	0.7786643371	0.7784431289
0.7947368421	0.2314688689	0.2791604398	1.206038813	0.7801037573	0.7798818943
0.7962406015	0.2318967075	0.2796763541	1.206038486	0.7815456726	0.781323188
0.7977443609	0.2323252865	0.2801931734	1.206038213	0.782990083	0.78276701
0.7992481203	0.2327546058	0.2807108976	1.206037993	0.7844369886	0.7842133603
0.8007518797	0.2331846655	0.2812295269	1.206037826	0.7858863893	0.7856622389
0.8022556391	0.2336154655	0.2817490612	1.206037711	0.7873382852	0.7871136458
0.8037593985	0.2340470058	0.2822695006	1.206037649	0.7887926763	0.7885675811
0.8052631579	0.2344792865	0.2827908449	1.206037638	0.7902495624	0.7900240447
0.8067669173	0.2349123075	0.2833130942	1.206037679	0.7917089438	0.7914830365
0.8082706767	0.2353460689	0.2838362486	1.206037772	0.7931708202	0.7929445567
0.8097744361	0.2357805707	0.284360308	1.206037916	0.7946351918	0.7944086052
0.8112781955	0.2362158128	0.2848852724	1.20603811	0.7961020586	0.7958751821
0.8127819549	0.2366517952	0.2854111418	1.206038355	0.7975714205	0.7973442872
0.8142857143	0.237088518	0.2859379162	1.20603865	0.7990432776	0.7988159206
0.8157894737	0.2375259811	0.2864655957	1.206038995	0.8005176298	0.8002900824
0.8172932331	0.2379641846	0.2869941801	1.20603939	0.8019944771	0.8017667724
0.8187969925	0.2384031285	0.2875236696	1.206039835	0.8034738196	0.8032459908
0.8203007519	0.2388428126	0.2880540641	1.206040328	0.8049556573	0.8047277375
0.8218045113	0.2392832372	0.2885853636	1.20604087	0.8064399901	0.8062120125
0.8233082707	0.2397244021	0.2891175681	1.206041461	0.807926818	0.8076988158
0.8248120301	0.2401663073	0.2896506777	1.2060421	0.8094161411	0.8091881474
0.8263157895	0.2406089529	0.2901846922	1.206042787	0.8109079593	0.8106800074
0.8278195489	0.2410523388	0.2907196118	1.206043522	0.8124022727	0.8121743956
0.8293233083	0.2414964651	0.2912554363	1.206044305	0.8138990812	0.8136713122
0.8308270677	0.2419413317	0.2917921659	1.206045135	0.8153983849	0.8151707571
0.8323308271	0.2423869387	0.2923298005	1.206046011	0.8169001837	0.8166727303
0.8338345865	0.242833286	0.2928683402	1.206046935	0.8184044777	0.8181772318
0.8353383459	0.2432803737	0.2934077848	1.206047904	0.8199112668	0.8196842616
0.8368421053	0.2437282017	0.2939481344	1.20604892	0.8214205511	0.8211938197
0.8383458647	0.24417677	0.2944893891	1.206049982	0.8229323305	0.8227059061
0.8398496241	0.2446260788	0.2950315488	1.206051089	0.824446605	0.8242205209
0.8413533835	0.2450761278	0.2955746135	1.206052242	0.8259633747	0.825737664
0.8428571429	0.2455269172	0.2961185832	1.20605344	0.8274826396	0.8272573353
0.8443609023	0.245978447	0.2966634579	1.206054683	0.8290043996	0.828779535
0.8458646617	0.2464307171	0.2972092377	1.20605597	0.8305286547	0.830304263
0.8473684211	0.2468837276	0.2977559224	1.206057302	0.832055405	0.8318315193
0.8488721805	0.2473374784	0.2983035122	1.206058678	0.8335846504	0.833361304
0.8503759398	0.2477919695	0.298852007	1.206060098	0.835116391	0.8348936169
0.8518796992	0.248247201	0.2994014068	1.206061561	0.8366506267	0.8364284582
0.8533834586	0.2487031729	0.2999517116	1.206063068	0.8381873576	0.8379658277
0.854887218	0.2491598851	0.3005029214	1.206064617	0.8397265836	0.8395057256
0.8563909774	0.2496173376	0.3010550363	1.20606621	0.8412683048	0.8410481518
0.8578947368	0.2500755305	0.3016080562	1.206067845	0.8428125211	0.8425931063
0.8593984962	0.2505344638	0.302161981	1.206069522	0.8443592325	0.8441405891
0.8609022556	0.2509941374	0.3027168109	1.206071242	0.8459084391	0.8456906002
0.862406015	0.2514545513	0.3032725458	1.206073003	0.8474601409	0.8472431396
0.8639097744	0.2519157056	0.3038291858	1.206074806	0.8490143378	0.8487982074
0.8654135338	0.2523776003	0.3043867307	1.20607665	0.8505710298	0.8503558035
0.8669172932	0.2528402353	0.3049451806	1.206078535	0.852130217	0.8519159278
0.8684210526	0.2533036106	0.3055045356	1.206080462	0.8536918994	0.8534785805
0.869924812	0.2537677263	0.3060647956	1.206082428	0.8552560769	0.8550437615
0.8714285714	0.2542325823	0.3066259606	1.206084436	0.8568227495	0.8566114708
0.8729323308	0.2546981787	0.3071880306	1.206086483	0.8583919173	0.8581817084
0.8744360902	0.2551645155	0.3077510056	1.20608857	0.8599635802	0.8597544744
