# VHH-NNLO scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: kappa_lambda
# scan_x_key: kappa_lambda
# vmin: -0.7
# vmax: 6.1
# n_points: 400
# fixed_kappa: 1,1,1
#
kappa_lambda	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
-0.7	0.1209826759	0.1468260941	1.213612552	0.4077396691	0.4101835219
-0.6829573935	0.121813823	0.1478206118	1.213496204	0.4105408274	0.4129618752
-0.665914787	0.1226638173	0.1488378542	1.213380257	0.4134055054	0.415803714
-0.6488721805	0.123532659	0.1498778214	1.213264757	0.4163337033	0.4187090382
-0.6318295739	0.1244203479	0.1509405134	1.213149745	0.4193254208	0.4216778478
-0.6147869674	0.1253268841	0.15202593	1.213035264	0.4223806582	0.4247101429
-0.5977443609	0.1262522677	0.1531340715	1.212921354	0.4254994153	0.4278059234
-0.5807017544	0.1271964985	0.1542649377	1.212808053	0.4286816922	0.4309651894
-0.5636591479	0.1281595767	0.1554185287	1.212695396	0.4319274889	0.4341879408
-0.5466165414	0.1291415021	0.1565948444	1.21258342	0.4352368053	0.4374741777
-0.5295739348	0.1301422749	0.1577938849	1.212472158	0.4386096415	0.4408239
-0.5125313283	0.1311618949	0.1590156501	1.21236164	0.4420459975	0.4442371078
-0.4954887218	0.1322003623	0.1602601401	1.212251898	0.4455458732	0.447713801
-0.4784461153	0.1332576769	0.1615273548	1.212142959	0.4491092687	0.4512539796
-0.4614035088	0.1343338389	0.1628172943	1.21203485	0.452736184	0.4548576437
-0.4443609023	0.1354288481	0.1641299585	1.211927597	0.4564266191	0.4585247933
-0.4273182957	0.1365427047	0.1654653475	1.211821224	0.4601805739	0.4622554282
-0.4102756892	0.1376754085	0.1668234613	1.211715753	0.4639980485	0.4660495487
-0.3932330827	0.1388269597	0.1682042998	1.211611204	0.4678790428	0.4699071545
-0.3761904762	0.1399973581	0.1696078631	1.211507598	0.471823557	0.4738282459
-0.3591478697	0.1411866039	0.1710341511	1.211404952	0.4758315909	0.4778128226
