# VHH-NNLO grid scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axes: kappa_lambda,kappa_w
# scan_x_keys: kappa_lambda,kappa_w
# windows: kappa_lambda=[-0.7,6.1]; kappa_w=[0.8,1.2]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_kappa: 1,1,1
#
kappa_lambda	kappa_w	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
-0.7	0.8	0.09579133939	0.11631494	1.214253196	0.3228390242	0.3249454534
-0.7	0.8102564103	0.09620750522	0.1168054103	1.214098734	0.3242415995	0.3263156653
-0.7	0.8205128205	0.09670393246	0.1173942571	1.21395536	0.3259146744	0.3279607084
-0.7	0.8307692308	0.09728297574	0.1180843818	1.213823702	0.3278661845	0.3298886883
-0.7	0.841025641	0.09794701771	0.1188787201	1.213704336	0.3301041599	0.3321078067
-0.7	0.8512820513	0.09869846896	0.1197802423	1.213597774	0.3326367249	0.3346263614
-0.7	0.8615384615	0.09953976806	0.1207919531	1.213504466	0.3354720979	0.3374527467
-0.7	0.8717948718	0.1004733816	0.1219168918	1.213424788	0.3386185919	0.3405954531
-0.7	0.8820512821	0.101501804	0.1231581319	1.213359044	0.3420846139	0.3440630673
-0.7	0.8923076923	0.1026275579	0.1245187816	1.21330746	0.3458786655	0.3478642723
-0.7	0.9025641026	0.1038531936	0.1260019834	1.213270185	0.3500093422	0.3520078474
-0.7	0.9128205128	0.1051812897	0.1276109144	1.213247287	0.354485334	0.3565026682
-0.7	0.9230769231	0.1066144526	0.129348786	1.213238757	0.3593154253	0.3613577065
-0.7	0.9333333333	0.1081553167	0.1312188442	1.21324451	0.3645084945	0.3665820302
-0.7	0.9435897436	0.1098065443	0.1332243694	1.213264384	0.3700735144	0.3721848038
-0.7	0.9538461538	0.1115708258	0.1353686763	1.213298147	0.3760195521	0.3781752878
-0.7	0.9641025641	0.1134508796	0.1376551143	1.213345501	0.3823557691	0.3845628392
-0.7	0.9743589744	0.1154494518	0.1400870673	1.213406085	0.3890914209	0.3913569109
-0.7	0.9846153846	0.1175693168	0.1426679533	1.213479479	0.3962358576	0.3985670525
-0.7	0.9948717949	0.1198132769	0.1454012251	1.213565215	0.4037985233	0.4062029095
-0.7	1.005128205	0.1221841622	0.1482903699	1.213662779	0.4117889565	0.4142742239
-0.7	1.015384615	0.124684831	0.1513389092	1.213771619	0.4202167901	0.4227908339
-0.7	1.025641026	0.1273181694	0.154550399	1.21389115	0.429091751	0.4317626739
-0.7	1.035897436	0.1300870915	0.15792843	1.214020762	0.4384236607	0.4411997746
-0.7	1.046153846	0.1329945396	0.161476627	1.214159826	0.4482224347	0.451112263
-0.7	1.056410256	0.1360434836	0.1651986495	1.214307699	0.4584980831	0.4615103623
-0.7	1.066666667	0.1392369217	0.1690981915	1.214463732	0.4692607098	0.4724043921
-0.7	1.076923077	0.1425778798	0.1731789811	1.214627271	0.4805205135	0.4838047681
-0.7	1.087179487	0.1460694121	0.1774447813	1.214797669	0.4922877869	0.4957220023
-0.7	1.097435897	0.1497146006	0.1818993893	1.214974282	0.5045729171	0.508166703
-0.7	1.107692308	0.153516555	0.1865466369	1.215156481	0.5173863852	0.5211495748
