# VHH-NNLO scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: kappa_w
# scan_x_key: kappa_w
# vmin: 0.85
# vmax: 1.2
# n_points: 400
# fixed_kappa: 1,1,1
#
kappa_w	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.85	0.2574249256	0.3109051668	1.207750827	0.8675816863	0.868566157
0.850877193	0.2576063987	0.311121292	1.207738991	0.8681932928	0.8691699393
0.851754386	0.2577883612	0.3113380144	1.207727195	0.8688065486	0.8697753898
0.8526315789	0.2579708144	0.3115553355	1.20771544	0.8694214583	0.8703825132
0.8535087719	0.2581537597	0.3117732571	1.207703725	0.8700380264	0.870991314
0.8543859649	0.2583371984	0.3119917808	1.20769205	0.8706562573	0.8716017969
0.8552631579	0.2585211319	0.3122109082	1.207680416	0.8712761557	0.8722139664
0.8561403509	0.2587055614	0.312430641	1.207668824	0.8718977261	0.8728278272
0.8570175439	0.2588904884	0.3126509809	1.207657272	0.8725209729	0.8734433839
0.8578947368	0.2590759142	0.3128719295	1.207645761	0.8731459007	0.8740606411
0.8587719298	0.25926184	0.3130934884	1.207634291	0.873772514	0.8746796034
0.8596491228	0.2594482674	0.3133156594	1.207622863	0.8744008174	0.8753002756
0.8605263158	0.2596351976	0.313538444	1.207611475	0.8750308155	0.8759226622
0.8614035088	0.2598226319	0.313761844	1.20760013	0.8756625127	0.8765467678
0.8622807018	0.2600105718	0.313985861	1.207588825	0.8762959136	0.8771725972
0.8631578947	0.2601990185	0.3142104967	1.207577563	0.8769310229	0.8778001549
0.8640350877	0.2603879735	0.3144357527	1.207566342	0.877567845	0.8784294457
0.8649122807	0.2605774381	0.3146616307	1.207555163	0.8782063846	0.8790604742
0.8657894737	0.2607674136	0.3148881325	1.207544026	0.8788466462	0.8796932451
0.8666666667	0.2609579015	0.3151152595	1.207532931	0.8794886343	0.880327763
0.8675438596	0.261148903	0.3153430137	1.207521878	0.8801323537	0.8809640326
0.8684210526	0.2613404195	0.3155713965	1.207510867	0.8807778089	0.8816020587
0.8692982456	0.2615324525	0.3158004098	1.207499898	0.8814250044	0.8822418459
0.8701754386	0.2617250032	0.3160300551	1.207488972	0.8820739449	0.882883399
0.8710526316	0.261918073	0.3162603341	1.207478088	0.882724635	0.8835267225
0.8719298246	0.2621116633	0.3164912487	1.207467247	0.8833770793	0.8841718213
0.8728070175	0.2623057756	0.3167228003	1.207456449	0.8840312825	0.8848187
0.8736842105	0.262500411	0.3169549908	1.207445693	0.884687249	0.8854673633
0.8745614035	0.2626955711	0.3171878218	1.207434981	0.8853449837	0.8861178161
0.8754385965	0.2628912571	0.317421295	1.207424311	0.8860044911	0.8867700629
0.8763157895	0.2630874705	0.3176554121	1.207413684	0.8866657758	0.8874241086
0.8771929825	0.2632842127	0.3178901748	1.207403101	0.8873288425	0.8880799579
0.8780701754	0.263481485	0.3181255847	1.20739256	0.8879936958	0.8887376154
0.8789473684	0.2636792888	0.3183616437	1.207382063	0.8886603404	0.8893970861
0.8798245614	0.2638776254	0.3185983534	1.20737161	0.889328781	0.8900583746
0.8807017544	0.2640764964	0.3188357154	1.2073612	0.8899990222	0.8907214857
0.8815789474	0.264275903	0.3190737316	1.207350833	0.8906710687	0.8913864241
0.8824561404	0.2644758466	0.3193124036	1.20734051	0.8913449251	0.8920531946
0.8833333333	0.2646763287	0.3195517331	1.207330231	0.8920205962	0.8927218021
0.8842105263	0.2648773506	0.3197917218	1.207319996	0.8926980865	0.8933922512
0.8850877193	0.2650789137	0.3200323715	1.207309805	0.8933774009	0.8940645467
0.8859649123	0.2652810194	0.3202736838	1.207299658	0.894058544	0.8947386935
0.8868421053	0.2654836691	0.3205156606	1.207289554	0.8947415205	0.8954146964
0.8877192982	0.2656868642	0.3207583034	1.207279496	0.8954263351	0.8960925601
0.8885964912	0.2658906061	0.321001614	1.207269481	0.8961129925	0.8967722895
0.8894736842	0.2660948962	0.3212455941	1.207259511	0.8968014975	0.8974538893
0.8903508772	0.2662997358	0.3214902455	1.207249585	0.8974918546	0.8981373644
0.8912280702	0.2665051265	0.3217355699	1.207239704	0.8981840688	0.8988227196
0.8921052632	0.2667110695	0.321981569	1.207229867	0.8988781447	0.8995099597
0.8929824561	0.2669175664	0.3222282446	1.207220075	0.8995740869	0.9001990895
0.8938596491	0.2671246185	0.3224755983	1.207210328	0.9002719004	0.900890114
0.8947368421	0.2673322271	0.322723632	1.207200626	0.9009715898	0.9015830379
0.8956140351	0.2675403938	0.3229723472	1.207190969	0.9016731598	0.9022778661
0.8964912281	0.26774912	0.3232217459	1.207181357	0.9023766153	0.9029746034
0.8973684211	0.267958407	0.3234718297	1.20717179	0.903081961	0.9036732547
0.898245614	0.2681682562	0.3237226003	1.207162268	0.9037892016	0.9043738248
0.899122807	0.2683786691	0.3239740595	1.207152791	0.9044983419	0.9050763187
0.9	0.2685896471	0.3242262091	1.20714336	0.9052093867	0.9057807412
0.900877193	0.2688011916	0.3244790507	1.207133974	0.9059223407	0.9064870971
0.901754386	0.2690133041	0.3247325862	1.207124634	0.9066372089	0.9071953914
0.9026315789	0.2692259859	0.3249868173	1.207115339	0.9073539958	0.9079056289
0.9035087719	0.2694392385	0.3252417457	1.20710609	0.9080727064	0.9086178145
0.9043859649	0.2696530632	0.3254973733	1.207096887	0.9087933455	0.9093319532
0.9052631579	0.2698674616	0.3257537016	1.20708773	0.9095159178	0.9100480498
0.9061403509	0.2700824351	0.3260107326	1.207078618	0.9102404281	0.9107661093
0.9070175439	0.270297985	0.3262684679	1.207069553	0.9109668814	0.9114861365
0.9078947368	0.2705141128	0.3265269094	1.207060534	0.9116952823	0.9122081364
0.9087719298	0.27073082	0.3267860587	1.20705156	0.9124256357	0.9129321139
0.9096491228	0.2709481079	0.3270459177	1.207042633	0.9131579464	0.913658074
0.9105263158	0.2711659781	0.3273064881	1.207033753	0.9138922194	0.9143860214
0.9114035088	0.2713844319	0.3275677717	1.207024918	0.9146284593	0.9151159613
0.9122807018	0.2716034708	0.3278297702	1.20701613	0.9153666712	0.9158478986
0.9131578947	0.2718230962	0.3280924855	1.207007389	0.9161068597	0.9165818381
0.9140350877	0.2720433095	0.3283559193	1.206998694	0.9168490298	0.9173177849
0.9149122807	0.2722641123	0.3286200733	1.206990046	0.9175931863	0.9180557439
0.9157894737	0.2724855059	0.3288849494	1.206981444	0.9183393342	0.9187957201
0.9166666667	0.2727074919	0.3291505494	1.206972889	0.9190874782	0.9195377184
0.9175438596	0.2729300715	0.3294168749	1.206964381	0.9198376232	0.9202817439
0.9184210526	0.2731532463	0.3296839279	1.20695592	0.9205897742	0.9210278015
0.9192982456	0.2733770178	0.32995171	1.206947506	0.9213439359	0.9217758961
0.9201754386	0.2736013874	0.3302202231	1.20693914	0.9221001134	0.9225260328
0.9210526316	0.2738263565	0.3304894689	1.20693082	0.9228583115	0.9232782167
0.9219298246	0.2740519266	0.3307594493	1.206922547	0.923618535	0.9240324525
0.9228070175	0.2742780992	0.3310301661	1.206914322	0.924380789	0.9247887455
0.9236842105	0.2745048756	0.3313016209	1.206906144	0.9251450783	0.9255471006
0.9245614035	0.2747322575	0.3315738157	1.206898013	0.9259114078	0.9263075228
0.9254385965	0.2749602461	0.3318467522	1.20688993	0.9266797824	0.9270700171
0.9263157895	0.2751888431	0.3321204323	1.206881895	0.9274502071	0.9278345886
0.9271929825	0.2754180498	0.3323948577	1.206873907	0.9282226869	0.9286012423
0.9280701754	0.2756478677	0.3326700302	1.206865966	0.9289972265	0.9293699832
0.9289473684	0.2758782983	0.3329459516	1.206858073	0.9297738311	0.9301408164
0.9298245614	0.276109343	0.3332226238	1.206850229	0.9305525055	0.9309137469
0.9307017544	0.2763410034	0.3335000485	1.206842432	0.9313332546	0.9316887798
0.9315789474	0.2765732809	0.3337782276	1.206834682	0.9321160835	0.9324659201
0.9324561404	0.2768061769	0.3340571629	1.206826981	0.9329009971	0.9332451729
0.9333333333	0.277039693	0.3343368561	1.206819328	0.9336880004	0.9340265433
0.9342105263	0.2772738305	0.3346173091	1.206811723	0.9344770983	0.9348100363
0.9350877193	0.2775085911	0.3348985238	1.206804166	0.9352682958	0.9355956571
0.9359649123	0.2777439761	0.3351805019	1.206796657	0.9360615979	0.9363834106
0.9368421053	0.2779799871	0.3354632453	1.206789197	0.9368570095	0.937173302
0.9377192982	0.2782166255	0.3357467558	1.206781785	0.9376545358	0.9379653364
0.9385964912	0.2784538928	0.3360310351	1.206774421	0.9384541816	0.9387595189
0.9394736842	0.2786917904	0.3363160852	1.206767105	0.939255952	0.9395558546
0.9403508772	0.27893032	0.3366019079	1.206759838	0.9400598519	0.9403543486
0.9412280702	0.279169483	0.336888505	1.20675262	0.9408658865	0.941155006
0.9421052632	0.2794092807	0.3371758783	1.20674545	0.9416740606	0.9419578319
0.9429824561	0.2796497149	0.3374640297	1.206738329	0.9424843794	0.9427628315
0.9438596491	0.2798907868	0.3377529609	1.206731257	0.9432968478	0.9435700098
0.9447368421	0.2801324981	0.338042674	1.206724233	0.9441114709	0.9443793721
0.9456140351	0.2803748503	0.3383331705	1.206717258	0.9449282538	0.9451909235
0.9464912281	0.2806178447	0.3386244526	1.206710332	0.9457472014	0.946004669
0.9473684211	0.2808614829	0.3389165218	1.206703455	0.9465683188	0.9468206139
0.948245614	0.2811057665	0.3392093802	1.206696627	0.947391611	0.9476387634
0.949122807	0.2813506969	0.3395030296	1.206689848	0.9482170832	0.9484591225
0.95	0.2815962756	0.3397974717	1.206683117	0.9490447404	0.9492816964
0.950877193	0.2818425041	0.3400927085	1.206676436	0.9498745876	0.9501064903
0.951754386	0.282089384	0.3403887418	1.206669805	0.95070663	0.9509335095
0.9526315789	0.2823369167	0.3406855735	1.206663222	0.9515408725	0.951762759
0.9535087719	0.2825851037	0.3409832054	1.206656688	0.9523773203	0.9525942441
0.9543859649	0.2828339466	0.3412816394	1.206650204	0.9532159785	0.9534279699
0.9552631579	0.2830834468	0.3415808774	1.20664377	0.9540568522	0.9542639416
0.9561403509	0.2833336059	0.3418809211	1.206637384	0.9548999464	0.9551021645
0.9570175439	0.2835844254	0.3421817725	1.206631048	0.9557452663	0.9559426438
0.9578947368	0.2838359068	0.3424834334	1.206624762	0.9565928169	0.9567853846
0.9587719298	0.2840880516	0.3427859058	1.206618525	0.9574426034	0.9576303922
0.9596491228	0.2843408614	0.3430891914	1.206612337	0.9582946309	0.9584776719
0.9605263158	0.2845943376	0.3433932921	1.206606199	0.9591489046	0.9593272287
0.9614035088	0.2848484818	0.3436982099	1.206600111	0.9600054295	0.9601790681
0.9622807018	0.2851032955	0.3440039465	1.206594073	0.9608642107	0.9610331951
0.9631578947	0.2853587803	0.3443105039	1.206588084	0.9617252535	0.9618896151
0.9640350877	0.2856149376	0.344617884	1.206582145	0.962588563	0.9627483333
0.9649122807	0.2858717689	0.3449260886	1.206576256	0.9634541442	0.9636093549
0.9657894737	0.2861292759	0.3452351196	1.206570416	0.9643220025	0.9644726853
0.9666666667	0.28638746	0.3455449789	1.206564627	0.9651921428	0.9653383296
0.9675438596	0.2866463228	0.3458556684	1.206558887	0.9660645704	0.9662062932
0.9684210526	0.2869058658	0.3461671899	1.206553198	0.9669392905	0.9670765812
0.9692982456	0.2871660906	0.3464795454	1.206547558	0.9678163082	0.9679491991
0.9701754386	0.2874269986	0.3467927367	1.206541969	0.9686956288	0.9688241521
0.9710526316	0.2876885914	0.3471067658	1.206536429	0.9695772573	0.9697014455
0.9719298246	0.2879508706	0.3474216345	1.20653094	0.9704611989	0.9705810845
0.9728070175	0.2882138377	0.3477373448	1.206525501	0.971347459	0.9714630744
0.9736842105	0.2884774942	0.3480538985	1.206520111	0.9722360426	0.9723474207
0.9745614035	0.2887418417	0.3483712975	1.206514773	0.973126955	0.9732341285
0.9754385965	0.2890068818	0.3486895438	1.206509484	0.9740202013	0.9741232033
0.9763157895	0.2892726159	0.3490086392	1.206504246	0.9749157869	0.9750146502
0.9771929825	0.2895390456	0.3493285856	1.206499057	0.9758137169	0.9759084747
0.9780701754	0.2898061725	0.349649385	1.20649392	0.9767139965	0.9768046821
0.9789473684	0.2900739981	0.3499710393	1.206488832	0.9776166309	0.9777032777
0.9798245614	0.290342524	0.3502935503	1.206483795	0.9785216255	0.9786042669
0.9807017544	0.2906117518	0.3506169201	1.206478809	0.9794289854	0.9795076549
0.9815789474	0.2908816829	0.3509411504	1.206473873	0.9803387159	0.9804134472
0.9824561404	0.291152319	0.3512662433	1.206468987	0.9812508222	0.9813216491
0.9833333333	0.2914236615	0.3515922006	1.206464152	0.9821653096	0.982232266
0.9842105263	0.2916957122	0.3519190243	1.206459367	0.9830821833	0.9831453032
0.9850877193	0.2919684724	0.3522467162	1.206454633	0.9840014486	0.9840607661
0.9859649123	0.2922419439	0.3525752784	1.206449949	0.9849231108	0.9849786601
0.9868421053	0.2925161281	0.3529047127	1.206445317	0.9858471752	0.9858989906
0.9877192982	0.2927910266	0.3532350211	1.206440734	0.986773647	0.986821763
0.9885964912	0.293066641	0.3535662055	1.206436203	0.9877025314	0.9877469826
0.9894736842	0.2933429729	0.3538982678	1.206431722	0.9886338339	0.9886746548
0.9903508772	0.2936200238	0.35423121	1.206427291	0.9895675597	0.9896047851
0.9912280702	0.2938977953	0.354565034	1.206422912	0.9905037141	0.9905373788
0.9921052632	0.294176289	0.3548997417	1.206418583	0.9914423024	0.9914724414
0.9929824561	0.2944555064	0.3552353351	1.206414305	0.9923833299	0.9924099783
0.9938596491	0.2947354492	0.3555718161	1.206410078	0.9933268019	0.993349995
0.9947368421	0.2950161189	0.3559091867	1.206405901	0.9942727237	0.9942924967
0.9956140351	0.295297517	0.3562474488	1.206401775	0.9952211007	0.9952374891
0.9964912281	0.2955796452	0.3565866043	1.206397701	0.9961719382	0.9961849774
0.9973684211	0.2958625051	0.3569266553	1.206393677	0.9971252416	0.9971349673
0.998245614	0.2961460982	0.3572676036	1.206389703	0.9980810161	0.998087464
0.999122807	0.2964304261	0.3576094512	1.206385781	0.9990392671	0.9990424731
1	0.2967154905	0.3579522001	1.20638191	1	1
1.000877193	0.2970012928	0.3582958522	1.206378089	1.00096322	1.00096005
1.001754386	0.2972878347	0.3586404094	1.20637432	1.001928933	1.001922629
1.002631579	0.2975751178	0.3589858738	1.206370601	1.002897143	1.002887742
1.003508772	0.2978631436	0.3593322473	1.206366934	1.003867857	1.003855395
1.004385965	0.2981519139	0.3596795318	1.206363317	1.00484108	1.004825593
1.005263158	0.2984414301	0.3600277294	1.206359752	1.005816817	1.005798342
1.006140351	0.2987316938	0.360376842	1.206356237	1.006795073	1.006773647
1.007017544	0.2990227067	0.3607268715	1.206352773	1.007775854	1.007751514
1.007894737	0.2993144704	0.36107782	1.206349361	1.008759165	1.008731948
1.00877193	0.2996069864	0.3614296894	1.206345999	1.009745012	1.009714954
1.009649123	0.2999002564	0.3617824816	1.206342688	1.0107334	1.010700539
1.010526316	0.300194282	0.3621361987	1.206339429	1.011724334	1.011688708
1.011403509	0.3004890648	0.3624908426	1.20633622	1.01271782	1.012679466
