# VHH-NNLO scan points
# process: WplusHH
# energy_tev: 14
# scan_axis: kappa_2w
# scan_x_key: kappa_2w
# vmin: 0.7
# vmax: 1.3
# n_points: 400
# fixed_kappa: 1,1,1
#
kappa_2w	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.7	0.2156472193	0.25975485	1.204536051	0.694262315	0.6941581862
0.7015037594	0.216045761	0.2602339422	1.204531581	0.6955453943	0.6954384923
0.7030075188	0.2164450834	0.2607139872	1.204527186	0.6968309868	0.6967213448
0.7045112782	0.2168451864	0.2611949851	1.204522864	0.6981190926	0.6980067438
0.7060150376	0.2172460701	0.2616769358	1.204518617	0.6994097117	0.6992946893
0.707518797	0.2176477344	0.2621598395	1.204514443	0.700702844	0.7005851812
0.7090225564	0.2180501793	0.2626436961	1.204510342	0.7019984896	0.7018782196
0.7105263158	0.2184534049	0.2631285055	1.204506314	0.7032966484	0.7031738044
0.7120300752	0.2188574112	0.2636142678	1.204502358	0.7045973205	0.7044719357
0.7135338346	0.2192621981	0.264100983	1.204498474	0.7059005058	0.7057726134
0.715037594	0.2196677656	0.2645886511	1.204494662	0.7072062044	0.7070758376
0.7165413534	0.2200741138	0.2650772721	1.204490921	0.7085144163	0.7083816082
0.7180451128	0.2204812427	0.265566846	1.204487251	0.7098251414	0.7096899253
0.7195488722	0.2208891522	0.2660573728	1.204483652	0.7111383797	0.7110007889
0.7210526316	0.2212978423	0.2665488524	1.204480123	0.7124541313	0.7123141989
0.722556391	0.2217073132	0.2670412849	1.204476664	0.7137723962	0.7136301553
0.7240601504	0.2221175646	0.2675346703	1.204473274	0.7150931743	0.7149486583
0.7255639098	0.2225285967	0.2680290087	1.204469954	0.7164164656	0.7162697076
0.7270676692	0.2229404095	0.2685242998	1.204466702	0.7177422703	0.7175933034
0.7285714286	0.2233530029	0.2690205439	1.204463519	0.7190705881	0.7189194457
0.730075188	0.2237663769	0.2695177409	1.204460404	0.7204014192	0.7202481344
0.7315789474	0.2241805317	0.2700158907	1.204457357	0.7217347636	0.7215793696
0.7330827068	0.224595467	0.2705149935	1.204454378	0.7230706213	0.7229131513
0.7345864662	0.225011183	0.2710150491	1.204451465	0.7244089921	0.7242494793
0.7360902256	0.2254276797	0.2715160576	1.204448619	0.7257498763	0.7255883539
0.737593985	0.225844957	0.272018019	1.20444584	0.7270932737	0.7269297749
0.7390977444	0.226263015	0.2725209333	1.204443127	0.7284391843	0.7282737423
0.7406015038	0.2266818536	0.2730248004	1.20444048	0.7297876082	0.7296202563
0.7421052632	0.2271014728	0.2735296205	1.204437898	0.7311385454	0.7309693166
0.7436090226	0.2275218727	0.2740353934	1.204435381	0.7324919958	0.7323209234
0.745112782	0.2279430533	0.2745421192	1.204432929	0.7338479594	0.7336750767
0.7466165414	0.2283650145	0.275049798	1.204430541	0.7352064363	0.7350317764
0.7481203008	0.2287877564	0.2755584296	1.204428217	0.7365674265	0.7363910226
0.7496240602	0.2292112789	0.276068014	1.204425957	0.7379309299	0.7377528152
0.7511278195	0.2296355821	0.2765785514	1.204423761	0.7392969466	0.7391171543
0.7526315789	0.2300606659	0.2770900417	1.204421628	0.7406654765	0.7404840399
0.7541353383	0.2304865303	0.2776024848	1.204419557	0.7420365197	0.7418534719
0.7556390977	0.2309131755	0.2781158808	1.204417549	0.7434100761	0.7432254503
0.7571428571	0.2313406012	0.2786302298	1.204415603	0.7447861458	0.7445999752
0.7586466165	0.2317688076	0.2791455316	1.204413719	0.7461647288	0.7459770466
0.7601503759	0.2321977947	0.2796617862	1.204411896	0.747545825	0.7473566644
0.7616541353	0.2326275624	0.2801789938	1.204410135	0.7489294344	0.7487388286
0.7631578947	0.2330581108	0.2806971543	1.204408434	0.7503155571	0.7501235394
0.7646616541	0.2334894398	0.2812162676	1.204406794	0.7517041931	0.7515107965
0.7661654135	0.2339215495	0.2817363339	1.204405214	0.7530953423	0.7529006002
0.7676691729	0.2343544398	0.282257353	1.204403694	0.7544890047	0.7542929502
0.7691729323	0.2347881108	0.282779325	1.204402233	0.7558851805	0.7556878468
0.7706766917	0.2352225624	0.2833022499	1.204400832	0.7572838694	0.7570852898
0.7721804511	0.2356577947	0.2838261276	1.20439949	0.7586850717	0.7584852792
0.7736842105	0.2360938076	0.2843509583	1.204398206	0.7600887871	0.7598878151
0.7751879699	0.2365306011	0.2848767419	1.204396981	0.7614950159	0.7612928975
0.7766917293	0.2369681754	0.2854034783	1.204395813	0.7629037578	0.7627005263
0.7781954887	0.2374065302	0.2859311676	1.204394704	0.7643150131	0.7641107015
0.7796992481	0.2378456658	0.2864598098	1.204393651	0.7657287816	0.7655234232
0.7812030075	0.2382855819	0.2869894049	1.204392656	0.7671450633	0.7669386914
0.7827067669	0.2387262788	0.2875199529	1.204391718	0.7685638583	0.768356506
0.7842105263	0.2391677562	0.2880514538	1.204390836	0.7699851666	0.7697768671
0.7857142857	0.2396100144	0.2885839075	1.20439001	0.7714089881	0.7711997746
0.7872180451	0.2400530531	0.2891173142	1.20438924	0.7728353228	0.7726252286
0.7887218045	0.2404968726	0.2896516737	1.204388525	0.7742641708	0.7740532291
0.7902255639	0.2409414726	0.2901869861	1.204387866	0.7756955321	0.775483776
0.7917293233	0.2413868534	0.2907232514	1.204387262	0.7771294066	0.7769168693
0.7932330827	0.2418330147	0.2912604696	1.204386713	0.7785657944	0.7783525091
0.7947368421	0.2422799568	0.2917986407	1.204386217	0.7800046954	0.7797906954
0.7962406015	0.2427276794	0.2923377646	1.204385776	0.7814461097	0.7812314281
0.7977443609	0.2431761828	0.2928778415	1.204385389	0.7828900373	0.7826747072
0.7992481203	0.2436254667	0.2934188712	1.204385055	0.784336478	0.7841205329
0.8007518797	0.2440755314	0.2939608538	1.204384775	0.7857854321	0.7855689049
0.8022556391	0.2445263766	0.2945037893	1.204384547	0.7872368994	0.7870198235
0.8037593985	0.2449780026	0.2950476777	1.204384372	0.7886908799	0.7884732884
0.8052631579	0.2454304091	0.295592519	1.204384249	0.7901473737	0.7899292999
0.8067669173	0.2458835964	0.2961383132	1.204384178	0.7916063808	0.7913878578
0.8082706767	0.2463375643	0.2966850602	1.204384159	0.7930679011	0.7928489621
0.8097744361	0.2467923128	0.2972327601	1.204384192	0.7945319347	0.7943126129
0.8112781955	0.247247842	0.297781413	1.204384275	0.7959984815	0.7957788102
0.8127819549	0.2477041518	0.2983310187	1.20438441	0.7974675416	0.7972475539
0.8142857143	0.2481612423	0.2988815773	1.204384595	0.7989391149	0.798718844
0.8157894737	0.2486191134	0.2994330887	1.20438483	0.8004132015	0.8001926806
0.8172932331	0.2490777652	0.2999855531	1.204385116	0.8018898013	0.8016690637
0.8187969925	0.2495371976	0.3005389704	1.204385451	0.8033689144	0.8031479932
0.8203007519	0.2499974107	0.3010933405	1.204385836	0.8048505407	0.8046294692
0.8218045113	0.2504584044	0.3016486635	1.20438627	0.8063346803	0.8061134916
0.8233082707	0.2509201788	0.3022049394	1.204386753	0.8078213332	0.8076000605
0.8248120301	0.2513827339	0.3027621682	1.204387285	0.8093104992	0.8090891759
0.8263157895	0.2518460695	0.3033203499	1.204387865	0.8108021786	0.8105808377
0.8278195489	0.2523101859	0.3038794845	1.204388493	0.8122963712	0.8120750459
0.8293233083	0.2527750829	0.3044395719	1.204389169	0.8137930771	0.8135718006
0.8308270677	0.2532407605	0.3050006123	1.204389892	0.8152922962	0.8150711018
0.8323308271	0.2537072188	0.3055626055	1.204390663	0.8167940286	0.8165729494
0.8338345865	0.2541744577	0.3061255516	1.204391481	0.8182982742	0.8180773434
0.8353383459	0.2546424773	0.3066894506	1.204392346	0.819805033	0.819584284
0.8368421053	0.2551112775	0.3072543025	1.204393257	0.8213143052	0.8210937709
0.8383458647	0.2555808584	0.3078201073	1.204394215	0.8228260906	0.8226058044
0.8398496241	0.25605122	0.308386865	1.204395218	0.8243403892	0.8241203842
0.8413533835	0.2565223621	0.3089545755	1.204396268	0.8258572011	0.8256375106
0.8428571429	0.256994285	0.3095232389	1.204397362	0.8273765262	0.8271571834
0.8443609023	0.2574669885	0.3100928553	1.204398502	0.8288983646	0.8286794026
0.8458646617	0.2579404726	0.3106634245	1.204399687	0.8304227163	0.8302041683
0.8473684211	0.2584147374	0.3112349466	1.204400916	0.8319495812	0.8317314805
0.8488721805	0.2588897828	0.3118074215	1.20440219	0.8334789593	0.8332613391
0.8503759398	0.2593656089	0.3123808494	1.204403509	0.8350108507	0.8347937441
0.8518796992	0.2598422157	0.3129552302	1.204404871	0.8365452554	0.8363286956
0.8533834586	0.2603196031	0.3135305638	1.204406276	0.8380821733	0.8378661936
0.854887218	0.2607977711	0.3141068503	1.204407725	0.8396216045	0.839406238
0.8563909774	0.2612767198	0.3146840897	1.204409218	0.8411635489	0.8409488289
0.8578947368	0.2617564491	0.315262282	1.204410753	0.8427080066	0.8424939662
0.8593984962	0.2622369591	0.3158414272	1.204412331	0.8442549775	0.84404165
0.8609022556	0.2627182498	0.3164215253	1.204413951	0.8458044617	0.8455918803
0.862406015	0.2632003211	0.3170025762	1.204415614	0.8473564592	0.8471446569
0.8639097744	0.263683173	0.3175845801	1.204417318	0.8489109699	0.8486999801
0.8654135338	0.2641668056	0.3181675368	1.204419064	0.8504679938	0.8502578497
0.8669172932	0.2646512189	0.3187514464	1.204420852	0.852027531	0.8518182658
0.8684210526	0.2651364128	0.3193363089	1.20442268	0.8535895815	0.8533812283
0.869924812	0.2656223873	0.3199221243	1.20442455	0.8551541452	0.8549467372
0.8714285714	0.2661091425	0.3205088926	1.20442646	0.8567212221	0.8565147926
0.8729323308	0.2665966783	0.3210966137	1.204428411	0.8582908123	0.8580853945
0.8744360902	0.2670849948	0.3216852878	1.204430402	0.8598629158	0.8596585428
0.8759398496	0.267574092	0.3222749147	1.204432433	0.8614375325	0.8612342376
0.877443609	0.2680639698	0.3228654945	1.204434504	0.8630146625	0.8628124789
0.8789473684	0.2685546282	0.3234570272	1.204436614	0.8645943057	0.8643932665
0.8804511278	0.2690460673	0.3240495128	1.204438764	0.8661764622	0.8659766007
0.8819548872	0.2695382871	0.3246429513	1.204440953	0.867761132	0.8675624813
0.8834586466	0.2700312875	0.3252373427	1.20444318	0.869348315	0.8691509083
0.884962406	0.2705250685	0.3258326869	1.204445446	0.8709380112	0.8707418818
0.8864661654	0.2710196302	0.326428984	1.204447751	0.8725302207	0.8723354018
0.8879699248	0.2715149726	0.3270262341	1.204450093	0.8741249434	0.8739314682
0.8894736842	0.2720110956	0.327624437	1.204452474	0.8757221794	0.8755300811
0.8909774436	0.2725079992	0.3282235928	1.204454892	0.8773219287	0.8771312404
0.892481203	0.2730056835	0.3288237014	1.204457348	0.8789241912	0.8787349462
0.8939849624	0.2735041485	0.329424763	1.20445984	0.880528967	0.8803411984
0.8954887218	0.2740033941	0.3300267775	1.20446237	0.882136256	0.8819499971
