# VHH-NNLO scan points
# process: WplusHH
# energy_tev: 14
# scan_axis: kappa_lambda
# scan_x_key: kappa_lambda
# vmin: -0.7
# vmax: 6.1
# n_points: 400
# fixed_kappa: 1,1,1
#
kappa_lambda	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
-0.7	0.1270156486	0.1539203981	1.211822321	0.4089186891	0.4113305463
-0.6829573935	0.1278823916	0.1549561604	1.21170834	0.4117091121	0.4140984748
-0.665914787	0.1287688578	0.1560156708	1.211594741	0.4145630329	0.416929867
-0.6488721805	0.1296750473	0.1570989295	1.211481567	0.4174804515	0.4198247228
-0.6318295739	0.13060096	0.1582059363	1.211368862	0.4204613679	0.4227830424
-0.6147869674	0.131546596	0.1593366913	1.211256666	0.4235057822	0.4258048256
-0.5977443609	0.1325119554	0.1604911945	1.211145018	0.4266136942	0.4288900726
-0.5807017544	0.1334970379	0.1616694459	1.211033956	0.429785104	0.4320387832
-0.5636591479	0.1345018438	0.1628714455	1.210923515	0.4330200117	0.4352509575
-0.5466165414	0.1355263729	0.1640971933	1.210813731	0.4363184171	0.4385265955
-0.5295739348	0.1365706253	0.1653466893	1.210704636	0.4396803204	0.4418656972
-0.5125313283	0.137634601	0.1666199334	1.210596262	0.4431057214	0.4452682626
-0.4954887218	0.1387182999	0.1679169258	1.210488637	0.4465946203	0.4487342917
-0.4784461153	0.1398217222	0.1692376663	1.21038179	0.450147017	0.4522637844
-0.4614035088	0.1409448676	0.1705821551	1.210275748	0.4537629115	0.4558567409
-0.4443609023	0.1420877364	0.171950392	1.210170535	0.4574423037	0.459513161
-0.4273182957	0.1432503285	0.1733423771	1.210066176	0.4611851938	0.4632330448
-0.4102756892	0.1444326438	0.1747581104	1.209962692	0.4649915817	0.4670163924
-0.3932330827	0.1456346824	0.1761975919	1.209860104	0.4688614674	0.4708632036
-0.3761904762	0.1468564442	0.1776608216	1.209758432	0.472794851	0.4747734785
-0.3591478697	0.1480979293	0.1791477995	1.209657693	0.4767917323	0.4787472171
-0.3421052632	0.1493591378	0.1806585256	1.209557904	0.4808521114	0.4827844193
-0.3250626566	0.1506400694	0.1821929999	1.209459081	0.4849759883	0.4868850853
-0.3080200501	0.1519407244	0.1837512223	1.209361237	0.4891633631	0.491049215
-0.2909774436	0.1532611026	0.185333193	1.209264385	0.4934142356	0.4952768083
-0.2739348371	0.1546012041	0.1869389118	1.209168537	0.4977286059	0.4995678653
-0.2568922306	0.1559610289	0.1885683788	1.209073704	0.5021064741	0.5039223861
-0.2398496241	0.1573405769	0.1902215941	1.208979894	0.5065478401	0.5083403705
-0.2228070175	0.1587398482	0.1918985575	1.208887117	0.5110527038	0.5128218186
-0.205764411	0.1601588428	0.1935992691	1.208795379	0.5156210654	0.5173667304
-0.1887218045	0.1615975607	0.1953237289	1.208704686	0.5202529248	0.5219751059
-0.171679198	0.1630560018	0.1970719368	1.208615044	0.524948282	0.526646945
-0.1546365915	0.1645341662	0.198843893	1.208526457	0.5297071369	0.5313822479
