# VHH-NNLO scan points
# process: WplusHH
# energy_tev: 14
# scan_axis: kappa_w
# scan_x_key: kappa_w
# vmin: 0.8
# vmax: 1.2
# n_points: 400
# fixed_kappa: 1,1,1
#
kappa_w	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.8	0.2596984547	0.3134066097	1.206809683	0.8360824263	0.8375349438
0.8010025063	0.2598831287	0.3136253516	1.206793812	0.8366769722	0.8381195007
0.8020050125	0.2600683745	0.3138447892	1.206777986	0.837273359	0.8387059168
0.8030075188	0.2602541941	0.314064925	1.206762205	0.8378715933	0.8392941986
0.8040100251	0.2604405895	0.3142857614	1.206746468	0.8384716812	0.8398843526
0.8050125313	0.2606275626	0.3145073007	1.206730775	0.8390736293	0.8404763853
0.8060150376	0.2608151156	0.3147295456	1.206715128	0.8396774439	0.8410703032
0.8070175439	0.2610032503	0.3149524983	1.206699526	0.8402831314	0.8416661129
0.8080200501	0.2611919687	0.3151761613	1.206683969	0.8408906983	0.8422638209
0.8090225564	0.2613812729	0.3154005372	1.206668457	0.8415001508	0.8428634337
0.8100250627	0.2615711648	0.3156256283	1.206652991	0.8421114955	0.843464958
0.8110275689	0.2617616464	0.3158514371	1.206637571	0.8427247388	0.8440684001
0.8120300752	0.2619527198	0.3160779661	1.206622197	0.8433398872	0.8446737669
0.8130325815	0.2621443868	0.3163052177	1.206606869	0.843956947	0.8452810647
0.8140350877	0.2623366497	0.3165331944	1.206591587	0.8445759248	0.8458903003
0.815037594	0.2625295102	0.3167618987	1.206576352	0.845196827	0.8465014802
0.8160401003	0.2627229706	0.316991333	1.206561163	0.8458196601	0.8471146109
0.8170426065	0.2629170327	0.3172214998	1.206546021	0.8464444305	0.8477296993
0.8180451128	0.2631116986	0.3174524016	1.206530927	0.8470711448	0.8483467517
0.819047619	0.2633069703	0.3176840409	1.206515879	0.8476998095	0.848965775
0.8200501253	0.2635028499	0.3179164201	1.206500879	0.8483304311	0.8495867757
0.8210526316	0.2636993393	0.3181495418	1.206485927	0.8489630161	0.8502097605
0.8220551378	0.2638964406	0.3183834084	1.206471022	0.849597571	0.8508347361
0.8230576441	0.2640941558	0.3186180225	1.206456165	0.8502341025	0.8514617091
0.8240601504	0.264292487	0.3188533865	1.206441356	0.8508726169	0.8520906862
0.8250626566	0.2644914362	0.3190895029	1.206426596	0.8515131209	0.8527216741
0.8260651629	0.2646910053	0.3193263743	1.206411884	0.852155621	0.8533546795
0.8270676692	0.2648911966	0.3195640032	1.20639722	0.8528001239	0.8539897091
0.8280701754	0.265092012	0.319802392	1.206382605	0.8534466361	0.8546267696
0.8290726817	0.2652934535	0.3200415433	1.206368039	0.8540951641	0.8552658677
0.830075188	0.2654955233	0.3202814596	1.206353522	0.8547457146	0.8559070102
0.8310776942	0.2656982233	0.3205221435	1.206339055	0.8553982943	0.8565502039
0.8320802005	0.2659015556	0.3207635974	1.206324636	0.8560529096	0.8571954554
0.8330827068	0.2661055223	0.3210058239	1.206310268	0.8567095673	0.8578427715
0.834085213	0.2663101255	0.3212488255	1.206295949	0.8573682739	0.858492159
0.8350877193	0.2665153671	0.3214926048	1.20628168	0.8580290362	0.8591436247
0.8360902256	0.2667212494	0.3217371642	1.206267461	0.8586918607	0.8597971753
0.8370927318	0.2669277742	0.3219825064	1.206253292	0.8593567541	0.8604528177
0.8380952381	0.2671349438	0.3222286339	1.206239174	0.8600237232	0.8611105586
0.8390977444	0.2673427601	0.3224755492	1.206225106	0.8606927745	0.8617704049
0.8401002506	0.2675512253	0.3227232549	1.206211089	0.8613639147	0.8624323634
0.8411027569	0.2677603414	0.3229717535	1.206197123	0.8620371506	0.863096441
0.8421052632	0.2679701106	0.3232210476	1.206183208	0.8627124889	0.8637626443
0.8431077694	0.2681805349	0.3234711398	1.206169344	0.8633899362	0.8644309804
0.8441102757	0.2683916163	0.3237220326	1.206155532	0.8640694994	0.8651014561
0.845112782	0.268603357	0.3239737287	1.206141771	0.864751185	0.8657740782
0.8461152882	0.2688157591	0.3242262304	1.206128061	0.8654349999	0.8664488536
0.8471177945	0.2690288247	0.3244795406	1.206114404	0.8661209508	0.8671257892
0.8481203008	0.2692425559	0.3247336616	1.206100799	0.8668090444	0.8678048919
0.849122807	0.2694569547	0.3249885962	1.206087245	0.8674992876	0.8684861686
0.8501253133	0.2696720233	0.3252443469	1.206073744	0.8681916871	0.8691696261
0.8511278195	0.2698877638	0.3255009162	1.206060296	0.8688862496	0.8698552715
0.8521303258	0.2701041782	0.3257583069	1.2060469	0.869582982	0.8705431117
0.8531328321	0.2703212688	0.3260165214	1.206033557	0.8702818911	0.8712331535
0.8541353383	0.2705390376	0.3262755623	1.206020267	0.8709829837	0.8719254039
0.8551378446	0.2707574867	0.3265354324	1.20600703	0.8716862665	0.87261987
0.8561403509	0.2709766183	0.3267961341	1.205993846	0.8723917465	0.8733165586
0.8571428571	0.2711964344	0.3270576701	1.205980716	0.8730994304	0.8740154767
0.8581453634	0.2714169373	0.3273200431	1.205967639	0.8738093252	0.8747166313
0.8591478697	0.271638129	0.3275832555	1.205954616	0.8745214375	0.8754200294
0.8601503759	0.2718600116	0.3278473101	1.205941647	0.8752357744	0.876125678
0.8611528822	0.2720825874	0.3281122094	1.205928731	0.8759523426	0.8768335842
0.8621553885	0.2723058583	0.3283779562	1.20591587	0.8766711492	0.8775437548
0.8631578947	0.2725298267	0.3286445529	1.205903064	0.8773922008	0.878256197
0.864160401	0.2727544945	0.3289120023	1.205890311	0.8781155045	0.8789709178
0.8651629073	0.2729798641	0.329180307	1.205877613	0.8788410671	0.8796879241
0.8661654135	0.2732059374	0.3294494696	1.20586497	0.8795688956	0.8804072232
0.8671679198	0.2734327166	0.3297194927	1.205852382	0.8802989968	0.881128822
0.8681704261	0.273660204	0.3299903791	1.205839849	0.8810313777	0.8818527277
0.8691729323	0.2738884017	0.3302621314	1.205827371	0.8817660453	0.8825789472
0.8701754386	0.2741173117	0.3305347521	1.205814949	0.8825030065	0.8833074877
0.8711779449	0.2743469364	0.3308082441	1.205802581	0.8832422682	0.8840383563
0.8721804511	0.2745772777	0.3310826098	1.20579027	0.8839838374	0.8847715601
0.8731829574	0.274808338	0.3313578521	1.205778014	0.8847277211	0.8855071061
0.8741854637	0.2750401194	0.3316339735	1.205765814	0.8854739263	0.8862450016
0.8751879699	0.275272624	0.3319109767	1.20575367	0.8862224599	0.8869852537
0.8761904762	0.2755058541	0.3321888644	1.205741582	0.886973329	0.8877278694
0.8771929825	0.2757398117	0.3324676393	1.205729551	0.8877265406	0.888472856
0.8781954887	0.2759744991	0.3327473041	1.205717576	0.8884821016	0.8892202206
0.879197995	0.2762099185	0.3330278614	1.205705657	0.8892400191	0.8899699704
0.8802005013	0.2764460721	0.3333093139	1.205693796	0.8900003002	0.8907221125
0.8812030075	0.2766829619	0.3335916643	1.205681991	0.8907629518	0.8914766542
0.8822055138	0.2769205903	0.3338749154	1.205670243	0.8915279811	0.8922336026
0.8832080201	0.2771589594	0.3341590697	1.205658552	0.8922953951	0.892992965
0.8842105263	0.2773980715	0.33444413	1.205646918	0.8930652008	0.8937547485
0.8852130326	0.2776379286	0.334730099	1.205635342	0.8938374054	0.8945189604
0.8862155388	0.277878533	0.3350169795	1.205623824	0.894612016	0.8952856079
0.8872180451	0.278119887	0.335304774	1.205612362	0.8953890395	0.8960546982
0.8882205514	0.2783619927	0.3355934854	1.205600959	0.8961684832	0.8968262386
0.8892230576	0.2786048523	0.3358831163	1.205589614	0.8969503541	0.8976002364
0.8902255639	0.2788484681	0.3361736695	1.205578326	0.8977346594	0.8983766988
0.8912280702	0.2790928422	0.3364651477	1.205567097	0.8985214061	0.8991556331
0.8922305764	0.279337977	0.3367575536	1.205555926	0.8993106015	0.8999370466
0.8932330827	0.2795838745	0.3370508899	1.205544814	0.9001022527	0.9007209465
0.894235589	0.279830537	0.3373451594	1.20553376	0.9008963668	0.9015073402
0.8952380952	0.2800779668	0.3376403648	1.205522765	0.901692951	0.902296235
0.8962406015	0.280326166	0.3379365089	1.205511828	0.9024920125	0.9030876382
0.8972431078	0.280575137	0.3382335943	1.20550095	0.9032935584	0.9038815571
0.898245614	0.2808248819	0.3385316239	1.205490132	0.904097596	0.9046779991
0.8992481203	0.281075403	0.3388306003	1.205479372	0.9049041325	0.9054769715
0.9002506266	0.2813267024	0.3391305264	1.205468672	0.905713175	0.9062784817
0.9012531328	0.2815787826	0.3394314049	1.205458031	0.9065247307	0.907082537
0.9022556391	0.2818316456	0.3397332386	1.20544745	0.907338807	0.9078891448
0.9032581454	0.2820852938	0.3400360301	1.205436928	0.908155411	0.9086983125
0.9042606516	0.2823397294	0.3403397823	1.205426466	0.9089745499	0.9095100475
0.9052631579	0.2825949546	0.340644498	1.205416064	0.9097962311	0.9103243571
0.9062656642	0.2828509718	0.3409501799	1.205405722	0.9106204618	0.9111412489
0.9072681704	0.2831077831	0.3412568308	1.20539544	0.9114472493	0.9119607301
0.9082706767	0.2833653908	0.3415644535	1.205385218	0.9122766007	0.9127828083
0.909273183	0.2836237973	0.3418730507	1.205375057	0.9131085235	0.9136074908
0.9102756892	0.2838830046	0.3421826253	1.205364956	0.913943025	0.9144347852
0.9112781955	0.2841430152	0.34249318	1.205354915	0.9147801123	0.9152646988
0.9122807018	0.2844038313	0.3428047176	1.205344935	0.9156197929	0.9160972391
0.913283208	0.2846654552	0.3431172409	1.205335016	0.916462074	0.9169324137
0.9142857143	0.2849278891	0.3434307528	1.205325158	0.9173069631	0.9177702299
0.9152882206	0.2851911353	0.343745256	1.20531536	0.9181544673	0.9186106952
0.9162907268	0.2854551961	0.3440607533	1.205305624	0.9190045941	0.9194538172
0.9172932331	0.2857200739	0.3443772475	1.205295949	0.9198573509	0.9202996034
0.9182957393	0.2859857708	0.3446947415	1.205286335	0.9207127449	0.9211480613
0.9192982456	0.2862522891	0.345013238	1.205276782	0.9215707837	0.9219991984
0.9203007519	0.2865196313	0.3453327399	1.205267291	0.9224314744	0.9228530222
0.9213032581	0.2867877995	0.3456532501	1.205257862	0.9232948247	0.9237095402
0.9223057644	0.287056796	0.3459747712	1.205248494	0.9241608417	0.9245687602
0.9233082707	0.2873266232	0.3462973062	1.205239188	0.925029533	0.9254306895
0.9243107769	0.2875972834	0.3466208579	1.205229944	0.925900906	0.9262953357
0.9253132832	0.2878687789	0.3469454291	1.205220762	0.9267749681	0.9271627065
0.9263157895	0.2881411119	0.3472710227	1.205211642	0.9276517267	0.9280328094
0.9273182957	0.2884142848	0.3475976415	1.205202585	0.9285311893	0.9289056521
0.928320802	0.2886882999	0.3479252884	1.205193589	0.9294133633	0.929781242
0.9293233083	0.2889631596	0.3482539661	1.205184656	0.9302982562	0.9306595869
0.9303258145	0.2892388661	0.3485836776	1.205175785	0.9311858754	0.9315406944
0.9313283208	0.2895154217	0.3489144257	1.205166977	0.9320762285	0.932424572
0.9323308271	0.2897928289	0.3492462133	1.205158232	0.9329693229	0.9333112274
0.9333333333	0.2900710898	0.3495790431	1.205149549	0.9338651662	0.9342006683
0.9343358396	0.2903502069	0.3499129182	1.205140929	0.9347637657	0.9350929024
0.9353383459	0.2906301825	0.3502478414	1.205132372	0.9356651291	0.9359879372
0.9363408521	0.290911019	0.3505838154	1.205123878	0.9365692639	0.9368857806
0.9373433584	0.2911927185	0.3509208433	1.205115448	0.9374761775	0.93778644
0.9383458647	0.2914752836	0.3512589279	1.20510708	0.9383858775	0.9386899234
0.9393483709	0.2917587165	0.3515980721	1.205098775	0.9392983716	0.9395962382
0.9403508772	0.2920430197	0.3519382787	1.205090534	0.9402136671	0.9405053924
0.9413533835	0.2923281953	0.3522795506	1.205082357	0.9411317718	0.9414173935
0.9423558897	0.2926142459	0.3526218908	1.205074243	0.9420526931	0.9423322493
0.943358396	0.2929011737	0.3529653021	1.205066192	0.9429764387	0.9432499676
0.9443609023	0.2931889811	0.3533097874	1.205058205	0.9439030162	0.944170556
0.9453634085	0.2934776705	0.3536553497	1.205050282	0.944832433	0.9450940224
0.9463659148	0.2937672442	0.3540019918	1.205042423	0.945764697	0.9460203745
0.9473684211	0.2940577047	0.3543497166	1.205034628	0.9466998156	0.9469496201
0.9483709273	0.2943490542	0.3546985271	1.205026896	0.9476377965	0.947881767
0.9493734336	0.2946412951	0.3550484262	1.205019229	0.9485786473	0.9488168229
0.9503759398	0.2949344298	0.3553994168	1.205011626	0.9495223757	0.9497547957
0.9513784461	0.2952284608	0.3557515018	1.205004087	0.9504689894	0.9506956931
0.9523809524	0.2955233903	0.3561046841	1.204996612	0.9514184959	0.951639523
0.9533834586	0.2958192207	0.3564589667	1.204989202	0.952370903	0.9525862932
0.9543859649	0.2961159545	0.3568143524	1.204981856	0.9533262183	0.9535360116
0.9553884712	0.2964135941	0.3571708444	1.204974574	0.9542844496	0.9544886859
0.9563909774	0.2967121417	0.3575284454	1.204967358	0.9552456044	0.9554443241
0.9573934837	0.2970115999	0.3578871584	1.204960205	0.9562096907	0.956402934
0.95839599	0.2973119709	0.3582469863	1.204953118	0.9571767159	0.9573645235
0.9593984962	0.2976132573	0.3586079322	1.204946095	0.9581466879	0.9583291004
0.9604010025	0.2979154614	0.3589699989	1.204939137	0.9591196144	0.9592966726
0.9614035088	0.2982185855	0.3593331894	1.204932244	0.9600955031	0.9602672481
0.962406015	0.2985226322	0.3596975068	1.204925416	0.9610743619	0.9612408347
0.9634085213	0.2988276038	0.3600629538	1.204918653	0.9620561983	0.9622174404
0.9644110276	0.2991335028	0.3604295336	1.204911955	0.9630410203	0.963197073
0.9654135338	0.2994403315	0.360797249	1.204905322	0.9640288355	0.9641797406
0.9664160401	0.2997480924	0.361166103	1.204898754	0.9650196518	0.965165451
0.9674185464	0.3000567878	0.3615360987	1.204892252	0.9660134769	0.9661542122
0.9684210526	0.3003664203	0.361907239	1.204885814	0.9670103187	0.9671460322
0.9694235589	0.3006769922	0.3622795268	1.204879443	0.968010185	0.9681409189
0.9704260652	0.300988506	0.3626529652	1.204873136	0.9690130835	0.9691388803
0.9714285714	0.3013009641	0.3630275571	1.204866895	0.9700190222	0.9701399245
0.9724310777	0.3016143689	0.3634033056	1.20486072	0.9710280087	0.9711440593
0.973433584	0.3019287229	0.3637802136	1.20485461	0.9720400511	0.9721512928
0.9744360902	0.3022440285	0.3641582842	1.204848566	0.9730551571	0.973161633
0.9754385965	0.3025602881	0.3645375203	1.204842587	0.9740733346	0.9741750879
0.9764411028	0.3028775042	0.3649179249	1.204836674	0.9750945915	0.9751916656
0.977443609	0.3031956793	0.3652995011	1.204830827	0.9761189356	0.9762113741
0.9784461153	0.3035148158	0.3656822518	1.204825046	0.9771463749	0.9772342215
0.9794486216	0.3038349161	0.3660661802	1.20481933	0.9781769172	0.9782602157
0.9804511278	0.3041559827	0.3664512891	1.204813681	0.9792105704	0.979289365
0.9814536341	0.3044780181	0.3668375816	1.204808097	0.9802473425	0.9803216772
0.9824561404	0.3048010246	0.3672250607	1.20480258	0.9812872413	0.9813571606
0.9834586466	0.3051250049	0.3676137296	1.204797128	0.9823302749	0.9823958232
0.9844611529	0.3054499613	0.3680035911	1.204791743	0.983376451	0.9834376732
0.9854636591	0.3057758963	0.3683946484	1.204786423	0.9844257778	0.9844827185
0.9864661654	0.3061028124	0.3687869044	1.20478117	0.9854782632	0.9855309675
0.9874686717	0.3064307121	0.3691803623	1.204775983	0.986533915	0.9865824281
0.9884711779	0.3067595978	0.369575025	1.204770862	0.9875927413	0.9876371085
