# VHH-NNLO scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: kappa_2z
# scan_x_key: kappa_2z
# vmin: 0.7
# vmax: 1.3
# n_points: 400
# fixed_kappa: 1,1,1,1
#
kappa_2z	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.7	0.2053191649	0.2941517285	1.432655976	0.7063043682	0.7419357501
0.7015037594	0.2056865975	0.2945909948	1.43223233	0.7075683479	0.7430437068
0.7030075188	0.2060546399	0.2950310025	1.431809556	0.7088344251	0.7441535335
0.7045112782	0.206423292	0.2954717516	1.431387654	0.7101025999	0.7452652303
0.7060150376	0.2067925538	0.2959132421	1.430966622	0.7113728722	0.746378797
0.707518797	0.2071624254	0.296355474	1.430546459	0.712645242	0.7474942338
0.7090225564	0.2075329067	0.2967984473	1.430127164	0.7139197093	0.7486115405
0.7105263158	0.2079039977	0.297242162	1.429708737	0.7151962742	0.7497307173
0.7120300752	0.2082756985	0.297686618	1.429291176	0.7164749365	0.7508517641
0.7135338346	0.208648009	0.2981318155	1.42887448	0.7177556964	0.7519746809
0.715037594	0.2090209293	0.2985777544	1.428458649	0.7190385538	0.7530994677
0.7165413534	0.2093944593	0.2990244346	1.428043682	0.7203235087	0.7542261245
0.7180451128	0.209768599	0.2994718563	1.427629577	0.7216105612	0.7553546513
0.7195488722	0.2101433485	0.2999200193	1.427216333	0.7228997111	0.7564850481
0.7210526316	0.2105187077	0.3003689237	1.42680395	0.7241909586	0.757617315
0.722556391	0.2108946767	0.3008185696	1.426392426	0.7254843036	0.7587514518
0.7240601504	0.2112712554	0.3012689568	1.425981761	0.7267797462	0.7598874587
0.7255639098	0.2116484438	0.3017200854	1.425571953	0.7280772862	0.7610253355
0.7270676692	0.212026242	0.3021719554	1.425163001	0.7293769238	0.7621650824
0.7285714286	0.2124046499	0.3026245668	1.424754905	0.7306786588	0.7633066993
0.730075188	0.2127836675	0.3030779196	1.424347663	0.7319824914	0.7644501862
0.7315789474	0.2131632949	0.3035320138	1.423941274	0.7332884216	0.7655955431
0.7330827068	0.2135435321	0.3039868494	1.423535737	0.7345964492	0.76674277
0.7345864662	0.2139243789	0.3044424264	1.423131052	0.7359065744	0.7678918669
0.7360902256	0.2143058355	0.3048987447	1.422727216	0.737218797	0.7690428339
0.737593985	0.2146879019	0.3053558045	1.422324229	0.7385331172	0.7701956708
0.7390977444	0.2150705779	0.3058136056	1.42192209	0.7398495349	0.7713503777
0.7406015038	0.2154538638	0.3062721482	1.421520797	0.7411680502	0.7725069547
0.7421052632	0.2158377593	0.3067314321	1.42112035	0.7424886629	0.7736654017
0.7436090226	0.2162222646	0.3071914575	1.420720748	0.7438113732	0.7748257187
0.745112782	0.2166073797	0.3076522242	1.420321989	0.745136181	0.7759879056
0.7466165414	0.2169931044	0.3081137323	1.419924072	0.7464630863	0.7771519626
0.7481203008	0.2173794389	0.3085759819	1.419526996	0.7477920892	0.7783178896
0.7496240602	0.2177663832	0.3090389728	1.41913076	0.7491231895	0.7794856867
0.7511278195	0.2181539372	0.3095027051	1.418735362	0.7504563874	0.7806553537
0.7526315789	0.2185421009	0.3099671788	1.418340803	0.7517916828	0.7818268907
0.7541353383	0.2189308744	0.3104323939	1.417947079	0.7531290757	0.7830002978
0.7556390977	0.2193202576	0.3108983504	1.417554191	0.7544685661	0.7841755748
0.7571428571	0.2197102505	0.3113650482	1.417162137	0.7558101541	0.7853527219
0.7586466165	0.2201008532	0.3118324875	1.416770917	0.7571538396	0.7865317389
0.7601503759	0.2204920656	0.3123006682	1.416380527	0.7584996226	0.787712626
0.7616541353	0.2208838878	0.3127695902	1.415990969	0.7598475031	0.7888953831
0.7631578947	0.2212763197	0.3132392537	1.41560224	0.7611974811	0.7900800102
0.7646616541	0.2216693613	0.3137096585	1.415214339	0.7625495567	0.7912665073
0.7661654135	0.2220630127	0.3141808048	1.414827265	0.7639037297	0.7924548744
0.7676691729	0.2224572738	0.3146526924	1.414441016	0.7652600003	0.7936451115
0.7691729323	0.2228521446	0.3151253215	1.414055593	0.7666183684	0.7948372187
0.7706766917	0.2232476252	0.3155986919	1.413670992	0.7679788341	0.7960311958
0.7721804511	0.2236437155	0.3160728037	1.413287214	0.7693413972	0.797227043
0.7736842105	0.2240404156	0.3165476569	1.412904257	0.7707060579	0.7984247601
0.7751879699	0.2244377254	0.3170232515	1.412522119	0.7720728161	0.7996243473
0.7766917293	0.224835645	0.3174995875	1.4121408	0.7734416718	0.8008258045
0.7781954887	0.2252341742	0.3179766649	1.411760298	0.774812625	0.8020291317
0.7796992481	0.2256333133	0.3184544837	1.411380612	0.7761856758	0.8032343289
0.7812030075	0.226033062	0.3189330439	1.41100174	0.7775608241	0.8044413961
0.7827067669	0.2264334205	0.3194123454	1.410623682	0.7789380698	0.8056503333
0.7842105263	0.2268343888	0.3198923884	1.410246436	0.7803174132	0.8068611405
0.7857142857	0.2272359667	0.3203731728	1.409870002	0.781698854	0.8080738178
0.7872180451	0.2276381544	0.3208546985	1.409494376	0.7830823923	0.809288365
0.7887218045	0.2280409519	0.3213369657	1.409119559	0.7844680282	0.8105047823
0.7902255639	0.2284443591	0.3218199742	1.40874555	0.7858557616	0.8117230695
0.7917293233	0.228848376	0.3223037242	1.408372346	0.7872455925	0.8129432268
0.7932330827	0.2292530027	0.3227882155	1.407999946	0.7886375209	0.8141652541
0.7947368421	0.2296582391	0.3232734482	1.40762835	0.7900315469	0.8153891514
0.7962406015	0.2300640852	0.3237594223	1.407257556	0.7914276703	0.8166149187
0.7977443609	0.2304705411	0.3242461378	1.406887563	0.7928258913	0.817842556
0.7992481203	0.2308776067	0.3247335947	1.406518368	0.7942262098	0.8190720633
0.8007518797	0.2312852821	0.325221793	1.406149972	0.7956286259	0.8203034406
0.8022556391	0.2316935672	0.3257107327	1.405782373	0.7970331394	0.821536688
0.8037593985	0.232102462	0.3262004138	1.405415569	0.7984397505	0.8227718053
0.8052631579	0.2325119666	0.3266908363	1.40504956	0.799848459	0.8240087927
0.8067669173	0.2329220809	0.3271820002	1.404684343	0.8012592652	0.8252476501
0.8082706767	0.233332805	0.3276739054	1.404319918	0.8026721688	0.8264883774
0.8097744361	0.2337441388	0.3281665521	1.403956282	0.8040871699	0.8277309748
0.8112781955	0.2341560823	0.3286599401	1.403593436	0.8055042686	0.8289754422
0.8127819549	0.2345686356	0.3291540696	1.403231377	0.8069234648	0.8302217796
0.8142857143	0.2349817986	0.3296489404	1.402870105	0.8083447585	0.831469987
0.8157894737	0.2353955713	0.3301445527	1.402509617	0.8097681497	0.8327200644
0.8172932331	0.2358099538	0.3306409063	1.402149913	0.8111936384	0.8339720119
0.8187969925	0.236224946	0.3311380013	1.401790992	0.8126212247	0.8352258293
0.8203007519	0.236640548	0.3316358377	1.401432851	0.8140509085	0.8364815168
0.8218045113	0.2370567597	0.3321344155	1.401075489	0.8154826898	0.8377390742
0.8233082707	0.2374735811	0.3326337347	1.400718906	0.8169165686	0.8389985017
0.8248120301	0.2378910123	0.3331337953	1.4003631	0.8183525449	0.8402597992
0.8263157895	0.2383090532	0.3336345973	1.400008069	0.8197906188	0.8415229667
0.8278195489	0.2387277039	0.3341361407	1.399653812	0.8212307902	0.8427880042
0.8293233083	0.2391469642	0.3346384255	1.399300328	0.8226730591	0.8440549117
0.8308270677	0.2395668344	0.3351414516	1.398947615	0.8241174255	0.8453236892
0.8323308271	0.2399873142	0.3356452192	1.398595673	0.8255638894	0.8465943367
0.8338345865	0.2404084038	0.3361497282	1.398244499	0.8270124509	0.8478668542
0.8353383459	0.2408301032	0.3366549785	1.397894092	0.8284631099	0.8491412418
0.8368421053	0.2412524123	0.3371609703	1.397544452	0.8299158664	0.8504174993
0.8383458647	0.2416753311	0.3376677034	1.397195576	0.8313707204	0.8516956269
0.8398496241	0.2420988597	0.3381751779	1.396847463	0.8328276719	0.8529756245
0.8413533835	0.242522998	0.3386833939	1.396500112	0.834286721	0.854257492
0.8428571429	0.242947746	0.3391923512	1.396153522	0.8357478676	0.8555412296
0.8443609023	0.2433731038	0.3397020499	1.39580769	0.8372111117	0.8568268372
0.8458646617	0.2437990713	0.34021249	1.395462617	0.8386764533	0.8581143148
0.8473684211	0.2442256485	0.3407236715	1.3951183	0.8401438924	0.8594036625
0.8488721805	0.2446528355	0.3412355944	1.394774737	0.8416134291	0.8606948801
0.8503759398	0.2450806323	0.3417482587	1.394431928	0.8430850632	0.8619879677
0.8518796992	0.2455090387	0.3422616644	1.394089872	0.8445587949	0.8632829254
0.8533834586	0.245938055	0.3427758114	1.393748566	0.8460346242	0.864579753
0.854887218	0.2463676809	0.3432906999	1.39340801	0.8475125509	0.8658784507
0.8563909774	0.2467979166	0.3438063298	1.393068201	0.8489925751	0.8671790183
0.8578947368	0.247228762	0.344322701	1.39272914	0.8504746969	0.868481456
0.8593984962	0.2476602172	0.3448398137	1.392390823	0.8519589162	0.8697857637
0.8609022556	0.2480922821	0.3453576677	1.392053251	0.853445233	0.8710919414
0.862406015	0.2485249567	0.3458762632	1.39171642	0.8549336474	0.8723999891
0.8639097744	0.2489582411	0.3463956	1.391380331	0.8564241592	0.8737099068
0.8654135338	0.2493921352	0.3469156782	1.391044982	0.8579167686	0.8750216946
0.8669172932	0.2498266391	0.3474364978	1.390710371	0.8594114755	0.8763353523
0.8684210526	0.2502617527	0.3479580588	1.390376496	0.8609082799	0.8776508801
0.869924812	0.250697476	0.3484803612	1.390043358	0.8624071818	0.8789682778
0.8714285714	0.2511338091	0.349003405	1.389710953	0.8639081813	0.8802875456
0.8729323308	0.2515707519	0.3495271902	1.389379281	0.8654112782	0.8816086834
0.8744360902	0.2520083044	0.3500517168	1.38904834	0.8669164727	0.8829316911
0.8759398496	0.2524464667	0.3505769848	1.388718129	0.8684237647	0.8842565689
0.877443609	0.2528852387	0.3511029942	1.388388646	0.8699331543	0.8855833167
0.8789473684	0.2533246205	0.3516297449	1.38805989	0.8714446413	0.8869119345
0.8804511278	0.253764612	0.3521572371	1.38773186	0.8729582259	0.8882424224
0.8819548872	0.2542052132	0.3526854707	1.387404555	0.874473908	0.8895747802
0.8834586466	0.2546464242	0.3532144456	1.387077972	0.8759916876	0.890909008
0.884962406	0.2550882449	0.353744162	1.38675211	0.8775115647	0.8922451059
0.8864661654	0.2555306754	0.3542746197	1.386426969	0.8790335394	0.8935830737
0.8879699248	0.2559737156	0.3548058188	1.386102546	0.8805576115	0.8949229116
0.8894736842	0.2564173655	0.3553377593	1.38577884	0.8820837812	0.8962646195
0.8909774436	0.2568616252	0.3558704413	1.38545585	0.8836120484	0.8976081974
0.892481203	0.2573064946	0.3564038646	1.385133574	0.8851424132	0.8989536453
0.8939849624	0.2577519737	0.3569380293	1.384812012	0.8866748754	0.9003009632
0.8954887218	0.2581980626	0.3574729354	1.38449116	0.8882094352	0.9016501511
0.8969924812	0.2586447613	0.3580085829	1.384171019	0.8897460925	0.903001209
0.8984962406	0.2590920696	0.3585449717	1.383851587	0.8912848473	0.9043541369
0.9	0.2595399877	0.359082102	1.383532862	0.8928256996	0.9057089349
0.9015037594	0.2599885156	0.3596199737	1.383214843	0.8943686494	0.9070656028
0.9030075188	0.2604376531	0.3601585868	1.382897528	0.8959136968	0.9084241408
0.9045112782	0.2608874005	0.3606979412	1.382580916	0.8974608417	0.9097845487
