# VHH-NNLO scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: kappa_lambda
# scan_x_key: kappa_lambda
# vmin: -0.7
# vmax: 6.1
# n_points: 400
# fixed_kappa: 1,1,1,1
#
kappa_lambda	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
-0.7	0.1196275406	0.1914780753	1.600618673	0.4115224923	0.4829630957
-0.6829573935	0.1205397418	0.1925198372	1.597148247	0.414660493	0.4855907207
-0.665914787	0.1214682014	0.1935821207	1.593685577	0.4178544233	0.4882701068
-0.6488721805	0.1224129195	0.1946649256	1.590231867	0.4211042832	0.491001254
-0.6318295739	0.1233738961	0.1957682519	1.586788277	0.4244100727	0.4937841622
-0.6147869674	0.1243511311	0.1968920997	1.583355922	0.4277717918	0.4966188315
-0.5977443609	0.1253446245	0.198036469	1.579935875	0.4311894404	0.4995052618
-0.5807017544	0.1263543764	0.1992013597	1.576529166	0.4346630186	0.5024434532
-0.5636591479	0.1273803868	0.2003867719	1.573136783	0.4381925264	0.5054334057
-0.5466165414	0.1284226556	0.2015927056	1.569759671	0.4417779638	0.5084751192
-0.5295739348	0.1294811828	0.2028191607	1.566398732	0.4454193308	0.5115685938
-0.5125313283	0.1305559685	0.2040661372	1.56305483	0.4491166274	0.5147138294
-0.4954887218	0.1316470127	0.2053336353	1.559728786	0.4528698535	0.5179108261
-0.4784461153	0.1327543153	0.2066216548	1.556421381	0.4566790092	0.5211595839
-0.4614035088	0.1338778764	0.2079301957	1.553133358	0.4605440945	0.5244601027
-0.4443609023	0.1350176959	0.2092592581	1.549865421	0.4644651094	0.5278123826
-0.4273182957	0.1361737739	0.210608842	1.546618237	0.4684420539	0.5312164235
-0.4102756892	0.1373461103	0.2119789474	1.543392433	0.472474928	0.5346722255
-0.3932330827	0.1385347052	0.2133695742	1.540188604	0.4765637316	0.5381797885
-0.3761904762	0.1397395585	0.2147807224	1.537007307	0.4807084648	0.5417391127
-0.3591478697	0.1409606702	0.2162123921	1.533849064	0.4849091276	0.5453501978
-0.3421052632	0.1421980405	0.2176645833	1.530714366	0.48916572	0.5490130441
-0.3250626566	0.1434516691	0.2191372959	1.527603668	0.493478242	0.5527276514
-0.3080200501	0.1447215563	0.22063053	1.524517395	0.4978466935	0.5564940197
-0.2909774436	0.1460077019	0.2221442856	1.521455942	0.5022710747	0.5603121491
-0.2739348371	0.1473101059	0.2236785626	1.518419672	0.5067513854	0.5641820396
-0.2568922306	0.1486287684	0.2252333611	1.515408918	0.5112876257	0.5681036911
-0.2398496241	0.1499636893	0.226808681	1.512423988	0.5158797956	0.5720771037
-0.2228070175	0.1513148687	0.2284045224	1.50946516	0.520527895	0.5761022774
-0.205764411	0.1526823065	0.2300208853	1.506532686	0.5252319241	0.5801792121
-0.1887218045	0.1540660028	0.2316577696	1.503626793	0.5299918827	0.5843079079
-0.171679198	0.1554659575	0.2333151754	1.500747682	0.5348077709	0.5884883647
-0.1546365915	0.1568821707	0.2349931026	1.497895532	0.5396795887	0.5927205826
-0.137593985	0.1583146424	0.2366915514	1.495070499	0.5446073361	0.5970045615
-0.1205513784	0.1597633725	0.2384105215	1.492272715	0.5495910131	0.6013403015
-0.1035087719	0.161228361	0.2401500131	1.489502291	0.5546306196	0.6057278026
-0.08646616541	0.162709608	0.2419100262	1.48675932	0.5597261558	0.6101670647
-0.0694235589	0.1642071134	0.2436905608	1.484043874	0.5648776215	0.6146580879
-0.05238095238	0.1657208773	0.2454916168	1.481356005	0.5700850168	0.6192008722
-0.03533834586	0.1672508997	0.2473131942	1.478695748	0.5753483416	0.6237954175
-0.01829573935	0.1687971805	0.2491552932	1.476063122	0.5806675961	0.6284417238
-0.001253132832	0.1703597197	0.2510179136	1.473458127	0.5860427802	0.6331397913
0.01578947368	0.1719385175	0.2529010554	1.470880749	0.5914738938	0.6378896198
0.0328320802	0.1735335736	0.2548047187	1.46833096	0.596960937	0.6426912093
0.04987468672	0.1751448882	0.2567289035	1.465808715	0.6025039098	0.6475445599
0.06691729323	0.1767724613	0.2586736097	1.463313957	0.6081028122	0.6524496716
0.08395989975	0.1784162928	0.2606388374	1.460846615	0.6137576441	0.6574065443
0.1010025063	0.1800763827	0.2626245866	1.458406608	0.6194684057	0.6624151781
0.1180451128	0.1817527312	0.2646308572	1.455993841	0.6252350968	0.6674755729
0.1350877193	0.183445338	0.2666576492	1.453608209	0.6310577175	0.6725877288
0.1521303258	0.1851542033	0.2687049628	1.451249596	0.6369362678	0.6777516458
0.1691729323	0.1868793271	0.2707727978	1.448917876	0.6428707477	0.6829673238
0.1862155388	0.1886207093	0.2728611542	1.446612915	0.6488611571	0.6882347629
0.2032581454	0.19037835	0.2749700321	1.444334569	0.6549074962	0.693553963
0.2203007519	0.1921522491	0.2770994315	1.442082686	0.6610097648	0.6989249243
0.2373433584	0.1939424067	0.2792493523	1.439857106	0.667167963	0.7043476465
0.2543859649	0.1957488227	0.2814197946	1.437657661	0.6733820908	0.7098221298
0.2714285714	0.1975714972	0.2836107584	1.435484179	0.6796521482	0.7153483742
0.2884711779	0.1994104301	0.2858222436	1.433336478	0.6859781351	0.7209263797
0.3055137845	0.2012656215	0.2880542503	1.431214373	0.6923600517	0.7265561462
0.322556391	0.2031370713	0.2903067784	1.429117672	0.6987978978	0.7322376737
0.3395989975	0.2050247796	0.292579828	1.427046177	0.7052916735	0.7379709623
0.356641604	0.2069287463	0.2948733991	1.424999688	0.7118413788	0.743756012
0.3736842105	0.2088489715	0.2971874916	1.422977999	0.7184470137	0.7495928228
0.390726817	0.2107854552	0.2995221056	1.420980899	0.7251085781	0.7554813946
0.4077694236	0.2127381972	0.301877241	1.419008175	0.7318260722	0.7614217274
0.4248120301	0.2147071978	0.3042528979	1.41705961	0.7385994958	0.7674138213
0.4418546366	0.2166924568	0.3066490763	1.415134984	0.745428849	0.7734576763
0.4588972431	0.2186939742	0.3090657761	1.413234074	0.7523141318	0.7795532924
0.4759398496	0.2207117501	0.3115029974	1.411356655	0.7592553441	0.7857006695
0.4929824561	0.2227457845	0.3139607401	1.4095025	0.7662524861	0.7918998076
0.5100250627	0.2247960772	0.3164390043	1.40767138	0.7733055576	0.7981507068
0.5270676692	0.2268626285	0.31893779	1.405863064	0.7804145587	0.8044533671
0.5441102757	0.2289454382	0.3214570971	1.404077319	0.7875794894	0.8108077884
0.5611528822	0.2310445063	0.3239969257	1.402313913	0.7948003497	0.8172139708
0.5781954887	0.2331598329	0.3265572757	1.40057261	0.8020771396	0.8236719143
0.5952380952	0.235291418	0.3291381472	1.398853175	0.8094098591	0.8301816188
0.6122807018	0.2374392615	0.3317395402	1.397155374	0.8167985081	0.8367430844
0.6293233083	0.2396033635	0.3343614546	1.395478969	0.8242430867	0.843356311
0.6463659148	0.2417837239	0.3370038905	1.393823724	0.8317435949	0.8500212987
0.6634085213	0.2439803427	0.3396668478	1.392189404	0.8393000327	0.8567380475
