# VHH-NNLO scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: kappa_t
# scan_x_key: kappa_t
# vmin: 0.8
# vmax: 1.2
# n_points: 400
# fixed_kappa: 1,1,1,1
#
kappa_t	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.8	0.2906950235	0.3901650745	1.342180096	1	0.9841091829
0.8010025063	0.2906950235	0.3901989368	1.342296583	1	0.9841945936
0.8020050125	0.2906950235	0.3902327474	1.342412893	1	0.9842798737
0.8030075188	0.2906950235	0.3902665065	1.342529025	1	0.9843650239
0.8040100251	0.2906950235	0.3903002143	1.342644981	1	0.9844500446
0.8050125313	0.2906950235	0.390333871	1.342760761	1	0.9845349366
0.8060150376	0.2906950235	0.3903674769	1.342876366	1	0.9846197003
0.8070175439	0.2906950235	0.3904010322	1.342991798	1	0.9847043365
0.8080200501	0.2906950235	0.3904345371	1.343107056	1	0.9847888457
0.8090225564	0.2906950235	0.390467992	1.343222142	1	0.9848732286
0.8100250627	0.2906950235	0.3905013971	1.343337056	1	0.9849574858
0.8110275689	0.2906950235	0.3905347526	1.3434518	1	0.985041618
0.8120300752	0.2906950235	0.3905680587	1.343566374	1	0.9851256258
0.8130325815	0.2906950235	0.3906013159	1.34368078	1	0.98520951
0.8140350877	0.2906950235	0.3906345243	1.343795018	1	0.9852932712
0.815037594	0.2906950235	0.3906676842	1.343909089	1	0.9853769101
0.8160401003	0.2906950235	0.390700796	1.344022994	1	0.9854604275
0.8170426065	0.2906950235	0.3907338598	1.344136735	1	0.985543824
0.8180451128	0.2906950235	0.390766876	1.344250312	1	0.9856271004
0.819047619	0.2906950235	0.3907998448	1.344363726	1	0.9857102574
0.8200501253	0.2906950235	0.3908327667	1.344476978	1	0.9857932958
0.8210526316	0.2906950235	0.3908656418	1.344590069	1	0.9858762164
0.8220551378	0.2906950235	0.3908984705	1.344703001	1	0.9859590199
0.8230576441	0.2906950235	0.3909312531	1.344815774	1	0.9860417071
0.8240601504	0.2906950235	0.3909639899	1.34492839	1	0.9861242788
0.8250626566	0.2906950235	0.3909966813	1.345040849	1	0.9862067359
0.8260651629	0.2906950235	0.3910293275	1.345153153	1	0.9862890791
0.8270676692	0.2906950235	0.3910619289	1.345265303	1	0.9863713093
0.8280701754	0.2906950235	0.3910944858	1.3453773	1	0.9864534272
0.8290726817	0.2906950235	0.3911269986	1.345489145	1	0.9865354339
0.830075188	0.2906950235	0.3911594676	1.345600839	1	0.9866173301
0.8310776942	0.2906950235	0.3911918931	1.345712384	1	0.9866991166
0.8320802005	0.2906950235	0.3912242756	1.345823781	1	0.9867807945
0.8330827068	0.2906950235	0.3912566153	1.34593503	1	0.9868623646
0.834085213	0.2906950235	0.3912889126	1.346046134	1	0.9869438277
0.8350877193	0.2906950235	0.3913211678	1.346157093	1	0.9870251848
0.8360902256	0.2906950235	0.3913533815	1.346267909	1	0.9871064369
0.8370927318	0.2906950235	0.3913855538	1.346378583	1	0.9871875849
0.8380952381	0.2906950235	0.3914176852	1.346489116	1	0.9872686296
0.8390977444	0.2906950235	0.3914497762	1.34659951	1	0.9873495722
0.8401002506	0.2906950235	0.3914818269	1.346709765	1	0.9874304135
0.8411027569	0.2906950235	0.3915138379	1.346819884	1	0.9875111545
0.8421052632	0.2906950235	0.3915458096	1.346929868	1	0.9875917963
0.8431077694	0.2906950235	0.3915777423	1.347039717	1	0.9876723398
0.8441102757	0.2906950235	0.3916096364	1.347149434	1	0.987752786
0.845112782	0.2906950235	0.3916414924	1.34725902	1	0.987833136
0.8461152882	0.2906950235	0.3916733106	1.347368475	1	0.9879133909
0.8471177945	0.2906950235	0.3917050916	1.347477803	1	0.9879935515
0.8481203008	0.2906950235	0.3917368356	1.347587003	1	0.9880736191
0.849122807	0.2906950235	0.3917685431	1.347696078	1	0.9881535946
0.8501253133	0.2906950235	0.3918002146	1.347805029	1	0.9882334792
0.8511278195	0.2906950235	0.3918318504	1.347913857	1	0.988313274
0.8521303258	0.2906950235	0.3918634511	1.348022564	1	0.98839298
0.8531328321	0.2906950235	0.391895017	1.348131152	1	0.9884725983
0.8541353383	0.2906950235	0.3919265486	1.348239622	1	0.9885521301
0.8551378446	0.2906950235	0.3919580463	1.348347975	1	0.9886315766
0.8561403509	0.2906950235	0.3919895107	1.348456213	1	0.9887109387
0.8571428571	0.2906950235	0.3920209421	1.348564338	1	0.9887902178
0.8581453634	0.2906950235	0.392052341	1.348672352	1	0.988869415
0.8591478697	0.2906950235	0.3920837079	1.348780255	1	0.9889485314
0.8601503759	0.2906950235	0.3921150433	1.34888805	1	0.9890275683
0.8611528822	0.2906950235	0.3921463476	1.348995737	1	0.9891065268
0.8621553885	0.2906950235	0.3921776213	1.34910332	1	0.9891854081
0.8631578947	0.2906950235	0.3922088649	1.349210799	1	0.9892642135
0.864160401	0.2906950235	0.3922400789	1.349318176	1	0.9893429442
0.8651629073	0.2906950235	0.3922712637	1.349425453	1	0.9894216015
0.8661654135	0.2906950235	0.3923024199	1.349532631	1	0.9895001865
0.8671679198	0.2906950235	0.392333548	1.349639713	1	0.9895787005
0.8681704261	0.2906950235	0.3923646485	1.349746699	1	0.9896571449
0.8691729323	0.2906950235	0.3923957219	1.349853593	1	0.9897355209
0.8701754386	0.2906950235	0.3924267686	1.349960395	1	0.9898138298
0.8711779449	0.2906950235	0.3924577893	1.350067107	1	0.9898920729
0.8721804511	0.2906950235	0.3924887844	1.350173731	1	0.9899702515
0.8731829574	0.2906950235	0.3925197545	1.350280269	1	0.990048367
0.8741854637	0.2906950235	0.3925507	1.350386722	1	0.9901264207
0.8751879699	0.2906950235	0.3925816216	1.350493094	1	0.9902044139
0.8761904762	0.2906950235	0.3926125198	1.350599384	1	0.990282348
0.8771929825	0.2906950235	0.392643395	1.350705596	1	0.9903602243
0.8781954887	0.2906950235	0.392674248	1.350811731	1	0.9904380443
0.879197995	0.2906950235	0.3927050791	1.350917791	1	0.9905158094
0.8802005013	0.2906950235	0.392735889	1.351023778	1	0.9905935209
0.8812030075	0.2906950235	0.3927666782	1.351129694	1	0.9906711802
0.8822055138	0.2906950235	0.3927974474	1.351235541	1	0.9907487889
0.8832080201	0.2906950235	0.392828197	1.351341321	1	0.9908263482
0.8842105263	0.2906950235	0.3928589276	1.351447035	1	0.9909038597
0.8852130326	0.2906950235	0.3928896398	1.351552686	1	0.9909813249
0.8862155388	0.2906950235	0.3929203342	1.351658276	1	0.9910587451
0.8872180451	0.2906950235	0.3929510115	1.351763806	1	0.9911361219
0.8882205514	0.2906950235	0.392981672	1.35186928	1	0.9912134567
0.8892230576	0.2906950235	0.3930123166	1.351974698	1	0.9912907511
