# VHH-NNLO scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: kappa_z
# scan_x_key: kappa_z
# vmin: 0.9
# vmax: 1.2
# n_points: 400
# fixed_kappa: 1,1,1,1
#
kappa_z	sigma_lo	sigma_nnlo	k	sigma_heft_over_sm_lo	sigma_heft_over_sm_nnlo
0.9	0.2584257938	0.3444511841	1.332882368	0.8889928377	0.8688055275
0.9007518797	0.2586395033	0.3447918291	1.333098095	0.8897280048	0.8696647328
0.9015037594	0.2588536173	0.3451331996	1.333314184	0.8904645639	0.8705257678
0.9022556391	0.2590681368	0.3454752964	1.333530633	0.8912025177	0.8713886349
0.9030075188	0.2592830625	0.3458181203	1.333747438	0.8919418686	0.8722533361
0.9037593985	0.259498395	0.3461616723	1.333964599	0.8926826193	0.8731198737
0.9045112782	0.2597141352	0.3465059533	1.334182111	0.8934247724	0.8739882498
0.9052631579	0.2599302838	0.346850964	1.334399974	0.8941683303	0.8748584666
0.9060150376	0.2601468415	0.3471967053	1.334618184	0.8949132957	0.8757305262
0.9067669173	0.2603638092	0.3475431781	1.33483674	0.8956596711	0.8766044309
0.907518797	0.2605811874	0.3478903833	1.335055638	0.8964074592	0.8774801829
0.9082706767	0.2607989771	0.3482383218	1.335274876	0.8971566625	0.8783577842
0.9090225564	0.2610171789	0.3485869943	1.335494452	0.8979072836	0.8792372372
0.9097744361	0.2612357936	0.3489364018	1.335714363	0.8986593251	0.880118544
0.9105263158	0.261454822	0.3492865451	1.335934608	0.8994127895	0.8810017067
0.9112781955	0.2616742648	0.3496374251	1.336155183	0.9001676796	0.8818867276
0.9120300752	0.2618941227	0.3499890427	1.336376086	0.9009239977	0.8827736089
0.9127819549	0.2621143965	0.3503413988	1.336597316	0.9016817466	0.8836623528
0.9135338346	0.262335087	0.3506944941	1.336818868	0.9024409289	0.8845529614
0.9142857143	0.262556195	0.3510483297	1.337040742	0.9032015471	0.885445437
0.915037594	0.2627777211	0.3514029063	1.337262934	0.9039636038	0.8863397818
0.9157894737	0.2629996661	0.3517582248	1.337485443	0.9047271017	0.887235998
0.9165413534	0.2632220308	0.3521142862	1.337708265	0.9054920434	0.8881340878
0.9172932331	0.263444816	0.3524710913	1.337931399	0.9062584314	0.8890340533
0.9180451128	0.2636680224	0.3528286409	1.338154842	0.9070262684	0.8899358969
0.9187969925	0.2638916508	0.353186936	1.338378592	0.907795557	0.8908396207
0.9195488722	0.2641157019	0.3535459773	1.338602646	0.9085662998	0.891745227
0.9203007519	0.2643401764	0.3539057659	1.338827002	0.9093384994	0.8926527179
0.9210526316	0.2645650753	0.3542663026	1.339051658	0.9101121584	0.8935620957
0.9218045113	0.2647903991	0.3546275883	1.339276611	0.9108872795	0.8944733626
0.922556391	0.2650161488	0.3549896238	1.339501858	0.9116638653	0.8953865209
0.9233082707	0.2652423249	0.35535241	1.339727399	0.9124419184	0.8963015727
0.9240601504	0.2654689284	0.3557159479	1.339953229	0.9132214415	0.8972185203
0.9248120301	0.2656959599	0.3560802382	1.340179348	0.9140024371	0.898137366
0.9255639098	0.2659234203	0.356445282	1.340405751	0.9147849079	0.8990581119
0.9263157895	0.2661513103	0.35681108	1.340632438	0.9155688566	0.8999807603
0.9270676692	0.2663796306	0.3571776332	1.340859406	0.9163542857	0.9009053135
0.9278195489	0.2666083821	0.3575449424	1.341086651	0.917141198	0.9018317736
0.9285714286	0.2668375655	0.3579130086	1.341314173	0.917929596	0.902760143
0.9293233083	0.2670671815	0.3582818326	1.341541969	0.9187194824	0.9036904238
0.930075188	0.267297231	0.3586514153	1.341770036	0.9195108598	0.9046226184
0.9308270677	0.2675277147	0.3590217576	1.341998372	0.920303731	0.9055567289
0.9315789474	0.2677586334	0.3593928605	1.342226975	0.9210980985	0.9064927576
0.9323308271	0.2679899878	0.3597647247	1.342455842	0.921893965	0.9074307068
0.9330827068	0.2682217788	0.3601373513	1.342684971	0.9226913332	0.9083705788
0.9338345865	0.268454007	0.360510741	1.34291436	0.9234902056	0.9093123757
0.9345864662	0.2686866733	0.3608848949	1.343144006	0.9242905851	0.9102560999
0.9353383459	0.2689197785	0.3612598137	1.343373908	0.9250924741	0.9112017536
0.9360902256	0.2691533233	0.3616354984	1.343604062	0.9258958755	0.9121493391
0.9368421053	0.2693873085	0.3620119499	1.343834466	0.9267007918	0.9130988586
0.937593985	0.2696217348	0.362389169	1.344065119	0.9275072258	0.9140503145
0.9383458647	0.2698566031	0.3627671568	1.344296017	0.9283151801	0.915003709
0.9390977444	0.2700919141	0.363145914	1.344527159	0.9291246573	0.9159590443
0.9398496241	0.2703276686	0.3635254416	1.344758543	0.9299356602	0.9169163227
0.9406015038	0.2705638674	0.3639057405	1.344990165	0.9307481914	0.9178755466
0.9413533835	0.2708005112	0.3642868117	1.345222023	0.9315622537	0.9188367182
0.9421052632	0.2710376009	0.3646686559	1.345454117	0.9323778496	0.9197998397
0.9428571429	0.2712751372	0.3650512741	1.345686442	0.9331949819	0.9207649135
0.9436090226	0.2715131209	0.3654346672	1.345918997	0.9340136532	0.9217319419
0.9443609023	0.2717515527	0.3658188362	1.346151779	0.9348338663	0.9227009271
0.945112782	0.2719904336	0.3662037818	1.346384787	0.9356556239	0.9236718715
0.9458646617	0.2722297641	0.3665895052	1.346618017	0.9364789286	0.9246447773
0.9466165414	0.2724695452	0.366976007	1.346851468	0.9373037831	0.9256196468
0.9473684211	0.2727097776	0.3673632884	1.347085138	0.9381301901	0.9265964824
0.9481203008	0.2729504622	0.3677513501	1.347319023	0.9389581523	0.9275752862
0.9488721805	0.2731915995	0.3681401931	1.347553123	0.9397876725	0.9285560607
0.9496240602	0.2734331906	0.3685298182	1.347787434	0.9406187533	0.9295388082
0.9503759398	0.2736752361	0.3689202265	1.348021954	0.9414513974	0.9305235308
0.9511278195	0.2739177369	0.3693114189	1.348256681	0.9422856076	0.9315102311
0.9518796992	0.2741606936	0.3697033962	1.348491614	0.9431213866	0.9324989111
0.9526315789	0.2744041072	0.3700961593	1.348726748	0.943958737	0.9334895734
0.9533834586	0.2746479784	0.3704897092	1.348962084	0.9447976616	0.9344822202
0.9541353383	0.274892308	0.3708840468	1.349197617	0.9456381631	0.9354768537
0.954887218	0.2751370968	0.3712791731	1.349433346	0.9464802442	0.9364734764
0.9556390977	0.2753823456	0.3716750889	1.349669268	0.9473239076	0.9374720905
0.9563909774	0.2756280551	0.3720717951	1.349905382	0.9481691561	0.9384726985
0.9571428571	0.2758742262	0.3724692928	1.350141685	0.9490159925	0.9394753025
