# VHH-NNLO SMEFT scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	0.7744780905	0.9035494521	1.166655924	4.843729221	4.82833342
-14.95488722	0.7726297141	0.9013948218	1.166658239	4.832169133	4.816819635
-14.90977444	0.7707813377	0.8992401914	1.166660566	4.820609045	4.80530585
-14.86466165	0.7689329613	0.897085561	1.166662903	4.809048957	4.793792066
-14.81954887	0.7670845849	0.8949309306	1.166665252	4.797488869	4.782278281
-14.77443609	0.7652362085	0.8927763002	1.166667612	4.785928782	4.770764496
-14.72932331	0.7633878321	0.8906216699	1.166669984	4.774368694	4.759250712
-14.68421053	0.7615394557	0.8884670395	1.166672367	4.762808606	4.747736927
-14.63909774	0.7596910793	0.8863124091	1.166674762	4.751248518	4.736223142
-14.59398496	0.7578427029	0.8841577787	1.166677168	4.73968843	4.724709357
-14.54887218	0.7559943265	0.8820031483	1.166679587	4.728128342	4.713195573
-14.5037594	0.7541459501	0.879848518	1.166682017	4.716568254	4.701681788
-14.45864662	0.7522975737	0.8776938876	1.166684459	4.705008166	4.690168003
-14.41353383	0.7504491973	0.8755392572	1.166686913	4.693448078	4.678654219
-14.36842105	0.7486008209	0.8733846268	1.166689379	4.681887991	4.667140434
-14.32330827	0.7467524445	0.8712299964	1.166691857	4.670327903	4.655626649
-14.27819549	0.744904068	0.869075366	1.166694348	4.658767815	4.644112864
-14.23308271	0.7430556916	0.8669207357	1.166696851	4.647207727	4.63259908
-14.18796992	0.7412073152	0.8647661053	1.166699367	4.635647639	4.621085295
-14.14285714	0.7393589388	0.8626114749	1.166701895	4.624087551	4.60957151
-14.09774436	0.7375105624	0.8604568445	1.166704436	4.612527463	4.598057725
-14.05263158	0.735662186	0.8583022141	1.166706989	4.600967375	4.586543941
-14.0075188	0.7338138096	0.8561475838	1.166709556	4.589407288	4.575030156
-13.96240602	0.7319654332	0.8539929534	1.166712135	4.5778472	4.563516371
-13.91729323	0.7301170568	0.851838323	1.166714727	4.566287112	4.552002587
-13.87218045	0.7282686804	0.8496836926	1.166717333	4.554727024	4.540488802
-13.82706767	0.726420304	0.8475290622	1.166719952	4.543166936	4.528975017
-13.78195489	0.7245719276	0.8453744319	1.166722584	4.531606848	4.517461232
-13.73684211	0.7227235512	0.8432198015	1.16672523	4.52004676	4.505947448
-13.69172932	0.7208751748	0.8410651711	1.166727889	4.508486672	4.494433663
-13.64661654	0.7190267984	0.8389105407	1.166730562	4.496926584	4.482919878
-13.60150376	0.717178422	0.8367559103	1.166733249	4.485366497	4.471406094
-13.55639098	0.7153300456	0.8346012799	1.166735949	4.473806409	4.459892309
-13.5112782	0.7134816692	0.8324466496	1.166738664	4.462246321	4.448378524
-13.46616541	0.7116332928	0.8302920192	1.166741393	4.450686233	4.436864739
-13.42105263	0.7097849164	0.8281373888	1.166744136	4.439126145	4.425350955
-13.37593985	0.70793654	0.8259827584	1.166746893	4.427566057	4.41383717
-13.33082707	0.7060881636	0.823828128	1.166749665	4.416005969	4.402323385
-13.28571429	0.7042397872	0.8216734977	1.166752451	4.404445881	4.3908096
-13.2406015	0.7023914108	0.8195188673	1.166755252	4.392885794	4.379295816
-13.19548872	0.7005430344	0.8173642369	1.166758067	4.381325706	4.367782031
