# VHH-NNLO SMEFT scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: phiBox
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiBox	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-1.1	0.02329493196	0.02704671701	1.161055849	0.145690813	0.1445306257
-1.092230576	0.02425973901	0.02817743748	1.16148972	0.1517248947	0.1505729019
-1.084461153	0.02522454607	0.02930815794	1.161890401	0.1577589765	0.1566151782
-1.076691729	0.02618935312	0.03043887841	1.16226156	0.1637930582	0.1626574545
-1.068922306	0.02715416017	0.03156959888	1.162606344	0.16982714	0.1686997308
-1.061152882	0.02811896722	0.03270031935	1.162927468	0.1758612217	0.1747420071
-1.053383459	0.02908377428	0.03383103982	1.163227286	0.1818953035	0.1807842834
-1.045614035	0.03004858133	0.03496176029	1.163507851	0.1879293852	0.1868265596
-1.037844612	0.03101338838	0.03609248075	1.16377096	0.193963467	0.1928688359
-1.030075188	0.03197819543	0.03722320122	1.164018192	0.1999975487	0.1989111122
-1.022305764	0.03294300248	0.03835392169	1.164250942	0.2060316305	0.2049533885
-1.014536341	0.03390780954	0.03948464216	1.164470448	0.2120657122	0.2109956648
-1.006766917	0.03487261659	0.04061536263	1.164677807	0.218099794	0.217037941
-0.9989974937	0.03583742364	0.04174608309	1.164874002	0.2241338757	0.2230802173
-0.9912280702	0.03680223069	0.04287680356	1.16505991	0.2301679575	0.2291224936
-0.9834586466	0.03776703774	0.04400752403	1.165236319	0.2362020392	0.2351647699
-0.9756892231	0.0387318448	0.0451382445	1.165403939	0.242236121	0.2412070462
-0.9679197995	0.03969665185	0.04626896497	1.165563412	0.2482702027	0.2472493225
-0.9601503759	0.0406614589	0.04739968543	1.165715317	0.2543042845	0.2532915987
-0.9523809524	0.04162626595	0.0485304059	1.16586018	0.2603383662	0.259333875
-0.9446115288	0.04259107301	0.04966112637	1.16599848	0.266372448	0.2653761513
-0.9368421053	0.04355588006	0.05079184684	1.166130653	0.2724065297	0.2714184276
-0.9290726817	0.04452068711	0.05192256731	1.166257097	0.2784406115	0.2774607039
-0.9213032581	0.04548549416	0.05305328778	1.166378177	0.2844746932	0.2835029802
-0.9135338346	0.04645030121	0.05418400824	1.166494228	0.290508775	0.2895452564
-0.905764411	0.04741510827	0.05531472871	1.166605555	0.2965428567	0.2955875327
-0.8979949875	0.04837991532	0.05644544918	1.166712443	0.3025769385	0.301629809
-0.8902255639	0.04934472237	0.05757616965	1.16681515	0.3086110202	0.3076720853
-0.8824561404	0.05030952942	0.05870689012	1.166913919	0.314645102	0.3137143616
-0.8746867168	0.05127433647	0.05983761058	1.16700897	0.3206791837	0.3197566379
-0.8669172932	0.05223914353	0.06096833105	1.16710051	0.3267132655	0.3257989141
-0.8591478697	0.05320395058	0.06209905152	1.16718873	0.3327473472	0.3318411904
-0.8513784461	0.05416875763	0.06322977199	1.167273808	0.338781429	0.3378834667
-0.8436090226	0.05513356468	0.06436049246	1.167355908	0.3448155107	0.343925743
-0.835839599	0.05609837173	0.06549121293	1.167435184	0.3508495925	0.3499680193
-0.8280701754	0.05706317879	0.06662193339	1.167511779	0.3568836742	0.3560102955
-0.8203007519	0.05802798584	0.06775265386	1.167585827	0.362917756	0.3620525718
-0.8125313283	0.05899279289	0.06888337433	1.167657454	0.3689518377	0.3680948481
-0.8047619048	0.05995759994	0.0700140948	1.167726775	0.3749859195	0.3741371244
-0.7969924812	0.060922407	0.07114481527	1.1677939	0.3810200012	0.3801794007
-0.7892230576	0.06188721405	0.07227553573	1.167858933	0.387054083	0.386221677
-0.7814536341	0.0628520211	0.0734062562	1.167921968	0.3930881647	0.3922639532
-0.7736842105	0.06381682815	0.07453697667	1.167983098	0.3991222465	0.3983062295
-0.765914787	0.0647816352	0.07566769714	1.168042407	0.4051563282	0.4043485058
-0.7581453634	0.06574644226	0.07679841761	1.168099976	0.41119041	0.4103907821
-0.7503759398	0.06671124931	0.07792913807	1.168155879	0.4172244917	0.4164330584
-0.7426065163	0.06767605636	0.07905985854	1.168210188	0.4232585735	0.4224753347
-0.7348370927	0.06864086341	0.08019057901	1.168262971	0.4292926552	0.4285176109
-0.7270676692	0.06960567046	0.08132129948	1.16831429	0.435326737	0.4345598872
-0.7192982456	0.07057047752	0.08245201995	1.168364206	0.4413608187	0.4406021635
-0.7115288221	0.07153528457	0.08358274042	1.168412776	0.4473949005	0.4466444398
-0.7037593985	0.07250009162	0.08471346088	1.168460053	0.4534289822	0.4526867161
-0.6959899749	0.07346489867	0.08584418135	1.168506088	0.459463064	0.4587289924
-0.6882205514	0.07442970573	0.08697490182	1.16855093	0.4654971457	0.4647712686
-0.6804511278	0.07539451278	0.08810562229	1.168594624	0.4715312274	0.4708135449
-0.6726817043	0.07635931983	0.08923634276	1.168637214	0.4775653092	0.4768558212
-0.6649122807	0.07732412688	0.09036706322	1.168678741	0.4835993909	0.4828980975
-0.6571428571	0.07828893393	0.09149778369	1.168719244	0.4896334727	0.4889403738
-0.6493734336	0.07925374099	0.09262850416	1.168758762	0.4956675544	0.4949826501
-0.64160401	0.08021854804	0.09375922463	1.168797328	0.5017016362	0.5010249263
-0.6338345865	0.08118335509	0.0948899451	1.168834978	0.5077357179	0.5070672026
-0.6260651629	0.08214816214	0.09602066557	1.168871744	0.5137697997	0.5131094789
-0.6182957393	0.08311296919	0.09715138603	1.168907656	0.5198038814	0.5191517552
-0.6105263158	0.08407777625	0.0982821065	1.168942744	0.5258379632	0.5251940315
-0.6027568922	0.0850425833	0.09941282697	1.168977036	0.5318720449	0.5312363077
-0.5949874687	0.08600739035	0.1005435474	1.169010559	0.5379061267	0.537278584
-0.5872180451	0.0869721974	0.1016742679	1.169043337	0.5439402084	0.5433208603
-0.5794486216	0.08793700445	0.1028049884	1.169075397	0.5499742902	0.5493631366
-0.571679198	0.08890181151	0.1039357088	1.16910676	0.5560083719	0.5554054129
-0.5639097744	0.08986661856	0.1050664293	1.169137451	0.5620424537	0.5614476892
-0.5561403509	0.09083142561	0.1061971498	1.169167489	0.5680765354	0.5674899654
-0.5483709273	0.09179623266	0.1073278702	1.169196895	0.5741106172	0.5735322417
