# VHH-NNLO SMEFT scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.3	0.01530294372	0.01841217814	1.203178845	0.09570744035	0.09838989427
-0.2967418546	0.0168732611	0.02024458812	1.19980293	0.1055284957	0.1081818169
-0.2934837093	0.01844357849	0.02207699809	1.197001878	0.1153495511	0.1179737395
-0.2902255639	0.02001389587	0.02390940807	1.194640375	0.1251706065	0.1277656621
-0.2869674185	0.02158421326	0.02574181804	1.192622484	0.1349916618	0.1375575847
-0.2837092732	0.02315453065	0.02757422801	1.190878297	0.1448127172	0.1473495074
-0.2804511278	0.02472484803	0.02940663799	1.189355662	0.1546337726	0.15714143
-0.2771929825	0.02629516542	0.03123904796	1.188014887	0.1644548279	0.1669333526
-0.2739348371	0.0278654828	0.03307145794	1.186825226	0.1742758833	0.1767252752
-0.2706766917	0.02943580019	0.03490386791	1.185762496	0.1840969387	0.1865171978
-0.2674185464	0.03100611758	0.03673627789	1.184807411	0.193917994	0.1963091205
-0.264160401	0.03257643496	0.03856868786	1.183944404	0.2037390494	0.2061010431
-0.2609022556	0.03414675235	0.04040109783	1.183160771	0.2135601048	0.2158929657
-0.2576441103	0.03571706973	0.04223350781	1.182446044	0.2233811601	0.2256848883
-0.2543859649	0.03728738712	0.04406591778	1.181791517	0.2332022155	0.2354768109
-0.2511278195	0.0388577045	0.04589832776	1.181189891	0.2430232709	0.2452687335
-0.2478696742	0.04042802189	0.04773073773	1.180635003	0.2528443262	0.2550606562
-0.2446115288	0.04199833928	0.04956314771	1.180121609	0.2626653816	0.2648525788
-0.2413533835	0.04356865666	0.05139555768	1.179645222	0.272486437	0.2746445014
-0.2380952381	0.04513897405	0.05322796765	1.179201982	0.2823074923	0.284436424
-0.2348370927	0.04670929143	0.05506037763	1.178788544	0.2921285477	0.2942283466
-0.2315789474	0.04827960882	0.0568927876	1.178402	0.3019496031	0.3040202693
-0.228320802	0.04984992621	0.05872519758	1.17803981	0.3117706584	0.3138121919
-0.2250626566	0.05142024359	0.06055760755	1.177699741	0.3215917138	0.3236041145
-0.2218045113	0.05299056098	0.06239001753	1.177379827	0.3314127692	0.3333960371
-0.2185463659	0.05456087836	0.0642224275	1.177078328	0.3412338245	0.3431879597
-0.2152882206	0.05613119575	0.06605483747	1.176793699	0.3510548799	0.3529798824
-0.2120300752	0.05770151313	0.06788724745	1.176524562	0.3608759353	0.362771805
-0.2087719298	0.05927183052	0.06971965742	1.176269685	0.3706969907	0.3725637276
-0.2055137845	0.06084214791	0.0715520674	1.176027965	0.380518046	0.3823556502
-0.2022556391	0.06241246529	0.07338447737	1.175798409	0.3903391014	0.3921475728
-0.1989974937	0.06398278268	0.07521688734	1.17558012	0.4001601568	0.4019394954
-0.1957393484	0.06555310006	0.07704929732	1.17537229	0.4099812121	0.4117314181
-0.192481203	0.06712341745	0.07888170729	1.175174183	0.4198022675	0.4215233407
-0.1892230576	0.06869373484	0.08071411727	1.174985135	0.4296233229	0.4313152633
-0.1859649123	0.07026405222	0.08254652724	1.174804536	0.4394443782	0.4411071859
-0.1827067669	0.07183436961	0.08437893722	1.174631833	0.4492654336	0.4508991085
-0.1794486216	0.07340468699	0.08621134719	1.174466519	0.459086489	0.4606910312
-0.1761904762	0.07497500438	0.08804375716	1.17430813	0.4689075443	0.4704829538
-0.1729323308	0.07654532176	0.08987616714	1.174156239	0.4787285997	0.4802748764
-0.1696741855	0.07811563915	0.09170857711	1.174010456	0.4885496551	0.490066799
-0.1664160401	0.07968595654	0.09354098709	1.173870418	0.4983707104	0.4998587216
-0.1631578947	0.08125627392	0.09537339706	1.173735792	0.5081917658	0.5096506443
-0.1598997494	0.08282659131	0.09720580704	1.173606272	0.5180128212	0.5194425669
-0.156641604	0.08439690869	0.09903821701	1.173481571	0.5278338765	0.5292344895
