# VHH-NNLO SMEFT grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	-1	0.2925114467	0.3411405447	1.166246821	1.829420689	1.822966401
-15	-0.9487179487	0.3172276848	0.3699820271	1.16629804	1.984000613	1.977087786
-15	-0.8974358974	0.341943923	0.3988235095	1.166341855	2.138580538	2.131209172
-15	-0.8461538462	0.3666601611	0.427664992	1.166379763	2.293160463	2.285330558
-15	-0.7948717949	0.3913763993	0.4565064744	1.166412884	2.447740388	2.439451943
-15	-0.7435897436	0.4160926374	0.4853479568	1.166442069	2.602320312	2.593573329
-15	-0.6923076923	0.4408088755	0.5141894393	1.166467982	2.756900237	2.747694714
-15	-0.641025641	0.4655251137	0.5430309217	1.166491142	2.911480162	2.9018161
-15	-0.5897435897	0.4902413518	0.5718724042	1.166511968	3.066060087	3.055937486
-15	-0.5384615385	0.51495759	0.6007138866	1.166530795	3.220640011	3.210058871
-15	-0.4871794872	0.5396738281	0.629555369	1.166547897	3.375219936	3.364180257
-15	-0.4358974359	0.5643900663	0.6583968515	1.166563501	3.529799861	3.518301642
-15	-0.3846153846	0.5891063044	0.6872383339	1.166577795	3.684379785	3.672423028
-15	-0.3333333333	0.6138225425	0.7160798163	1.166590939	3.83895971	3.826544414
-15	-0.2820512821	0.6385387807	0.7449212988	1.166603065	3.993539635	3.980665799
-15	-0.2307692308	0.6632550188	0.7737627812	1.166614287	4.14811956	4.134787185
-15	-0.1794871795	0.687971257	0.8026042636	1.166624703	4.302699484	4.28890857
-15	-0.1282051282	0.7126874951	0.8314457461	1.166634397	4.457279409	4.443029956
-15	-0.07692307692	0.7374037333	0.8602872285	1.166643441	4.611859334	4.597151342
-15	-0.02564102564	0.7621199714	0.8891287109	1.166651898	4.766439259	4.751272727
-15	0.02564102564	0.7868362096	0.9179701934	1.166659824	4.921019183	4.905394113
-15	0.07692307692	0.8115524477	0.9468116758	1.166667267	5.075599108	5.059515498
-15	0.1282051282	0.8362686858	0.9756531582	1.16667427	5.230179033	5.213636884
-15	0.1794871795	0.860984924	1.004494641	1.166680871	5.384758957	5.367758269
-15	0.2307692308	0.8857011621	1.033336123	1.166687103	5.539338882	5.521879655
-15	0.2820512821	0.9104174003	1.062177606	1.166692997	5.693918807	5.676001041
-15	0.3333333333	0.9351336384	1.091019088	1.16669858	5.848498732	5.830122426
-15	0.3846153846	0.9598498766	1.11986057	1.166703875	6.003078656	5.984243812
-15	0.4358974359	0.9845661147	1.148702053	1.166708904	6.157658581	6.138365197
-15	0.4871794872	1.009282353	1.177543535	1.166713687	6.312238506	6.292486583
-15	0.5384615385	1.033998591	1.206385018	1.166718241	6.466818431	6.446607969
-15	0.5897435897	1.058714829	1.2352265	1.166722583	6.621398355	6.600729354
-15	0.641025641	1.083431067	1.264067983	1.166726727	6.77597828	6.75485074
-15	0.6923076923	1.108147305	1.292909465	1.166730685	6.930558205	6.908972125
-15	0.7435897436	1.132863544	1.321750947	1.166734471	7.085138129	7.063093511
-15	0.7948717949	1.157579782	1.35059243	1.166738095	7.239718054	7.217214897
-15	0.8461538462	1.18229602	1.379433912	1.166741568	7.394297979	7.371336282
-15	0.8974358974	1.207012258	1.408275395	1.166744899	7.548877904	7.525457668
-15	0.9487179487	1.231728496	1.437116877	1.166748096	7.703457828	7.679579053
-15	1	1.256444734	1.46595836	1.166751167	7.858037753	7.833700439
-14.48717949	-1	0.2714999884	0.3166477378	1.16629006	1.698011143	1.692083207
-14.48717949	-0.9487179487	0.2962162266	0.3454892202	1.166341305	1.852591067	1.846204593
-14.48717949	-0.8974358974	0.3209324647	0.3743307026	1.166384657	2.007170992	2.000325978
-14.48717949	-0.8461538462	0.3456487029	0.4031721851	1.166421808	2.161750917	2.154447364
-14.48717949	-0.7948717949	0.370364941	0.4320136675	1.166454002	2.316330842	2.308568749
-14.48717949	-0.7435897436	0.3950811792	0.4608551499	1.166482167	2.470910766	2.462690135
-14.48717949	-0.6923076923	0.4197974173	0.4896966324	1.166507016	2.625490691	2.616811521
-14.48717949	-0.641025641	0.4445136554	0.5185381148	1.166529101	2.780070616	2.770932906
-14.48717949	-0.5897435897	0.4692298936	0.5473795973	1.16654886	2.934650541	2.925054292
-14.48717949	-0.5384615385	0.4939461317	0.5762210797	1.166566641	3.089230465	3.079175677
-14.48717949	-0.4871794872	0.5186623699	0.6050625621	1.166582728	3.24381039	3.233297063
-14.48717949	-0.4358974359	0.543378608	0.6339040446	1.166597351	3.398390315	3.387418449
-14.48717949	-0.3846153846	0.5680948462	0.662745527	1.166610701	3.552970239	3.541539834
-14.48717949	-0.3333333333	0.5928110843	0.6915870094	1.166622939	3.707550164	3.69566122
-14.48717949	-0.2820512821	0.6175273224	0.7204284919	1.166634197	3.862130089	3.849782605
-14.48717949	-0.2307692308	0.6422435606	0.7492699743	1.166644588	4.016710014	4.003903991
-14.48717949	-0.1794871795	0.6669597987	0.7781114567	1.166654209	4.171289938	4.158025376
-14.48717949	-0.1282051282	0.6916760369	0.8069529392	1.166663143	4.325869863	4.312146762
