# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	1.415458244	1.703593743	1.203563405	4.770422473	4.759277196
-14.95488722	1.412093604	1.699546701	1.203565186	4.759082857	4.747971099
-14.90977444	1.408728964	1.695499659	1.203566975	4.747743241	4.736665002
-14.86466165	1.405364324	1.691452617	1.203568774	4.736403624	4.725358905
-14.81954887	1.401999685	1.687405574	1.203570581	4.725064008	4.714052809
-14.77443609	1.398635045	1.683358532	1.203572396	4.713724391	4.702746712
-14.72932331	1.395270405	1.67931149	1.20357422	4.702384775	4.691440615
-14.68421053	1.391905765	1.675264448	1.203576054	4.691045158	4.680134518
-14.63909774	1.388541125	1.671217405	1.203577896	4.679705542	4.668828421
-14.59398496	1.385176485	1.667170363	1.203579747	4.668365925	4.657522324
-14.54887218	1.381811845	1.663123321	1.203581607	4.657026309	4.646216228
-14.5037594	1.378447206	1.659076279	1.203583476	4.645686692	4.634910131
-14.45864662	1.375082566	1.655029236	1.203585354	4.634347076	4.623604034
-14.41353383	1.371717926	1.650982194	1.203587241	4.623007459	4.612297937
-14.36842105	1.368353286	1.646935152	1.203589138	4.611667843	4.60099184
-14.32330827	1.364988646	1.64288811	1.203591044	4.600328227	4.589685743
-14.27819549	1.361624006	1.638841068	1.20359296	4.58898861	4.578379647
-14.23308271	1.358259366	1.634794025	1.203594885	4.577648994	4.56707355
-14.18796992	1.354894727	1.630746983	1.203596819	4.566309377	4.555767453
-14.14285714	1.351530087	1.626699941	1.203598763	4.554969761	4.544461356
-14.09774436	1.348165447	1.622652899	1.203600717	4.543630144	4.533155259
-14.05263158	1.344800807	1.618605856	1.203602681	4.532290528	4.521849162
-14.0075188	1.341436167	1.614558814	1.203604654	4.520950911	4.510543066
-13.96240602	1.338071527	1.610511772	1.203606638	4.509611295	4.499236969
-13.91729323	1.334706887	1.60646473	1.203608631	4.498271678	4.487930872
-13.87218045	1.331342248	1.602417687	1.203610635	4.486932062	4.476624775
-13.82706767	1.327977608	1.598370645	1.203612648	4.475592445	4.465318678
-13.78195489	1.324612968	1.594323603	1.203614672	4.464252829	4.454012581
-13.73684211	1.321248328	1.590276561	1.203616706	4.452913213	4.442706485
-13.69172932	1.317883688	1.586229518	1.203618751	4.441573596	4.431400388
-13.64661654	1.314519048	1.582182476	1.203620806	4.43023398	4.420094291
-13.60150376	1.311154408	1.578135434	1.203622872	4.418894363	4.408788194
-13.55639098	1.307789769	1.574088392	1.203624948	4.407554747	4.397482097
-13.5112782	1.304425129	1.57004135	1.203627035	4.39621513	4.386176
-13.46616541	1.301060489	1.565994307	1.203629132	4.384875514	4.374869904
-13.42105263	1.297695849	1.561947265	1.203631241	4.373535897	4.363563807
-13.37593985	1.294331209	1.557900223	1.203633361	4.362196281	4.35225771
-13.33082707	1.290966569	1.553853181	1.203635491	4.350856664	4.340951613
-13.28571429	1.287601929	1.549806138	1.203637633	4.339517048	4.329645516
-13.2406015	1.284237289	1.545759096	1.203639786	4.328177431	4.318339419
-13.19548872	1.28087265	1.541712054	1.20364195	4.316837815	4.307033323
-13.15037594	1.27750801	1.537665012	1.203644126	4.305498199	4.295727226
-13.10526316	1.27414337	1.533617969	1.203646313	4.294158582	4.284421129
-13.06015038	1.27077873	1.529570927	1.203648512	4.282818966	4.273115032
-13.01503759	1.26741409	1.525523885	1.203650722	4.271479349	4.261808935
-12.96992481	1.26404945	1.521476843	1.203652944	4.260139733	4.250502839
-12.92481203	1.26068481	1.5174298	1.203655178	4.248800116	4.239196742
-12.87969925	1.257320171	1.513382758	1.203657424	4.2374605	4.227890645
-12.83458647	1.253955531	1.509335716	1.203659683	4.226120883	4.216584548
-12.78947368	1.250590891	1.505288674	1.203661953	4.214781267	4.205278451
-12.7443609	1.247226251	1.501241632	1.203664235	4.20344165	4.193972354
-12.69924812	1.243861611	1.497194589	1.20366653	4.192102034	4.182666258
-12.65413534	1.240496971	1.493147547	1.203668837	4.180762417	4.171360161
-12.60902256	1.237132331	1.489100505	1.203671157	4.169422801	4.160054064
-12.56390977	1.233767692	1.485053463	1.20367349	4.158083185	4.148747967
-12.51879699	1.230403052	1.48100642	1.203675835	4.146743568	4.13744187
-12.47368421	1.227038412	1.476959378	1.203678193	4.135403952	4.126135773
-12.42857143	1.223673772	1.472912336	1.203680564	4.124064335	4.114829677
-12.38345865	1.220309132	1.468865294	1.203682948	4.112724719	4.10352358
-12.33834586	1.216944492	1.464818251	1.203685345	4.101385102	4.092217483
-12.29323308	1.213579852	1.460771209	1.203687756	4.090045486	4.080911386
-12.2481203	1.210215213	1.456724167	1.20369018	4.078705869	4.069605289
-12.20300752	1.206850573	1.452677125	1.203692617	4.067366253	4.058299192
-12.15789474	1.203485933	1.448630082	1.203695069	4.056026636	4.046993096
-12.11278195	1.200121293	1.44458304	1.203697533	4.04468702	4.035686999
-12.06766917	1.196756653	1.440535998	1.203700012	4.033347403	4.024380902
-12.02255639	1.193392013	1.436488956	1.203702505	4.022007787	4.013074805
-11.97744361	1.190027373	1.432441914	1.203705012	4.010668171	4.001768708
-11.93233083	1.186662734	1.428394871	1.203707533	3.999328554	3.990462611
-11.88721805	1.183298094	1.424347829	1.203710068	3.987988938	3.979156515
-11.84210526	1.179933454	1.420300787	1.203712618	3.976649321	3.967850418
-11.79699248	1.176568814	1.416253745	1.203715182	3.965309705	3.956544321
-11.7518797	1.173204174	1.412206702	1.203717762	3.953970088	3.945238224
-11.70676692	1.169839534	1.40815966	1.203720356	3.942630472	3.933932127
-11.66165414	1.166474894	1.404112618	1.203722965	3.931290855	3.92262603
-11.61654135	1.163110255	1.400065576	1.203725589	3.919951239	3.911319934
-11.57142857	1.159745615	1.396018533	1.203728228	3.908611622	3.900013837
-11.52631579	1.156380975	1.391971491	1.203730882	3.897272006	3.88870774
-11.48120301	1.153016335	1.387924449	1.203733553	3.885932389	3.877401643
-11.43609023	1.149651695	1.383877407	1.203736238	3.874592773	3.866095546
-11.39097744	1.146287055	1.379830364	1.20373894	3.863253157	3.854789449
-11.34586466	1.142922415	1.375783322	1.203741657	3.85191354	3.843483353
-11.30075188	1.139557775	1.37173628	1.203744391	3.840573924	3.832177256
-11.2556391	1.136193136	1.367689238	1.20374714	3.829234307	3.820871159
-11.21052632	1.132828496	1.363642196	1.203749906	3.817894691	3.809565062
-11.16541353	1.129463856	1.359595153	1.203752689	3.806555074	3.798258965
-11.12030075	1.126099216	1.355548111	1.203755488	3.795215458	3.786952869
-11.07518797	1.122734576	1.351501069	1.203758304	3.783875841	3.775646772
-11.03007519	1.119369936	1.347454027	1.203761136	3.772536225	3.764340675
-10.98496241	1.116005296	1.343406984	1.203763986	3.761196608	3.753034578
-10.93984962	1.112640657	1.339359942	1.203766853	3.749856992	3.741728481
-10.89473684	1.109276017	1.3353129	1.203769738	3.738517375	3.730422384
-10.84962406	1.105911377	1.331265858	1.20377264	3.727177759	3.719116288
-10.80451128	1.102546737	1.327218815	1.20377556	3.715838143	3.707810191
-10.7593985	1.099182097	1.323171773	1.203778497	3.704498526	3.696504094
-10.71428571	1.095817457	1.319124731	1.203781453	3.69315891	3.685197997
-10.66917293	1.092452817	1.315077689	1.203784427	3.681819293	3.6738919
-10.62406015	1.089088178	1.311030646	1.203787419	3.670479677	3.662585803
-10.57894737	1.085723538	1.306983604	1.20379043	3.65914006	3.651279707
-10.53383459	1.082358898	1.302936562	1.203793459	3.647800444	3.63997361
-10.4887218	1.078994258	1.29888952	1.203796508	3.636460827	3.628667513
-10.44360902	1.075629618	1.294842478	1.203799575	3.625121211	3.617361416
-10.39849624	1.072264978	1.290795435	1.203802662	3.613781594	3.606055319
-10.35338346	1.068900338	1.286748393	1.203805768	3.602441978	3.594749222
-10.30827068	1.065535699	1.282701351	1.203808894	3.591102361	3.583443126
-10.26315789	1.062171059	1.278654309	1.20381204	3.579762745	3.572137029
-10.21804511	1.058806419	1.274607266	1.203815205	3.568423129	3.560830932
-10.17293233	1.055441779	1.270560224	1.203818391	3.557083512	3.549524835
-10.12781955	1.052077139	1.266513182	1.203821597	3.545743896	3.538218738
-10.08270677	1.048712499	1.26246614	1.203824824	3.534404279	3.526912641
-10.03759398	1.045347859	1.258419097	1.203828071	3.523064663	3.515606545
-9.992481203	1.04198322	1.254372055	1.20383134	3.511725046	3.504300448
-9.947368421	1.03861858	1.250325013	1.203834629	3.50038543	3.492994351
-9.902255639	1.03525394	1.246277971	1.20383794	3.489045813	3.481688254
-9.857142857	1.0318893	1.242230929	1.203841273	3.477706197	3.470382157
-9.812030075	1.02852466	1.238183886	1.203844627	3.46636658	3.45907606
-9.766917293	1.02516002	1.234136844	1.203848004	3.455026964	3.447769964
-9.721804511	1.02179538	1.230089802	1.203851403	3.443687347	3.436463867
-9.676691729	1.018430741	1.22604276	1.203854824	3.432347731	3.42515777
-9.631578947	1.015066101	1.221995717	1.203858267	3.421008115	3.413851673
-9.586466165	1.011701461	1.217948675	1.203861734	3.409668498	3.402545576
-9.541353383	1.008336821	1.213901633	1.203865224	3.398328882	3.391239479
-9.496240602	1.004972181	1.209854591	1.203868737	3.386989265	3.379933383
-9.45112782	1.001607541	1.205807548	1.203872274	3.375649649	3.368627286
-9.406015038	0.9982429014	1.201760506	1.203875835	3.364310032	3.357321189
-9.360902256	0.9948782615	1.197713464	1.203879419	3.352970416	3.346015092
-9.315789474	0.9915136216	1.193666422	1.203883029	3.341630799	3.334708995
-9.270676692	0.9881489818	1.189619379	1.203886662	3.330291183	3.323402898
-9.22556391	0.9847843419	1.185572337	1.203890321	3.318951566	3.312096802
-9.180451128	0.9814197021	1.181525295	1.203894004	3.30761195	3.300790705
-9.135338346	0.9780550622	1.177478253	1.203897713	3.296272333	3.289484608
-9.090225564	0.9746904223	1.173431211	1.203901448	3.284932717	3.278178511
-9.045112782	0.9713257825	1.169384168	1.203905208	3.273593101	3.266872414
-9	0.9679611426	1.165337126	1.203908995	3.262253484	3.255566318
-8.954887218	0.9645965028	1.161290084	1.203912808	3.250913868	3.244260221
-8.909774436	0.9612318629	1.157243042	1.203916647	3.239574251	3.232954124
-8.864661654	0.957867223	1.153195999	1.203920514	3.228234635	3.221648027
-8.819548872	0.9545025832	1.149148957	1.203924408	3.216895018	3.21034193
-8.77443609	0.9511379433	1.145101915	1.203928329	3.205555402	3.199035833
-8.729323308	0.9477733035	1.141054873	1.203932278	3.194215785	3.187729737
-8.684210526	0.9444086636	1.13700783	1.203936256	3.182876169	3.17642364
-8.639097744	0.9410440237	1.132960788	1.203940262	3.171536552	3.165117543
-8.593984962	0.9376793839	1.128913746	1.203944296	3.160196936	3.153811446
-8.54887218	0.934314744	1.124866704	1.20394836	3.148857319	3.142505349
-8.503759398	0.9309501042	1.120819661	1.203952453	3.137517703	3.131199252
-8.458646617	0.9275854643	1.116772619	1.203956576	3.126178087	3.119893156
-8.413533835	0.9242208244	1.112725577	1.203960728	3.11483847	3.108587059
-8.368421053	0.9208561846	1.108678535	1.203964911	3.103498854	3.097280962
-8.323308271	0.9174915447	1.104631493	1.203969125	3.092159237	3.085974865
-8.278195489	0.9141269049	1.10058445	1.20397337	3.080819621	3.074668768
-8.233082707	0.910762265	1.096537408	1.203977646	3.069480004	3.063362671
-8.187969925	0.9073976251	1.092490366	1.203981954	3.058140388	3.052056575
-8.142857143	0.9040329853	1.088443324	1.203986294	3.046800771	3.040750478
