# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phiBox
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiBox	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-1.1	0.04161661091	0.04996250955	1.200542487	0.1402576281	0.139578719
-1.092230576	0.04341840295	0.05213787533	1.200824346	0.146330085	0.1456559711
-1.084461153	0.04522019499	0.05431324111	1.201083744	0.152402542	0.1517332233
-1.076691729	0.04702198703	0.05648860689	1.201323263	0.1584749989	0.1578104754
-1.068922306	0.04882377907	0.05866397267	1.201545103	0.1645474559	0.1638877276
-1.061152882	0.05062557111	0.06083933845	1.201751153	0.1706199128	0.1699649797
-1.053383459	0.05242736315	0.06301470423	1.20194304	0.1766923697	0.1760422319
-1.045614035	0.05422915519	0.06519007001	1.202122175	0.1827648267	0.1821194841
-1.037844612	0.05603094723	0.06736543579	1.20228979	0.1888372836	0.1881967362
-1.030075188	0.05783273927	0.06954080157	1.202446961	0.1949097406	0.1942739884
-1.022305764	0.05963453132	0.07171616735	1.202594634	0.2009821975	0.2003512405
-1.014536341	0.06143632336	0.07389153313	1.202733645	0.2070546545	0.2064284927
-1.006766917	0.0632381154	0.07606689891	1.202864735	0.2131271114	0.2125057448
-0.9989974937	0.06503990744	0.07824226469	1.202988561	0.2191995684	0.218582997
-0.9912280702	0.06684169948	0.08041763047	1.203105712	0.2252720253	0.2246602491
-0.9834586466	0.06864349152	0.08259299625	1.203216713	0.2313444822	0.2307375013
-0.9756892231	0.07044528356	0.08476836202	1.203322036	0.2374169392	0.2368147535
-0.9679197995	0.0722470756	0.0869437278	1.203422105	0.2434893961	0.2428920056
-0.9601503759	0.07404886764	0.08911909358	1.203517305	0.2495618531	0.2489692578
-0.9523809524	0.07585065968	0.09129445936	1.203607981	0.25563431	0.2550465099
-0.9446115288	0.07765245172	0.09346982514	1.20369445	0.261706767	0.2611237621
-0.9368421053	0.07945424376	0.09564519092	1.203776997	0.2677792239	0.2672010142
-0.9290726817	0.0812560358	0.0978205567	1.203855883	0.2738516809	0.2732782664
-0.9213032581	0.08305782784	0.09999592248	1.203931346	0.2799241378	0.2793555186
-0.9135338346	0.08485961989	0.1021712883	1.204003605	0.2859965947	0.2854327707
-0.905764411	0.08666141193	0.104346654	1.204072859	0.2920690517	0.2915100229
-0.8979949875	0.08846320397	0.1065220198	1.204139292	0.2981415086	0.297587275
-0.8902255639	0.09026499601	0.1086973856	1.204203073	0.3042139656	0.3036645272
-0.8824561404	0.09206678805	0.1108727514	1.204264358	0.3102864225	0.3097417793
-0.8746867168	0.09386858009	0.1130481172	1.20432329	0.3163588795	0.3158190315
-0.8669172932	0.09567037213	0.1152234829	1.204380002	0.3224313364	0.3218962836
-0.8591478697	0.09747216417	0.1173988487	1.204434617	0.3285037934	0.3279735358
-0.8513784461	0.09927395621	0.1195742145	1.20448725	0.3345762503	0.334050788
-0.8436090226	0.1010757483	0.1217495803	1.204538006	0.3406487072	0.3401280401
-0.835839599	0.1028775403	0.1239249461	1.204586985	0.3467211642	0.3462052923
-0.8280701754	0.1046793323	0.1261003118	1.204634277	0.3527936211	0.3522825444
-0.8203007519	0.1064811244	0.1282756776	1.204679969	0.3588660781	0.3583597966
-0.8125313283	0.1082829164	0.1304510434	1.20472414	0.364938535	0.3644370487
-0.8047619048	0.1100847085	0.1326264092	1.204766866	0.371010992	0.3705143009
-0.7969924812	0.1118865005	0.134801775	1.204808215	0.3770834489	0.376591553
-0.7892230576	0.1136882925	0.1369771407	1.204848254	0.3831559059	0.3826688052
-0.7814536341	0.1154900846	0.1391525065	1.204887043	0.3892283628	0.3887460574
-0.7736842105	0.1172918766	0.1413278723	1.204924641	0.3953008197	0.3948233095
-0.765914787	0.1190936687	0.1435032381	1.204961101	0.4013732767	0.4009005617
-0.7581453634	0.1208954607	0.1456786039	1.204996474	0.4074457336	0.4069778138
-0.7503759398	0.1226972527	0.1478539696	1.205030808	0.4135181906	0.413055066
-0.7426065163	0.1244990448	0.1500293354	1.205064149	0.4195906475	0.4191323181
-0.7348370927	0.1263008368	0.1522047012	1.205096538	0.4256631045	0.4252095703
-0.7270676692	0.1281026289	0.154380067	1.205128016	0.4317355614	0.4312868224
-0.7192982456	0.1299044209	0.1565554328	1.205158621	0.4378080184	0.4373640746
-0.7115288221	0.1317062129	0.1587307985	1.205188389	0.4438804753	0.4434413268
-0.7037593985	0.133508005	0.1609061643	1.205217353	0.4499529322	0.4495185789
-0.6959899749	0.135309797	0.1630815301	1.205245545	0.4560253892	0.4555958311
-0.6882205514	0.1371115891	0.1652568959	1.205272997	0.4620978461	0.4616730832
-0.6804511278	0.1389133811	0.1674322617	1.205299737	0.4681703031	0.4677503354
-0.6726817043	0.1407151731	0.1696076274	1.205325791	0.47424276	0.4738275875
-0.6649122807	0.1425169652	0.1717829932	1.205351187	0.480315217	0.4799048397
-0.6571428571	0.1443187572	0.173958359	1.205375949	0.4863876739	0.4859820918
-0.6493734336	0.1461205493	0.1761337248	1.205400101	0.4924601309	0.492059344
-0.64160401	0.1479223413	0.1783090906	1.205423663	0.4985325878	0.4981365962
-0.6338345865	0.1497241334	0.1804844563	1.205446659	0.5046050447	0.5042138483
-0.6260651629	0.1515259254	0.1826598221	1.205469108	0.5106775017	0.5102911005
-0.6182957393	0.1533277174	0.1848351879	1.205491029	0.5167499586	0.5163683526
-0.6105263158	0.1551295095	0.1870105537	1.205512441	0.5228224156	0.5224456048
-0.6027568922	0.1569313015	0.1891859195	1.205533362	0.5288948725	0.5285228569
-0.5949874687	0.1587330936	0.1913612852	1.205553807	0.5349673295	0.5346001091
-0.5872180451	0.1605348856	0.193536651	1.205573794	0.5410397864	0.5406773613
-0.5794486216	0.1623366776	0.1957120168	1.205593336	0.5471122434	0.5467546134
-0.571679198	0.1641384697	0.1978873826	1.20561245	0.5531847003	0.5528318656
-0.5639097744	0.1659402617	0.2000627484	1.205631149	0.5592571572	0.5589091177
-0.5561403509	0.1677420538	0.2022381141	1.205649446	0.5653296142	0.5649863699
-0.5483709273	0.1695438458	0.2044134799	1.205667354	0.5714020711	0.571063622
-0.5406015038	0.1713456378	0.2065888457	1.205684885	0.5774745281	0.5771408742
-0.5328320802	0.1731474299	0.2087642115	1.205702052	0.583546985	0.5832181263
-0.5250626566	0.1749492219	0.2109395773	1.205718865	0.589619442	0.5892953785
-0.5172932331	0.176751014	0.213114943	1.205735335	0.5956918989	0.5953726307
-0.5095238095	0.178552806	0.2152903088	1.205751473	0.6017643559	0.6014498828
-0.501754386	0.180354598	0.2174656746	1.205767288	0.6078368128	0.607527135
-0.4939849624	0.1821563901	0.2196410404	1.205782791	0.6139092697	0.6136043871
-0.4862155388	0.1839581821	0.2218164062	1.20579799	0.6199817267	0.6196816393
-0.4784461153	0.1857599742	0.2239917719	1.205812893	0.6260541836	0.6257588914
-0.4706766917	0.1875617662	0.2261671377	1.205827511	0.6321266406	0.6318361436
-0.4629072682	0.1893635582	0.2283425035	1.205841851	0.6381990975	0.6379133957
-0.4551378446	0.1911653503	0.2305178693	1.20585592	0.6442715545	0.6439906479
-0.4473684211	0.1929671423	0.2326932351	1.205869726	0.6503440114	0.6500679001
-0.4395989975	0.1947689344	0.2348686008	1.205883277	0.6564164684	0.6561451522
-0.4318295739	0.1965707264	0.2370439666	1.20589658	0.6624889253	0.6622224044
-0.4240601504	0.1983725185	0.2392193324	1.20590964	0.6685613823	0.6682996565
-0.4162907268	0.2001743105	0.2413946982	1.205922466	0.6746338392	0.6743769087
-0.4085213033	0.2019761025	0.243570064	1.205935063	0.6807062961	0.6804541608
-0.4007518797	0.2037778946	0.2457454297	1.205947437	0.6867787531	0.686531413
-0.3929824561	0.2055796866	0.2479207955	1.205959595	0.69285121	0.6926086651
-0.3852130326	0.2073814787	0.2500961613	1.205971541	0.698923667	0.6986859173
-0.377443609	0.2091832707	0.2522715271	1.205983281	0.7049961239	0.7047631695
-0.3696741855	0.2109850627	0.2544468929	1.20599482	0.7110685809	0.7108404216
-0.3619047619	0.2127868548	0.2566222586	1.206006165	0.7171410378	0.7169176738
-0.3541353383	0.2145886468	0.2587976244	1.206017319	0.7232134948	0.7229949259
-0.3463659148	0.2163904389	0.2609729902	1.206028287	0.7292859517	0.7290721781
-0.3385964912	0.2181922309	0.263148356	1.206039073	0.7353584086	0.7351494302
-0.3308270677	0.2199940229	0.2653237218	1.206049684	0.7414308656	0.7412266824
-0.3230576441	0.221795815	0.2674990875	1.206060121	0.7475033225	0.7473039346
-0.3152882206	0.223597607	0.2696744533	1.206070391	0.7535757795	0.7533811867
-0.307518797	0.2253993991	0.2718498191	1.206080496	0.7596482364	0.7594584389
-0.2997493734	0.2272011911	0.2740251849	1.206090441	0.7657206934	0.765535691
-0.2919799499	0.2290029831	0.2762005507	1.20610023	0.7717931503	0.7716129432
-0.2842105263	0.2308047752	0.2783759164	1.206109866	0.7778656073	0.7776901953
-0.2764411028	0.2326065672	0.2805512822	1.206119352	0.7839380642	0.7837674475
