# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.3	0.01730948967	0.02587072846	1.494597989	0.05833699361	0.07227425464
-0.2967418546	0.02034397423	0.02947729415	1.448944726	0.06856391014	0.08234980576
-0.2934837093	0.02337845878	0.03308385984	1.415142895	0.07879082666	0.09242535688
-0.2902255639	0.02641294333	0.03669042553	1.389107797	0.08901774319	0.102500908
-0.2869674185	0.02944742789	0.04029699122	1.368438404	0.09924465972	0.1125764591
-0.2837092732	0.03248191244	0.04390355691	1.351630911	0.1094715762	0.1226520102
-0.2804511278	0.03551639699	0.04751012261	1.337695449	0.1196984928	0.1327275614
-0.2771929825	0.03855088155	0.0511166883	1.325953811	0.1299254093	0.1428031125
-0.2739348371	0.0415853661	0.05472325399	1.315925748	0.1401523258	0.1528786636
-0.2706766917	0.04461985065	0.05832981968	1.307261652	0.1503792424	0.1629542147
-0.2674185464	0.04765433521	0.06193638537	1.299700963	0.1606061589	0.1730297658
-0.264160401	0.05068881976	0.06554295106	1.293045515	0.1708330754	0.183105317
-0.2609022556	0.05372330431	0.06914951675	1.287141914	0.1810599919	0.1931808681
-0.2576441103	0.05675778887	0.07275608244	1.281869571	0.1912869085	0.2032564192
-0.2543859649	0.05979227342	0.07636264813	1.277132374	0.201513825	0.2133319703
-0.2511278195	0.06282675797	0.07996921382	1.272852784	0.2117407415	0.2234075214
-0.2478696742	0.06586124253	0.08357577951	1.268967549	0.221967658	0.2334830725
-0.2446115288	0.06889572708	0.0871823452	1.265424561	0.2321945746	0.2435586237
-0.2413533835	0.07193021164	0.09078891089	1.262180506	0.2424214911	0.2536341748
-0.2380952381	0.07496469619	0.09439547658	1.259199081	0.2526484076	0.2637097259
-0.2348370927	0.07799918074	0.09800204227	1.256449636	0.2628753242	0.273785277
-0.2315789474	0.0810336653	0.101608608	1.253906109	0.2731022407	0.2838608281
-0.228320802	0.08406814985	0.1052151737	1.251546202	0.2833291572	0.2939363793
-0.2250626566	0.0871026344	0.1088217393	1.249350724	0.2935560737	0.3040119304
-0.2218045113	0.09013711896	0.112428305	1.247303068	0.3037829903	0.3140874815
-0.2185463659	0.09317160351	0.1160348707	1.245388792	0.3140099068	0.3241630326
-0.2152882206	0.09620608806	0.1196414364	1.243595274	0.3242368233	0.3342385837
-0.2120300752	0.09924057262	0.1232480021	1.241911437	0.3344637398	0.3443141349
-0.2087719298	0.1022750572	0.1268545678	1.240327518	0.3446906564	0.354389686
-0.2055137845	0.1053095417	0.1304611335	1.23883488	0.3549175729	0.3644652371
-0.2022556391	0.1083440263	0.1340676992	1.237425853	0.3651444894	0.3745407882
-0.1989974937	0.1113785108	0.1376742649	1.236093604	0.375371406	0.3846163393
-0.1957393484	0.1144129954	0.1412808306	1.234832023	0.3855983225	0.3946918905
-0.192481203	0.1174474799	0.1448873963	1.233635633	0.395825239	0.4047674416
-0.1892230576	0.1204819645	0.1484939619	1.232499508	0.4060521555	0.4148429927
-0.1859649123	0.123516449	0.1521005276	1.231419206	0.4162790721	0.4249185438
-0.1827067669	0.1265509336	0.1557070933	1.230390712	0.4265059886	0.4349940949
