# VHH-NNLO SMEFT grid scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	-1	0.484104908	0.5966555044	1.232492161	1.631545786	1.666858045
-15	-0.9487179487	0.5318666175	0.6534215679	1.228544049	1.792513821	1.825443642
-15	-0.8974358974	0.5796283271	0.7101876315	1.22524659	1.953481856	1.98402924
-15	-0.8461538462	0.6273900366	0.766953695	1.222451187	2.114449891	2.142614837
-15	-0.7948717949	0.6751517462	0.8237197585	1.22005129	2.275417927	2.301200435
-15	-0.7435897436	0.7229134557	0.8804858221	1.217968507	2.436385962	2.459786032
-15	-0.6923076923	0.7706751652	0.9372518856	1.21614388	2.597353997	2.61837163
-15	-0.641025641	0.8184368748	0.9940179491	1.214532213	2.758322032	2.776957227
-15	-0.5897435897	0.8661985843	1.050784013	1.21309828	2.919290068	2.935542825
-15	-0.5384615385	0.9139602939	1.107550076	1.211814215	3.080258103	3.094128422
-15	-0.4871794872	0.9617220034	1.16431614	1.210657691	3.241226138	3.25271402
-15	-0.4358974359	1.009483713	1.221082203	1.209610604	3.402194174	3.411299617
-15	-0.3846153846	1.057245422	1.277848267	1.208658122	3.563162209	3.569885215
-15	-0.3333333333	1.105007132	1.33461433	1.207787979	3.724130244	3.728470812
-15	-0.2820512821	1.152768842	1.391380394	1.206989939	3.885098279	3.88705641
-15	-0.2307692308	1.200530551	1.448146457	1.206255398	4.046066315	4.045642007
-15	-0.1794871795	1.248292261	1.504912521	1.205577066	4.20703435	4.204227605
-15	-0.1282051282	1.29605397	1.561678584	1.204948729	4.368002385	4.362813202
-15	-0.07692307692	1.34381568	1.618444648	1.204365057	4.528970421	4.5213988
-15	-0.02564102564	1.391577389	1.675210712	1.203821451	4.689938456	4.679984397
-15	0.02564102564	1.439339099	1.731976775	1.203313921	4.850906491	4.838569995
-15	0.07692307692	1.487100808	1.788742839	1.202838993	5.011874526	4.997155592
-15	0.1282051282	1.534862518	1.845508902	1.202393622	5.172842562	5.15574119
-15	0.1794871795	1.582624227	1.902274966	1.201975133	5.333810597	5.314326787
-15	0.2307692308	1.630385937	1.959041029	1.201581162	5.494778632	5.472912385
-15	0.2820512821	1.678147647	2.015807093	1.201209618	5.655746668	5.631497982
-15	0.3333333333	1.725909356	2.072573156	1.200858637	5.816714703	5.79008358
-15	0.3846153846	1.773671066	2.12933922	1.200526558	5.977682738	5.948669177
