# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phiq3st
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiq3st	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.01	0.04940163531	0.0542865734	1.098882113	0.1664949654	0.1516587225
-0.00984962406	0.05312064065	0.05885297381	1.107911597	0.1790288757	0.1644157342
-0.00969924812	0.056839646	0.06341937421	1.115759486	0.191562786	0.1771727459
-0.00954887218	0.06055865134	0.06798577461	1.122643472	0.2040966963	0.1899297576
-0.009398496241	0.06427765668	0.07255217501	1.128730865	0.2166306066	0.2026867693
-0.009248120301	0.06799666202	0.07711857541	1.13415237	0.2291645168	0.215443781
-0.009097744361	0.07171566736	0.08168497581	1.139011583	0.2416984271	0.2282007927
-0.008947368421	0.0754346727	0.08625137622	1.143391668	0.2542323374	0.2409578044
-0.008796992481	0.07915367804	0.09081777662	1.147360159	0.2667662477	0.2537148161
-0.008646616541	0.08287268338	0.09538417702	1.150972469	0.279300158	0.2664718278
-0.008496240602	0.08659168872	0.09995057742	1.154274491	0.2918340683	0.2792288395
-0.008345864662	0.09031069406	0.1045169778	1.157304557	0.3043679786	0.2919858511
-0.008195488722	0.0940296994	0.1090833782	1.160094937	0.3169018889	0.3047428628
-0.008045112782	0.09774870475	0.1136497786	1.162672988	0.3294357992	0.3174998745
-0.007894736842	0.1014677101	0.118216179	1.165062057	0.3419697095	0.3302568862
-0.007744360902	0.1051867154	0.1227825794	1.167282189	0.3545036198	0.3430138979
-0.007593984962	0.1089057208	0.1273489798	1.169350691	0.3670375301	0.3557709096
-0.007443609023	0.1126247261	0.1319153802	1.171282584	0.3795714404	0.3685279213
-0.007293233083	0.1163437315	0.1364817806	1.173090969	0.3921053507	0.381284933
-0.007142857143	0.1200627368	0.141048181	1.174787322	0.404639261	0.3940419447
-0.006992481203	0.1237817421	0.1456145814	1.176381742	0.4171731713	0.4067989564
-0.006842105263	0.1275007475	0.1501809818	1.177883148	0.4297070816	0.4195559681
-0.006691729323	0.1312197528	0.1547473822	1.179299449	0.4422409919	0.4323129797
-0.006541353383	0.1349387582	0.1593137826	1.180637682	0.4547749022	0.4450699914
-0.006390977444	0.1386577635	0.1638801831	1.181904128	0.4673088125	0.4578270031
-0.006240601504	0.1423767688	0.1684465835	1.183104413	0.4798427228	0.4705840148
-0.006090225564	0.1460957742	0.1730129839	1.184243588	0.492376633	0.4833410265
-0.005939849624	0.1498147795	0.1775793843	1.185326206	0.5049105433	0.4960980382
-0.005789473684	0.1535337849	0.1821457847	1.186356376	0.5174444536	0.5088550499
-0.005639097744	0.1572527902	0.1867121851	1.18733782	0.5299783639	0.5216120616
-0.005488721805	0.1609717955	0.1912785855	1.188273914	0.5425122742	0.5343690733
-0.005338345865	0.1646908009	0.1958449859	1.18916773	0.5550461845	0.547126085
-0.005187969925	0.1684098062	0.2004113863	1.19002207	0.5675800948	0.5598830967
-0.005037593985	0.1721288116	0.2049777867	1.190839493	0.5801140051	0.5726401083
-0.004887218045	0.1758478169	0.2095441871	1.19162234	0.5926479154	0.58539712
-0.004736842105	0.1795668222	0.2141105875	1.19237276	0.6051818257	0.5981541317
-0.004586466165	0.1832858276	0.2186769879	1.193092727	0.617715736	0.6109111434
-0.004436090226	0.1870048329	0.2232433883	1.193784058	0.6302496463	0.6236681551
-0.004285714286	0.1907238383	0.2278097887	1.194448427	0.6427835566	0.6364251668
-0.004135338346	0.1944428436	0.2323761891	1.195087383	0.6553174669	0.6491821785
-0.003984962406	0.1981618489	0.2369425895	1.195702355	0.6678513772	0.6619391902
-0.003834586466	0.2018808543	0.2415089899	1.19629467	0.6803852875	0.6746962019
-0.003684210526	0.2055998596	0.2460753903	1.196865556	0.6929191978	0.6874532136
-0.003533834586	0.209318865	0.2506417907	1.197416156	0.7054531081	0.7002102253
-0.003383458647	0.2130378703	0.2552081911	1.197947533	0.7179870184	0.712967237
-0.003233082707	0.2167568757	0.2597745915	1.198460675	0.7305209287	0.7257242486
-0.003082706767	0.220475881	0.2643409919	1.198956506	0.7430548389	0.7384812603
-0.002932330827	0.2241948863	0.2689073923	1.199435887	0.7555887492	0.751238272
-0.002781954887	0.2279138917	0.2734737927	1.199899623	0.7681226595	0.7639952837
-0.002631578947	0.231632897	0.2780401931	1.200348468	0.7806565698	0.7767522954
-0.002481203008	0.2353519024	0.2826065935	1.200783128	0.7931904801	0.7895093071
-0.002330827068	0.2390709077	0.2871729939	1.201204265	0.8057243904	0.8022663188
-0.002180451128	0.242789913	0.2917393943	1.2016125	0.8182583007	0.8150233305
-0.002030075188	0.2465089184	0.2963057947	1.202008417	0.830792211	0.8277803422
-0.001879699248	0.2502279237	0.3008721951	1.202392565	0.8433261213	0.8405373539
-0.001729323308	0.2539469291	0.3054385955	1.202765462	0.8558600316	0.8532943656
-0.001578947368	0.2576659344	0.3100049959	1.203127595	0.8683939419	0.8660513772
-0.001428571429	0.2613849397	0.3145713963	1.203479422	0.8809278522	0.8788083889
-0.001278195489	0.2651039451	0.3191377967	1.203821379	0.8934617625	0.8915654006
-0.001127819549	0.2688229504	0.3237041971	1.204153874	0.9059956728	0.9043224123
-0.000977443609	0.2725419558	0.3282705975	1.204477294	0.9185295831	0.917079424
-0.0008270676692	0.2762609611	0.3328369979	1.204792007	0.9310634934	0.9298364357
-0.0006766917293	0.2799799664	0.3374033983	1.20509836	0.9435974037	0.9425934474
-0.0005263157895	0.2836989718	0.3419697987	1.20539668	0.956131314	0.9553504591
-0.0003759398496	0.2874179771	0.3465361991	1.20568728	0.9686652243	0.9681074708
-0.0002255639098	0.2911369825	0.3511025995	1.205970456	0.9811991346	0.9808644825
-7.518796992e-05	0.2948559878	0.3556689999	1.206246489	0.9937330449	0.9936214942
7.518796992e-05	0.2985749932	0.3602354003	1.206515645	1.006266955	1.006378506
0.0002255639098	0.3022939985	0.3648018007	1.206778178	1.018800865	1.019135518
0.0003759398496	0.3060130038	0.3693682011	1.20703433	1.031334776	1.031892529
0.0005263157895	0.3097320092	0.3739346015	1.207284331	1.043868686	1.044649541
0.0006766917293	0.3134510145	0.3785010019	1.2075284	1.056402596	1.057406553
0.0008270676692	0.3171700199	0.3830674023	1.207766745	1.068936507	1.070163564
0.000977443609	0.3208890252	0.3876338027	1.207999565	1.081470417	1.082920576
0.001127819549	0.3246080305	0.3922002031	1.20822705	1.094004327	1.095677588
0.001278195489	0.3283270359	0.3967666036	1.208449382	1.106538238	1.108434599
0.001428571429	0.3320460412	0.401333004	1.208666733	1.119072148	1.121191611
0.001578947368	0.3357650466	0.4058994044	1.20887927	1.131606058	1.133948623
0.001729323308	0.3394840519	0.4104658048	1.20908715	1.144139968	1.146705634
0.001879699248	0.3432030572	0.4150322052	1.209290525	1.156673879	1.159462646
0.002030075188	0.3469220626	0.4195986056	1.209489539	1.169207789	1.172219658
0.002180451128	0.3506410679	0.424165006	1.209684332	1.181741699	1.18497667
0.002330827068	0.3543600733	0.4287314064	1.209875036	1.19427561	1.197733681
0.002481203008	0.3580790786	0.4332978068	1.210061779	1.20680952	1.210490693
0.002631578947	0.3617980839	0.4378642072	1.210244682	1.21934343	1.223247705
0.002781954887	0.3655170893	0.4424306076	1.210423864	1.23187734	1.236004716
0.002932330827	0.3692360946	0.446997008	1.210599436	1.244411251	1.248761728
0.003082706767	0.3729551	0.4515634084	1.210771507	1.256945161	1.26151874
0.003233082707	0.3766741053	0.4561298088	1.21094018	1.269479071	1.274275751
0.003383458647	0.3803931107	0.4606962092	1.211105554	1.282012982	1.287032763
0.003533834586	0.384112116	0.4652626096	1.211267727	1.294546892	1.299789775
0.003684210526	0.3878311213	0.46982901	1.211426789	1.307080802	1.312546786
0.003834586466	0.3915501267	0.4743954104	1.21158283	1.319614713	1.325303798
0.003984962406	0.395269132	0.4789618108	1.211735934	1.332148623	1.33806081
0.004135338346	0.3989881374	0.4835282112	1.211886184	1.344682533	1.350817822
0.004285714286	0.4027071427	0.4880946116	1.212033659	1.357216443	1.363574833
0.004436090226	0.406426148	0.492661012	1.212178435	1.369750354	1.376331845
0.004586466165	0.4101451534	0.4972274124	1.212320585	1.382284264	1.389088857
0.004736842105	0.4138641587	0.5017938128	1.212460181	1.394818174	1.401845868
0.004887218045	0.4175831641	0.5063602132	1.21259729	1.407352085	1.41460288
0.005037593985	0.4213021694	0.5109266136	1.212731979	1.419885995	1.427359892
0.005187969925	0.4250211747	0.515493014	1.21286431	1.432419905	1.440116903
0.005338345865	0.4287401801	0.5200594144	1.212994346	1.444953815	1.452873915
0.005488721805	0.4324591854	0.5246258148	1.213122145	1.457487726	1.465630927
0.005639097744	0.4361781908	0.5291922152	1.213247765	1.470021636	1.478387938
0.005789473684	0.4398971961	0.5337586156	1.213371261	1.482555546	1.49114495
0.005939849624	0.4436162014	0.538325016	1.213492686	1.495089457	1.503901962
0.006090225564	0.4473352068	0.5428914164	1.213612093	1.507623367	1.516658973
0.006240601504	0.4510542121	0.5474578168	1.21372953	1.520157277	1.529415985
0.006390977444	0.4547732175	0.5520242172	1.213845046	1.532691188	1.542172997
0.006541353383	0.4584922228	0.5565906176	1.213958689	1.545225098	1.554930009
0.006691729323	0.4622112282	0.561157018	1.214070502	1.557759008	1.56768702
0.006842105263	0.4659302335	0.5657234184	1.214180531	1.570292918	1.580444032
0.006992481203	0.4696492388	0.5702898188	1.214288817	1.582826829	1.593201044
0.007142857143	0.4733682442	0.5748562192	1.214395402	1.595360739	1.605958055
0.007293233083	0.4770872495	0.5794226196	1.214500325	1.607894649	1.618715067
0.007443609023	0.4808062549	0.58398902	1.214603625	1.62042856	1.631472079
0.007593984962	0.4845252602	0.5885554204	1.214705339	1.63296247	1.64422909
0.007744360902	0.4882442655	0.5931218208	1.214805504	1.64549638	1.656986102
0.007894736842	0.4919632709	0.5976882212	1.214904154	1.65803029	1.669743114
0.008045112782	0.4956822762	0.6022546216	1.215001323	1.670564201	1.682500125
0.008195488722	0.4994012816	0.606821022	1.215097046	1.683098111	1.695257137
0.008345864662	0.5031202869	0.6113874224	1.215191354	1.695632021	1.708014149
0.008496240602	0.5068392922	0.6159538228	1.215284277	1.708165932	1.720771161
0.008646616541	0.5105582976	0.6205202232	1.215375847	1.720699842	1.733528172
0.008796992481	0.5142773029	0.6250866236	1.215466092	1.733233752	1.746285184
0.008947368421	0.5179963083	0.6296530241	1.215555042	1.745767663	1.759042196
0.009097744361	0.5217153136	0.6342194245	1.215642723	1.758301573	1.771799207
0.009248120301	0.5254343189	0.6387858249	1.215729163	1.770835483	1.784556219
0.009398496241	0.5291533243	0.6433522253	1.215814388	1.783369393	1.797313231
0.00954887218	0.5328723296	0.6479186257	1.215898424	1.795903304	1.810070242
0.00969924812	0.536591335	0.6524850261	1.215981294	1.808437214	1.822827254
0.00984962406	0.5403103403	0.6570514265	1.216063024	1.820971124	1.835584266
0.01	0.5440293457	0.6616178269	1.216143637	1.833505035	1.848341277
0.01015037594	0.547748351	0.6661842273	1.216223154	1.846038945	1.861098289
0.01030075188	0.5514673563	0.6707506277	1.2163016	1.858572855	1.873855301
0.01045112782	0.5551863617	0.6753170281	1.216378994	1.871106766	1.886612313
0.01060150376	0.558905367	0.6798834285	1.216455358	1.883640676	1.899369324
0.0107518797	0.5626243724	0.6844498289	1.216530713	1.896174586	1.912126336
0.01090225564	0.5663433777	0.6890162293	1.216605078	1.908708496	1.924883348
0.01105263158	0.570062383	0.6935826297	1.216678473	1.921242407	1.937640359
0.01120300752	0.5737813884	0.6981490301	1.216750916	1.933776317	1.950397371
0.01135338346	0.5775003937	0.7027154305	1.216822427	1.946310227	1.963154383
0.0115037594	0.5812193991	0.7072818309	1.216893022	1.958844138	1.975911394
0.01165413534	0.5849384044	0.7118482313	1.216962719	1.971378048	1.988668406
0.01180451128	0.5886574097	0.7164146317	1.217031536	1.983911958	2.001425418
0.01195488722	0.5923764151	0.7209810321	1.217099489	1.996445868	2.014182429
0.01210526316	0.5960954204	0.7255474325	1.217166594	2.008979779	2.026939441
0.0122556391	0.5998144258	0.7301138329	1.217232867	2.021513689	2.039696453
0.01240601504	0.6035334311	0.7346802333	1.217298323	2.034047599	2.052453465
0.01255639098	0.6072524364	0.7392466337	1.217362977	2.04658151	2.065210476
0.01270676692	0.6109714418	0.7438130341	1.217426844	2.05911542	2.077967488
0.01285714286	0.6146904471	0.7483794345	1.217489938	2.07164933	2.0907245
0.0130075188	0.6184094525	0.7529458349	1.217552274	2.084183241	2.103481511
0.01315789474	0.6221284578	0.7575122353	1.217613864	2.096717151	2.116238523
0.01330827068	0.6258474632	0.7620786357	1.217674722	2.109251061	2.128995535
0.01345864662	0.6295664685	0.7666450361	1.217734861	2.121784971	2.141752546
0.01360902256	0.6332854738	0.7712114365	1.217794294	2.134318882	2.154509558
0.0137593985	0.6370044792	0.7757778369	1.217853033	2.146852792	2.16726657
0.01390977444	0.6407234845	0.7803442373	1.21791109	2.159386702	2.180023581
0.01406015038	0.6444424899	0.7849106377	1.217968477	2.171920613	2.192780593
0.01421052632	0.6481614952	0.7894770381	1.218025205	2.184454523	2.205537605
0.01436090226	0.6518805005	0.7940434385	1.218081286	2.196988433	2.218294617
0.0145112782	0.6555995059	0.7986098389	1.218136731	2.209522343	2.231051628
0.01466165414	0.6593185112	0.8031762393	1.21819155	2.222056254	2.24380864
0.01481203008	0.6630375166	0.8077426397	1.218245755	2.234590164	2.256565652
0.01496240602	0.6667565219	0.8123090401	1.218299354	2.247124074	2.269322663
0.01511278195	0.6704755272	0.8168754405	1.218352359	2.259657985	2.282079675
0.01526315789	0.6741945326	0.8214418409	1.21840478	2.272191895	2.294836687
0.01541353383	0.6779135379	0.8260082413	1.218456625	2.284725805	2.307593698
0.01556390977	0.6816325433	0.8305746417	1.218507904	2.297259716	2.32035071
0.01571428571	0.6853515486	0.8351410421	1.218558627	2.309793626	2.333107722
