# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	1.336500019	1.671345102	1.250538779	4.597556336	4.216228585
-14.95488722	1.33335475	1.667510704	1.25061294	4.586736618	4.206555717
-14.90977444	1.33020948	1.663676305	1.250687452	4.5759169	4.196882849
-14.86466165	1.327064211	1.659841907	1.250762317	4.565097181	4.187209981
-14.81954887	1.323918941	1.656007508	1.250837537	4.554277463	4.177537113
-14.77443609	1.320773672	1.65217311	1.250913116	4.543457745	4.167864245
-14.72932331	1.317628402	1.648338711	1.250989056	4.532638027	4.158191377
-14.68421053	1.314483133	1.644504313	1.251065359	4.521818308	4.148518509
-14.63909774	1.311337863	1.640669915	1.251142028	4.51099859	4.138845641
-14.59398496	1.308192594	1.636835516	1.251219066	4.500178872	4.129172773
-14.54887218	1.305047324	1.633001118	1.251296476	4.489359153	4.119499906
-14.5037594	1.301902055	1.629166719	1.251374259	4.478539435	4.109827038
-14.45864662	1.298756785	1.625332321	1.251452419	4.467719717	4.10015417
-14.41353383	1.295611516	1.621497922	1.251530958	4.456899998	4.090481302
-14.36842105	1.292466246	1.617663524	1.25160988	4.44608028	4.080808434
-14.32330827	1.289320977	1.613829125	1.251689187	4.435260562	4.071135566
-14.27819549	1.286175707	1.609994727	1.251768882	4.424440844	4.061462698
-14.23308271	1.283030438	1.606160328	1.251848967	4.413621125	4.05178983
-14.18796992	1.279885168	1.60232593	1.251929446	4.402801407	4.042116962
-14.14285714	1.276739899	1.598491531	1.252010321	4.391981689	4.032444094
-14.09774436	1.273594629	1.594657133	1.252091597	4.38116197	4.022771226
-14.05263158	1.27044936	1.590822734	1.252173274	4.370342252	4.013098358
-14.0075188	1.26730409	1.586988336	1.252255357	4.359522534	4.00342549
-13.96240602	1.264158821	1.583153937	1.252337848	4.348702815	3.993752623
-13.91729323	1.261013551	1.579319539	1.252420751	4.337883097	3.984079755
-13.87218045	1.257868282	1.575485141	1.252504068	4.327063379	3.974406887
-13.82706767	1.254723012	1.571650742	1.252587803	4.31624366	3.964734019
-13.78195489	1.251577743	1.567816344	1.252671959	4.305423942	3.955061151
-13.73684211	1.248432473	1.563981945	1.252756539	4.294604224	3.945388283
-13.69172932	1.245287204	1.560147547	1.252841547	4.283784506	3.935715415
-13.64661654	1.242141934	1.556313148	1.252926984	4.272964787	3.926042547
-13.60150376	1.238996665	1.55247875	1.253012856	4.262145069	3.916369679
-13.55639098	1.235851395	1.548644351	1.253099165	4.251325351	3.906696811
-13.5112782	1.232706126	1.544809953	1.253185914	4.240505632	3.897023943
-13.46616541	1.229560856	1.540975554	1.253273107	4.229685914	3.887351075
-13.42105263	1.226415587	1.537141156	1.253360747	4.218866196	3.877678207
-13.37593985	1.223270317	1.533306757	1.253448838	4.208046477	3.86800534
-13.33082707	1.220125048	1.529472359	1.253537383	4.197226759	3.858332472
-13.28571429	1.216979778	1.52563796	1.253626385	4.186407041	3.848659604
-13.2406015	1.213834509	1.521803562	1.253715849	4.175587323	3.838986736
-13.19548872	1.210689239	1.517969164	1.253805778	4.164767604	3.829313868
-13.15037594	1.20754397	1.514134765	1.253896175	4.153947886	3.819641
-13.10526316	1.2043987	1.510300367	1.253987044	4.143128168	3.809968132
-13.06015038	1.201253431	1.506465968	1.25407839	4.132308449	3.800295264
-13.01503759	1.198108161	1.50263157	1.254170214	4.121488731	3.790622396
-12.96992481	1.194962892	1.498797171	1.254262523	4.110669013	3.780949528
-12.92481203	1.191817622	1.494962773	1.254355318	4.099849294	3.77127666
-12.87969925	1.188672353	1.491128374	1.254448604	4.089029576	3.761603792
-12.83458647	1.185527083	1.487293976	1.254542386	4.078209858	3.751930924
-12.78947368	1.182381814	1.483459577	1.254636666	4.067390139	3.742258056
-12.7443609	1.179236544	1.479625179	1.25473145	4.056570421	3.732585189
-12.69924812	1.176091275	1.47579078	1.25482674	4.045750703	3.722912321
