# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiBox
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiBox	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-1.05	0.06099299439	0.1038372508	1.702445533	0.2098157305	0.2619456535
-1.04235589	0.0626652703	0.1059671938	1.691003538	0.2155683549	0.2673187667
-1.034711779	0.06433754622	0.1080971367	1.680156349	0.2213209794	0.2726918798
-1.027067669	0.06600982213	0.1102270797	1.669858759	0.2270736039	0.278064993
-1.019423559	0.06768209804	0.1123570226	1.660070032	0.2328262283	0.2834381062
-1.011779449	0.06935437395	0.1144869656	1.650753356	0.2385788528	0.2888112193
-1.004135338	0.07102664987	0.1166169085	1.641875391	0.2443314773	0.2941843325
-0.9964912281	0.07269892578	0.1187468515	1.633405861	0.2500841018	0.2995574456
-0.9888471178	0.07437120169	0.1208767944	1.625317215	0.2558367262	0.3049305588
-0.9812030075	0.0760434776	0.1230067374	1.617584325	0.2615893507	0.3103036719
-0.9735588972	0.07771575352	0.1251366803	1.610184225	0.2673419752	0.3156767851
-0.965914787	0.07938802943	0.1272666233	1.603095885	0.2730945996	0.3210498983
-0.9582706767	0.08106030534	0.1293965662	1.59630001	0.2788472241	0.3264230114
-0.9506265664	0.08273258125	0.1315265092	1.589778866	0.2845998486	0.3317961246
-0.9429824561	0.08440485717	0.1336564522	1.583516123	0.290352473	0.3371692377
-0.9353383459	0.08607713308	0.1357863951	1.57749672	0.2961050975	0.3425423509
-0.9276942356	0.08774940899	0.1379163381	1.571706746	0.301857722	0.347915464
-0.9200501253	0.0894216849	0.140046281	1.566133328	0.3076103465	0.3532885772
-0.912406015	0.09109396082	0.142176224	1.560764541	0.3133629709	0.3586616903
-0.9047619048	0.09276623673	0.1443061669	1.555589318	0.3191155954	0.3640348035
-0.8971177945	0.09443851264	0.1464361099	1.550597376	0.3248682199	0.3694079167
-0.8894736842	0.09611078855	0.1485660528	1.545779148	0.3306208443	0.3747810298
-0.8818295739	0.09778306447	0.1506959958	1.541125721	0.3363734688	0.380154143
-0.8741854637	0.09945534038	0.1528259387	1.536628784	0.3421260933	0.3855272561
-0.8665413534	0.1011276163	0.1549558817	1.532280571	0.3478787178	0.3909003693
-0.8588972431	0.1027998922	0.1570858246	1.528073826	0.3536313422	0.3962734824
-0.8512531328	0.1044721681	0.1592157676	1.524001755	0.3593839667	0.4016465956
-0.8436090226	0.106144444	0.1613457105	1.520057993	0.3651365912	0.4070197087
-0.8359649123	0.1078167199	0.1634756535	1.516236569	0.3708892156	0.4123928219
-0.828320802	0.1094889959	0.1656055964	1.512531877	0.3766418401	0.4177659351
-0.8206766917	0.1111612718	0.1677355394	1.50893865	0.3823944646	0.4231390482
-0.8130325815	0.1128335477	0.1698654823	1.505451932	0.3881470891	0.4285121614
-0.8053884712	0.1145058236	0.1719954253	1.502067056	0.3938997135	0.4338852745
-0.7977443609	0.1161780995	0.1741253682	1.498779624	0.399652338	0.4392583877
-0.7901002506	0.1178503754	0.1762553112	1.495585488	0.4054049625	0.4446315008
-0.7824561404	0.1195226513	0.1783852541	1.492480732	0.4111575869	0.450004614
-0.7748120301	0.1211949272	0.1805151971	1.489461657	0.4169102114	0.4553777272
-0.7671679198	0.1228672032	0.18264514	1.486524763	0.4226628359	0.4607508403
-0.7595238095	0.1245394791	0.184775083	1.483666741	0.4284154604	0.4661239535
-0.7518796992	0.126211755	0.1869050259	1.480884455	0.4341680848	0.4714970666
-0.744235589	0.1278840309	0.1890349689	1.478174934	0.4399207093	0.4768701798
-0.7365914787	0.1295563068	0.1911649118	1.47553536	0.4456733338	0.4822432929
-0.7289473684	0.1312285827	0.1932948548	1.47296306	0.4514259582	0.4876164061
-0.7213032581	0.1329008586	0.1954247978	1.470455494	0.4571785827	0.4929895192
-0.7136591479	0.1345731345	0.1975547407	1.468010249	0.4629312072	0.4983626324
-0.7060150376	0.1362454105	0.1996846837	1.465625029	0.4686838316	0.5037357456
-0.6983709273	0.1379176864	0.2018146266	1.463297652	0.4744364561	0.5091088587
-0.690726817	0.1395899623	0.2039445696	1.461026038	0.4801890806	0.5144819719
-0.6830827068	0.1412622382	0.2060745125	1.458808208	0.4859417051	0.519855085
-0.6754385965	0.1429345141	0.2082044555	1.456642273	0.4916943295	0.5252281982
-0.6677944862	0.14460679	0.2103343984	1.454526433	0.497446954	0.5306013113
-0.6601503759	0.1462790659	0.2124643414	1.45245897	0.5031995785	0.5359744245
-0.6525062657	0.1479513418	0.2145942843	1.450438243	0.5089522029	0.5413475376
