# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.4	0.1195879364	0.1938677702	1.621131496	0.4113821673	0.4890616744
-0.3964912281	0.121088901	0.1956444354	1.615709068	0.4165454816	0.4935435895
-0.3929824561	0.1225898657	0.1974211007	1.610419422	0.4217087959	0.4980255047
-0.3894736842	0.1240908304	0.199197766	1.60525774	0.4268721102	0.5025074198
-0.3859649123	0.1255917951	0.2009744312	1.600219434	0.4320354246	0.5069893349
-0.3824561404	0.1270927598	0.2027510965	1.595300133	0.4371987389	0.5114712501
-0.3789473684	0.1285937245	0.2045277618	1.590495669	0.4423620532	0.5159531652
-0.3754385965	0.1300946891	0.2063044271	1.585802068	0.4475253675	0.5204350803
-0.3719298246	0.1315956538	0.2080810923	1.581215536	0.4526886819	0.5249169955
-0.3684210526	0.1330966185	0.2098577576	1.576732452	0.4578519962	0.5293989106
-0.3649122807	0.1345975832	0.2116344229	1.572349353	0.4630153105	0.5338808257
-0.3614035088	0.1360985479	0.2134110882	1.568062933	0.4681786248	0.5383627409
-0.3578947368	0.1375995126	0.2151877534	1.563870027	0.4733419391	0.542844656
-0.3543859649	0.1391004773	0.2169644187	1.559767608	0.4785052535	0.5473265712
-0.350877193	0.1406014419	0.218741084	1.555752779	0.4836685678	0.5518084863
-0.3473684211	0.1421024066	0.2205177493	1.551822763	0.4888318821	0.5562904014
-0.3438596491	0.1436033713	0.2222944145	1.547974901	0.4939951964	0.5607723166
-0.3403508772	0.145104336	0.2240710798	1.544206645	0.4991585108	0.5652542317
-0.3368421053	0.1466053007	0.2258477451	1.540515548	0.5043218251	0.5697361468
-0.3333333333	0.1481062654	0.2276244104	1.536899265	0.5094851394	0.574218062
-0.3298245614	0.14960723	0.2294010756	1.533355544	0.5146484537	0.5786999771
-0.3263157895	0.1511081947	0.2311777409	1.529882223	0.519811768	0.5831818923
-0.3228070175	0.1526091594	0.2329544062	1.526477225	0.5249750824	0.5876638074
-0.3192982456	0.1541101241	0.2347310714	1.523138553	0.5301383967	0.5921457225
-0.3157894737	0.1556110888	0.2365077367	1.519864289	0.535301711	0.5966276377
-0.3122807018	0.1571120535	0.238284402	1.516652585	0.5404650253	0.6011095528
-0.3087719298	0.1586130181	0.2400610673	1.513501666	0.5456283397	0.6055914679
-0.3052631579	0.1601139828	0.2418377325	1.510409824	0.550791654	0.6100733831
-0.301754386	0.1616149475	0.2436143978	1.50737541	0.5559549683	0.6145552982
-0.298245614	0.1631159122	0.2453910631	1.504396841	0.5611182826	0.6190372134
-0.2947368421	0.1646168769	0.2471677284	1.501472589	0.5662815969	0.6235191285
-0.2912280702	0.1661178416	0.2489443936	1.498601182	0.5714449113	0.6280010436
-0.2877192982	0.1676188062	0.2507210589	1.495781199	0.5766082256	0.6324829588
-0.2842105263	0.1691197709	0.2524977242	1.493011271	0.5817715399	0.6369648739
-0.2807017544	0.1706207356	0.2542743895	1.490290078	0.5869348542	0.641446789
-0.2771929825	0.1721217003	0.2560510547	1.487616345	0.5920981686	0.6459287042
-0.2736842105	0.173622665	0.25782772	1.484988841	0.5972614829	0.6504106193
-0.2701754386	0.1751236297	0.2596043853	1.482406377	0.6024247972	0.6548925344
-0.2666666667	0.1766245943	0.2613810506	1.479867804	0.6075881115	0.6593744496
-0.2631578947	0.178125559	0.2631577158	1.477372014	0.6127514258	0.6638563647
