# VHH-NNLO SMEFT grid scan points
# process: ZHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	-1	0.9087250846	1.164995499	1.282010939	3.126011755	2.938882771
-15	-0.9487179487	0.9306622608	1.190962146	1.279693177	3.201475579	3.004387684
-15	-0.8974358974	0.9525994369	1.216928792	1.277482166	3.276939404	3.069892598
-15	-0.8461538462	0.9745366131	1.242895438	1.275370696	3.352403229	3.135397511
-15	-0.7948717949	0.9964737892	1.268862084	1.273352193	3.427867053	3.200902425
-15	-0.7435897436	1.018410965	1.294828731	1.271420649	3.503330878	3.266407338
-15	-0.6923076923	1.040348142	1.320795377	1.269570564	3.578794703	3.331912252
-15	-0.641025641	1.062285318	1.346762023	1.267796891	3.654258528	3.397417166
-15	-0.5897435897	1.084222494	1.37272867	1.266094992	3.729722352	3.462922079
-15	-0.5384615385	1.10615967	1.398695316	1.264460596	3.805186177	3.528426993
-15	-0.4871794872	1.128096846	1.424661962	1.262889766	3.880650002	3.593931906
-15	-0.4358974359	1.150034022	1.450628609	1.261378864	3.956113826	3.65943682
-15	-0.3846153846	1.171971198	1.476595255	1.259924525	4.031577651	3.724941733
-15	-0.3333333333	1.193908375	1.502561901	1.25852363	4.107041476	3.790446647
-15	-0.2820512821	1.215845551	1.528528548	1.257173287	4.182505301	3.85595156
-15	-0.2307692308	1.237782727	1.554495194	1.255870808	4.257969125	3.921456474
-15	-0.1794871795	1.259719903	1.58046184	1.254613693	4.33343295	3.986961387
-15	-0.1282051282	1.281657079	1.606428487	1.253399613	4.408896775	4.052466301
-15	-0.07692307692	1.303594255	1.632395133	1.252226393	4.484360599	4.117971214
-15	-0.02564102564	1.325531431	1.658361779	1.251092007	4.559824424	4.183476128
-15	0.02564102564	1.347468608	1.684328425	1.249994557	4.635288249	4.248981042
-15	0.07692307692	1.369405784	1.710295072	1.248932268	4.710752073	4.314485955
-15	0.1282051282	1.39134296	1.736261718	1.247903478	4.786215898	4.379990869
-15	0.1794871795	1.413280136	1.762228364	1.246906625	4.861679723	4.445495782
-15	0.2307692308	1.435217312	1.788195011	1.245940246	4.937143548	4.511000696
-15	0.2820512821	1.457154488	1.814161657	1.245002964	5.012607372	4.576505609
-15	0.3333333333	1.479091664	1.840128303	1.244093485	5.088071197	4.642010523
-15	0.3846153846	1.501028841	1.86609495	1.243210589	5.163535022	4.707515436
-15	0.4358974359	1.522966017	1.892061596	1.242353129	5.238998846	4.77302035
-15	0.4871794872	1.544903193	1.918028242	1.24152002	5.314462671	4.838525263
-15	0.5384615385	1.566840369	1.943994889	1.240710239	5.389926496	4.904030177
-15	0.5897435897	1.588777545	1.969961535	1.23992282	5.465390321	4.969535091
-15	0.641025641	1.610714721	1.995928181	1.239156851	5.540854145	5.035040004
-15	0.6923076923	1.632651897	2.021894827	1.238411465	5.61631797	5.100544918
-15	0.7435897436	1.654589074	2.047861474	1.237685844	5.691781795	5.166049831
-15	0.7948717949	1.67652625	2.07382812	1.236979212	5.767245619	5.231554745
-15	0.8461538462	1.698463426	2.099794766	1.236290835	5.842709444	5.297059658
-15	0.8974358974	1.720400602	2.125761413	1.235620012	5.918173269	5.362564572
-15	0.9487179487	1.742337778	2.151728059	1.234966082	5.993637093	5.428069485
-15	1	1.764274954	2.177694705	1.234328413	6.069100918	5.493574399
-14.48717949	-1	0.8729711664	1.121407893	1.284587551	3.003018376	2.828926238
-14.48717949	-0.9487179487	0.8949083425	1.147374539	1.282114027	3.0784822	2.894431151
-14.48717949	-0.8974358974	0.9168455187	1.173341185	1.27975887	3.153946025	2.959936065
-14.48717949	-0.8461538462	0.9387826948	1.199307832	1.277513783	3.22940985	3.025440979
-14.48717949	-0.7948717949	0.960719871	1.225274478	1.275371224	3.304873674	3.090945892
-14.48717949	-0.7435897436	0.9826570471	1.251241124	1.273324328	3.380337499	3.156450806
-14.48717949	-0.6923076923	1.004594223	1.277207771	1.271366828	3.455801324	3.221955719
-14.48717949	-0.641025641	1.026531399	1.303174417	1.269492991	3.531265149	3.287460633
-14.48717949	-0.5897435897	1.048468576	1.329141063	1.267697568	3.606728973	3.352965546
-14.48717949	-0.5384615385	1.070405752	1.355107709	1.265975736	3.682192798	3.41847046
-14.48717949	-0.4871794872	1.092342928	1.381074356	1.264323062	3.757656623	3.483975373
-14.48717949	-0.4358974359	1.114280104	1.407041002	1.262735462	3.833120447	3.549480287
-14.48717949	-0.3846153846	1.13621728	1.433007648	1.261209166	3.908584272	3.6149852
-14.48717949	-0.3333333333	1.158154456	1.458974295	1.259740691	3.984048097	3.680490114
-14.48717949	-0.2820512821	1.180091632	1.484940941	1.258326811	4.059511921	3.745995027
