# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: tphi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
tphi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	0.2906979103	0.4559232553	1.568374726	1	1.15013749
-14.94987469	0.2906979103	0.4557243726	1.56769057	1	1.149635778
-14.89974937	0.2906979103	0.4555254899	1.567006414	1	1.149134065
-14.84962406	0.2906979103	0.4553266072	1.566322258	1	1.148632353
-14.79949875	0.2906979103	0.4551277246	1.565638102	1	1.14813064
-14.74937343	0.2906979103	0.4549288419	1.564953946	1	1.147628927
-14.69924812	0.2906979103	0.4547299592	1.56426979	1	1.147127215
-14.64912281	0.2906979103	0.4545310765	1.563585634	1	1.146625502
-14.59899749	0.2906979103	0.4543321938	1.562901478	1	1.14612379
-14.54887218	0.2906979103	0.4541333111	1.562217323	1	1.145622077
-14.49874687	0.2906979103	0.4539344284	1.561533167	1	1.145120365
-14.44862155	0.2906979103	0.4537355457	1.560849011	1	1.144618652
-14.39849624	0.2906979103	0.4535366631	1.560164855	1	1.144116939
-14.34837093	0.2906979103	0.4533377804	1.559480699	1	1.143615227
-14.29824561	0.2906979103	0.4531388977	1.558796543	1	1.143113514
-14.2481203	0.2906979103	0.452940015	1.558112387	1	1.142611802
-14.19799499	0.2906979103	0.4527411323	1.557428231	1	1.142110089
-14.14786967	0.2906979103	0.4525422496	1.556744076	1	1.141608376
-14.09774436	0.2906979103	0.4523433669	1.55605992	1	1.141106664
-14.04761905	0.2906979103	0.4521444843	1.555375764	1	1.140604951
-13.99749373	0.2906979103	0.4519456016	1.554691608	1	1.140103239
-13.94736842	0.2906979103	0.4517467189	1.554007452	1	1.139601526
-13.89724311	0.2906979103	0.4515478362	1.553323296	1	1.139099814
-13.84711779	0.2906979103	0.4513489535	1.55263914	1	1.138598101
-13.79699248	0.2906979103	0.4511500708	1.551954984	1	1.138096388
-13.74686717	0.2906979103	0.4509511881	1.551270828	1	1.137594676
-13.69674185	0.2906979103	0.4507523054	1.550586673	1	1.137092963
-13.64661654	0.2906979103	0.4505534228	1.549902517	1	1.136591251
-13.59649123	0.2906979103	0.4503545401	1.549218361	1	1.136089538
-13.54636591	0.2906979103	0.4501556574	1.548534205	1	1.135587825
-13.4962406	0.2906979103	0.4499567747	1.547850049	1	1.135086113
-13.44611529	0.2906979103	0.449757892	1.547165893	1	1.1345844
-13.39598997	0.2906979103	0.4495590093	1.546481737	1	1.134082688
-13.34586466	0.2906979103	0.4493601266	1.545797581	1	1.133580975
-13.29573935	0.2906979103	0.449161244	1.545113425	1	1.133079263
-13.24561404	0.2906979103	0.4489623613	1.54442927	1	1.13257755
-13.19548872	0.2906979103	0.4487634786	1.543745114	1	1.132075837
-13.14536341	0.2906979103	0.4485645959	1.543060958	1	1.131574125
-13.0952381	0.2906979103	0.4483657132	1.542376802	1	1.131072412
-13.04511278	0.2906979103	0.4481668305	1.541692646	1	1.1305707
-12.99498747	0.2906979103	0.4479679478	1.54100849	1	1.130068987
-12.94486216	0.2906979103	0.4477690652	1.540324334	1	1.129567274
-12.89473684	0.2906979103	0.4475701825	1.539640178	1	1.129065562
-12.84461153	0.2906979103	0.4473712998	1.538956022	1	1.128563849
