# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiBox
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiBox	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.2	0.246944593	0.3406799236	1.379580413	0.8494887106	0.8594182197
-0.1969924812	0.2476025376	0.341517934	1.379299006	0.8517520382	0.8615322315
-0.1939849624	0.2482604822	0.3423559443	1.37901909	0.8540153659	0.8636462432
-0.1909774436	0.2489184268	0.3431939547	1.378740654	0.8562786935	0.8657602549
-0.1879699248	0.2495763715	0.344031965	1.378463686	0.8585420212	0.8678742667
-0.184962406	0.2502343161	0.3448699754	1.378188175	0.8608053489	0.8699882784
-0.1819548872	0.2508922607	0.3457079857	1.377914108	0.8630686765	0.8721022901
-0.1789473684	0.2515502053	0.346545996	1.377641475	0.8653320042	0.8742163019
-0.1759398496	0.25220815	0.3473840064	1.377370265	0.8675953318	0.8763303136
-0.1729323308	0.2528660946	0.3482220167	1.377100466	0.8698586595	0.8784443253
-0.169924812	0.2535240392	0.3490600271	1.376832068	0.8721219872	0.8805583371
-0.1669172932	0.2541819838	0.3498980374	1.376565058	0.8743853148	0.8826723488
-0.1639097744	0.2548399284	0.3507360477	1.376299428	0.8766486425	0.8847863605
-0.1609022556	0.2554978731	0.3515740581	1.376035166	0.8789119702	0.8869003723
-0.1578947368	0.2561558177	0.3524120684	1.375772261	0.8811752978	0.889014384
-0.154887218	0.2568137623	0.3532500788	1.375510703	0.8834386255	0.8911283957
-0.1518796992	0.2574717069	0.3540880891	1.375250482	0.8857019531	0.8932424075
-0.1488721805	0.2581296515	0.3549260995	1.374991588	0.8879652808	0.8953564192
-0.1458646617	0.2587875962	0.3557641098	1.37473401	0.8902286085	0.8974704309
-0.1428571429	0.2594455408	0.3566021201	1.374477738	0.8924919361	0.8995844427
-0.1398496241	0.2601034854	0.3574401305	1.374222763	0.8947552638	0.9016984544
-0.1368421053	0.26076143	0.3582781408	1.373969075	0.8970185914	0.9038124661
-0.1338345865	0.2614193747	0.3591161512	1.373716664	0.8992819191	0.9059264779
-0.1308270677	0.2620773193	0.3599541615	1.37346552	0.9015452468	0.9080404896
-0.1278195489	0.2627352639	0.3607921718	1.373215633	0.9038085744	0.9101545013
-0.1248120301	0.2633932085	0.3616301822	1.372966996	0.9060719021	0.9122685131
-0.1218045113	0.2640511531	0.3624681925	1.372719597	0.9083352297	0.9143825248
-0.1187969925	0.2647090978	0.3633062029	1.372473428	0.9105985574	0.9164965365
-0.1157894737	0.2653670424	0.3641442132	1.37222848	0.9128618851	0.9186105483
-0.1127819549	0.266024987	0.3649822236	1.371984743	0.9151252127	0.92072456
-0.1097744361	0.2666829316	0.3658202339	1.37174221	0.9173885404	0.9228385717
-0.1067669173	0.2673408762	0.3666582442	1.37150087	0.919651868	0.9249525835
-0.1037593985	0.2679988209	0.3674962546	1.371260714	0.9219151957	0.9270665952
-0.1007518797	0.2686567655	0.3683342649	1.371021736	0.9241785234	0.9291806069
-0.0977443609	0.2693147101	0.3691722753	1.370783925	0.926441851	0.9312946187
-0.09473684211	0.2699726547	0.3700102856	1.370547273	0.9287051787	0.9334086304
-0.09172932331	0.2706305994	0.3708482959	1.370311771	0.9309685063	0.9355226421
-0.08872180451	0.271288544	0.3716863063	1.370077412	0.933231834	0.9376366539
-0.08571428571	0.2719464886	0.3725243166	1.369844187	0.9354951617	0.9397506656
-0.08270676692	0.2726044332	0.373362327	1.369612088	0.9377584893	0.9418646773
-0.07969924812	0.2732623778	0.3742003373	1.369381106	0.940021817	0.9439786891
-0.07669172932	0.2739203225	0.3750383477	1.369151235	0.9422851447	0.9460927008
-0.07368421053	0.2745782671	0.375876358	1.368922464	0.9445484723	0.9482067125
-0.07067669173	0.2752362117	0.3767143683	1.368694788	0.9468118	0.9503207243
-0.06766917293	0.2758941563	0.3775523787	1.368468197	0.9490751276	0.952434736
-0.06466165414	0.2765521009	0.378390389	1.368242685	0.9513384553	0.9545487477
-0.06165413534	0.2772100456	0.3792283994	1.368018243	0.953601783	0.9566627595
-0.05864661654	0.2778679902	0.3800664097	1.367794863	0.9558651106	0.9587767712
-0.05563909774	0.2785259348	0.38090442	1.36757254	0.9581284383	0.9608907829
-0.05263157895	0.2791838794	0.3817424304	1.367351264	0.9603917659	0.9630047947
-0.04962406015	0.2798418241	0.3825804407	1.367131028	0.9626550936	0.9651188064
-0.04661654135	0.2804997687	0.3834184511	1.366911826	0.9649184213	0.9672328181
-0.04360902256	0.2811577133	0.3842564614	1.36669365	0.9671817489	0.9693468299
-0.04060150376	0.2818156579	0.3850944718	1.366476492	0.9694450766	0.9714608416
-0.03759398496	0.2824736025	0.3859324821	1.366260347	0.9717084042	0.9735748533
-0.03458646617	0.2831315472	0.3867704924	1.366045205	0.9739717319	0.9756888651
-0.03157894737	0.2837894918	0.3876085028	1.365831061	0.9762350596	0.9778028768
-0.02857142857	0.2844474364	0.3884465131	1.365617908	0.9784983872	0.9799168885
-0.02556390977	0.285105381	0.3892845235	1.365405739	0.9807617149	0.9820309003
-0.02255639098	0.2857633256	0.3901225338	1.365194547	0.9830250425	0.984144912
-0.01954887218	0.2864212703	0.3909605441	1.364984325	0.9852883702	0.9862589237
-0.01654135338	0.2870792149	0.3917985545	1.364775066	0.9875516979	0.9883729355
-0.01353383459	0.2877371595	0.3926365648	1.364566765	0.9898150255	0.9904869472
-0.01052631579	0.2883951041	0.3934745752	1.364359414	0.9920783532	0.9926009589
-0.007518796992	0.2890530487	0.3943125855	1.364153007	0.9943416808	0.9947149707
-0.004511278195	0.2897109934	0.3951505959	1.363947537	0.9966050085	0.9968289824
-0.001503759398	0.290368938	0.3959886062	1.363742999	0.9988683362	0.9989429941
0.001503759398	0.2910268826	0.3968266165	1.363539385	1.001131664	1.001057006
0.004511278195	0.2916848272	0.3976646269	1.36333669	1.003394991	1.003171018
0.007518796992	0.2923427719	0.3985026372	1.363134907	1.005658319	1.005285029
0.01052631579	0.2930007165	0.3993406476	1.362934031	1.007921647	1.007399041
0.01353383459	0.2936586611	0.4001786579	1.362734055	1.010184974	1.009513053
0.01654135338	0.2943166057	0.4010166682	1.362534972	1.012448302	1.011627065
0.01954887218	0.2949745503	0.4018546786	1.362336778	1.01471163	1.013741076
0.02255639098	0.295632495	0.4026926889	1.362139466	1.016974957	1.015855088
0.02556390977	0.2962904396	0.4035306993	1.361943031	1.019238285	1.0179691
0.02857142857	0.2969483842	0.4043687096	1.361747466	1.021501613	1.020083111
0.03157894737	0.2976063288	0.40520672	1.361552765	1.02376494	1.022197123
0.03458646617	0.2982642734	0.4060447303	1.361358924	1.026028268	1.024311135
0.03759398496	0.2989222181	0.4068827406	1.361165936	1.028291596	1.026425147
0.04060150376	0.2995801627	0.407720751	1.360973795	1.030554923	1.028539158
0.04360902256	0.3002381073	0.4085587613	1.360782497	1.032818251	1.03065317
0.04661654135	0.3008960519	0.4093967717	1.360592035	1.035081579	1.032767182
0.04962406015	0.3015539966	0.410234782	1.360402405	1.037344906	1.034881194
0.05263157895	0.3022119412	0.4110727923	1.3602136	1.039608234	1.036995205
0.05563909774	0.3028698858	0.4119108027	1.360025615	1.041871562	1.039109217
0.05864661654	0.3035278304	0.412748813	1.359838445	1.044134889	1.041223229
0.06165413534	0.304185775	0.4135868234	1.359652085	1.046398217	1.043337241
0.06466165414	0.3048437197	0.4144248337	1.35946653	1.048661545	1.045451252
0.06766917293	0.3055016643	0.4152628441	1.359281774	1.050924872	1.047565264
0.07067669173	0.3061596089	0.4161008544	1.359097811	1.0531882	1.049679276
0.07368421053	0.3068175535	0.4169388647	1.358914638	1.055451528	1.051793287
0.07669172932	0.3074754981	0.4177768751	1.358732249	1.057714855	1.053907299
0.07969924812	0.3081334428	0.4186148854	1.358550639	1.059978183	1.056021311
0.08270676692	0.3087913874	0.4194528958	1.358369802	1.062241511	1.058135323
0.08571428571	0.309449332	0.4202909061	1.358189735	1.064504838	1.060249334
0.08872180451	0.3101072766	0.4211289164	1.358010431	1.066768166	1.062363346
0.09172932331	0.3107652213	0.4219669268	1.357831887	1.069031494	1.064477358
0.09473684211	0.3114231659	0.4228049371	1.357654097	1.071294821	1.06659137
0.0977443609	0.3120811105	0.4236429475	1.357477057	1.073558149	1.068705381
0.1007518797	0.3127390551	0.4244809578	1.357300762	1.075821477	1.070819393
0.1037593985	0.3133969997	0.4253189682	1.357125207	1.078084804	1.072933405
0.1067669173	0.3140549444	0.4261569785	1.356950388	1.080348132	1.075047417
0.1097744361	0.314712889	0.4269949888	1.356776299	1.08261146	1.077161428
0.1127819549	0.3153708336	0.4278329992	1.356602937	1.084874787	1.07927544
0.1157894737	0.3160287782	0.4286710095	1.356430297	1.087138115	1.081389452
