# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.2	0.2880020025	0.3928023171	1.363887451	0.9907260847	0.9909050832
-0.1969924812	0.2880425425	0.3928565321	1.363883712	0.9908655421	0.9910418489
-0.1939849624	0.2880830824	0.392910747	1.363879974	0.9910049994	0.9911786145
-0.1909774436	0.2881236224	0.392964962	1.363876237	0.9911444568	0.9913153802
-0.1879699248	0.2881641624	0.3930191769	1.363872501	0.9912839142	0.9914521459
-0.184962406	0.2882047023	0.3930733919	1.363868767	0.9914233716	0.9915889115
-0.1819548872	0.2882452423	0.3931276068	1.363865033	0.9915628289	0.9917256772
-0.1789473684	0.2882857823	0.3931818218	1.3638613	0.9917022863	0.9918624429
-0.1759398496	0.2883263222	0.3932360367	1.363857568	0.9918417437	0.9919992085
-0.1729323308	0.2883668622	0.3932902517	1.363853838	0.9919812011	0.9921359742
-0.169924812	0.2884074022	0.3933444666	1.363850108	0.9921206584	0.9922727399
-0.1669172932	0.2884479421	0.3933986816	1.36384638	0.9922601158	0.9924095055
-0.1639097744	0.2884884821	0.3934528965	1.363842652	0.9923995732	0.9925462712
-0.1609022556	0.2885290221	0.3935071115	1.363838926	0.9925390305	0.9926830369
-0.1578947368	0.288569562	0.3935613264	1.3638352	0.9926784879	0.9928198025
-0.154887218	0.288610102	0.3936155414	1.363831476	0.9928179453	0.9929565682
-0.1518796992	0.288650642	0.3936697563	1.363827753	0.9929574027	0.9930933339
-0.1488721805	0.2886911819	0.3937239713	1.36382403	0.99309686	0.9932300995
-0.1458646617	0.2887317219	0.3937781862	1.363820309	0.9932363174	0.9933668652
-0.1428571429	0.2887722619	0.3938324012	1.363816589	0.9933757748	0.9935036309
-0.1398496241	0.2888128018	0.3938866161	1.36381287	0.9935152322	0.9936403965
-0.1368421053	0.2888533418	0.3939408311	1.363809152	0.9936546895	0.9937771622
-0.1338345865	0.2888938818	0.393995046	1.363805435	0.9937941469	0.9939139279
-0.1308270677	0.2889344217	0.394049261	1.363801719	0.9939336043	0.9940506935
-0.1278195489	0.2889749617	0.3941034759	1.363798004	0.9940730616	0.9941874592
-0.1248120301	0.2890155017	0.3941576909	1.36379429	0.994212519	0.9943242249
-0.1218045113	0.2890560416	0.3942119059	1.363790577	0.9943519764	0.9944609905
-0.1187969925	0.2890965816	0.3942661208	1.363786865	0.9944914338	0.9945977562
-0.1157894737	0.2891371216	0.3943203358	1.363783155	0.9946308911	0.9947345219
-0.1127819549	0.2891776615	0.3943745507	1.363779445	0.9947703485	0.9948712875
-0.1097744361	0.2892182015	0.3944287657	1.363775736	0.9949098059	0.9950080532
-0.1067669173	0.2892587415	0.3944829806	1.363772028	0.9950492633	0.9951448189
-0.1037593985	0.2892992814	0.3945371956	1.363768322	0.9951887206	0.9952815845
-0.1007518797	0.2893398214	0.3945914105	1.363764616	0.995328178	0.9954183502
-0.0977443609	0.2893803614	0.3946456255	1.363760912	0.9954676354	0.9955551159
-0.09473684211	0.2894209013	0.3946998404	1.363757208	0.9956070927	0.9956918815
-0.09172932331	0.2894614413	0.3947540554	1.363753506	0.9957465501	0.9958286472
-0.08872180451	0.2895019813	0.3948082703	1.363749804	0.9958860075	0.9959654128
-0.08571428571	0.2895425212	0.3948624853	1.363746104	0.9960254649	0.9961021785
-0.08270676692	0.2895830612	0.3949167002	1.363742405	0.9961649222	0.9962389442
-0.07969924812	0.2896236012	0.3949709152	1.363738706	0.9963043796	0.9963757098
-0.07669172932	0.2896641411	0.3950251301	1.363735009	0.996443837	0.9965124755
-0.07368421053	0.2897046811	0.3950793451	1.363731313	0.9965832944	0.9966492412
-0.07067669173	0.2897452211	0.39513356	1.363727617	0.9967227517	0.9967860068
