# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiBox
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiBox	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.2	0.259507202	0.3586789719	1.38215421	0.8494255687	0.8595701016
-0.1969924812	0.2601989592	0.3595601477	1.381866203	0.8516898459	0.8616818294
-0.1939849624	0.2608907163	0.3604413234	1.381579722	0.8539541231	0.8637935572
-0.1909774436	0.2615824735	0.3613224992	1.381294757	0.8562184002	0.865905285
-0.1879699248	0.2622742307	0.362203675	1.381011295	0.8584826774	0.8680170128
-0.184962406	0.2629659879	0.3630848508	1.380729324	0.8607469545	0.8701287406
-0.1819548872	0.263657745	0.3639660266	1.380448833	0.8630112317	0.8722404684
-0.1789473684	0.2643495022	0.3648472023	1.38016981	0.8652755089	0.8743521962
-0.1759398496	0.2650412594	0.3657283781	1.379892244	0.867539786	0.876463924
-0.1729323308	0.2657330166	0.3666095539	1.379616122	0.8698040632	0.8785756518
-0.169924812	0.2664247737	0.3674907297	1.379341435	0.8720683404	0.8806873796
-0.1669172932	0.2671165309	0.3683719055	1.37906817	0.8743326175	0.8827991074
-0.1639097744	0.2678082881	0.3692530812	1.378796317	0.8765968947	0.8849108352
-0.1609022556	0.2685000453	0.370134257	1.378525865	0.8788611718	0.8870225629
-0.1578947368	0.2691918024	0.3710154328	1.378256802	0.881125449	0.8891342907
-0.154887218	0.2698835596	0.3718966086	1.377989119	0.8833897262	0.8912460185
-0.1518796992	0.2705753168	0.3727777844	1.377722805	0.8856540033	0.8933577463
-0.1488721805	0.271267074	0.3736589601	1.377457849	0.8879182805	0.8954694741
-0.1458646617	0.2719588311	0.3745401359	1.377194241	0.8901825576	0.8975812019
-0.1428571429	0.2726505883	0.3754213117	1.37693197	0.8924468348	0.8996929297
-0.1398496241	0.2733423455	0.3763024875	1.376671027	0.894711112	0.9018046575
-0.1368421053	0.2740341027	0.3771836632	1.376411401	0.8969753891	0.9039163853
-0.1338345865	0.2747258598	0.378064839	1.376153083	0.8992396663	0.9060281131
-0.1308270677	0.275417617	0.3789460148	1.375896063	0.9015039435	0.9081398409
-0.1278195489	0.2761093742	0.3798271906	1.37564033	0.9037682206	0.9102515687
-0.1248120301	0.2768011313	0.3807083664	1.375385875	0.9060324978	0.9123632965
-0.1218045113	0.2774928885	0.3815895421	1.37513269	0.9082967749	0.9144750243
-0.1187969925	0.2781846457	0.3824707179	1.374880763	0.9105610521	0.9165867521
-0.1157894737	0.2788764029	0.3833518937	1.374630086	0.9128253293	0.9186984799
-0.1127819549	0.27956816	0.3842330695	1.37438065	0.9150896064	0.9208102077
-0.1097744361	0.2802599172	0.3851142453	1.374132445	0.9173538836	0.9229219355
-0.1067669173	0.2809516744	0.385995421	1.373885462	0.9196181608	0.9250336633
-0.1037593985	0.2816434316	0.3868765968	1.373639693	0.9218824379	0.9271453911
-0.1007518797	0.2823351887	0.3877577726	1.373395128	0.9241467151	0.9292571189
-0.0977443609	0.2830269459	0.3886389484	1.373151758	0.9264109922	0.9313688467
-0.09473684211	0.2837187031	0.3895201242	1.372909575	0.9286752694	0.9334805744
-0.09172932331	0.2844104603	0.3904012999	1.372668571	0.9309395466	0.9355923022
-0.08872180451	0.2851022174	0.3912824757	1.372428735	0.9332038237	0.93770403
-0.08571428571	0.2857939746	0.3921636515	1.372190061	0.9354681009	0.9398157578
