# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.2	0.3026645336	0.413469909	1.366099635	0.9906892433	0.990875963
-0.1969924812	0.3027073083	0.4135271609	1.366095728	0.9908292547	0.9910131666
-0.1939849624	0.3027500831	0.4135844128	1.366091823	0.990969266	0.9911503701
-0.1909774436	0.3027928578	0.4136416647	1.366087918	0.9911092774	0.9912875737
-0.1879699248	0.3028356326	0.4136989166	1.366084014	0.9912492888	0.9914247773
-0.184962406	0.3028784073	0.4137561685	1.366080112	0.9913893002	0.9915619808
-0.1819548872	0.302921182	0.4138134205	1.366076211	0.9915293116	0.9916991844
-0.1789473684	0.3029639568	0.4138706724	1.36607231	0.9916693229	0.991836388
-0.1759398496	0.3030067315	0.4139279243	1.366068411	0.9918093343	0.9919735915
-0.1729323308	0.3030495063	0.4139851762	1.366064513	0.9919493457	0.9921107951
-0.169924812	0.303092281	0.4140424281	1.366060616	0.9920893571	0.9922479987
-0.1669172932	0.3031350558	0.41409968	1.36605672	0.9922293685	0.9923852022
-0.1639097744	0.3031778305	0.4141569319	1.366052825	0.9923693798	0.9925224058
-0.1609022556	0.3032206053	0.4142141839	1.366048932	0.9925093912	0.9926596093
-0.1578947368	0.30326338	0.4142714358	1.366045039	0.9926494026	0.9927968129
-0.154887218	0.3033061547	0.4143286877	1.366041148	0.992789414	0.9929340165
-0.1518796992	0.3033489295	0.4143859396	1.366037257	0.9929294253	0.99307122
-0.1488721805	0.3033917042	0.4144431915	1.366033368	0.9930694367	0.9932084236
-0.1458646617	0.303434479	0.4145004434	1.36602948	0.9932094481	0.9933456272
-0.1428571429	0.3034772537	0.4145576953	1.366025593	0.9933494595	0.9934828307
-0.1398496241	0.3035200285	0.4146149472	1.366021707	0.9934894709	0.9936200343
-0.1368421053	0.3035628032	0.4146721992	1.366017822	0.9936294822	0.9937572379
-0.1338345865	0.303605578	0.4147294511	1.366013938	0.9937694936	0.9938944414
-0.1308270677	0.3036483527	0.414786703	1.366010055	0.993909505	0.994031645
-0.1278195489	0.3036911274	0.4148439549	1.366006173	0.9940495164	0.9941688485
-0.1248120301	0.3037339022	0.4149012068	1.366002293	0.9941895278	0.9943060521
-0.1218045113	0.3037766769	0.4149584587	1.365998413	0.9943295391	0.9944432557
-0.1187969925	0.3038194517	0.4150157106	1.365994535	0.9944695505	0.9945804592
-0.1157894737	0.3038622264	0.4150729626	1.365990658	0.9946095619	0.9947176628
-0.1127819549	0.3039050012	0.4151302145	1.365986782	0.9947495733	0.9948548664
-0.1097744361	0.3039477759	0.4151874664	1.365982907	0.9948895847	0.9949920699
-0.1067669173	0.3039905506	0.4152447183	1.365979033	0.995029596	0.9951292735
-0.1037593985	0.3040333254	0.4153019702	1.36597516	0.9951696074	0.9952664771
-0.1007518797	0.3040761001	0.4153592221	1.365971288	0.9953096188	0.9954036806
-0.0977443609	0.3041188749	0.415416474	1.365967417	0.9954496302	0.9955408842
-0.09473684211	0.3041616496	0.415473726	1.365963548	0.9955896416	0.9956780877
-0.09172932331	0.3042044244	0.4155309779	1.365959679	0.9957296529	0.9958152913
-0.08872180451	0.3042471991	0.4155882298	1.365955812	0.9958696643	0.9959524949
-0.08571428571	0.3042899739	0.4156454817	1.365951945	0.9960096757	0.9960896984
-0.08270676692	0.3043327486	0.4157027336	1.36594808	0.9961496871	0.996226902
-0.07969924812	0.3043755233	0.4157599855	1.365944216	0.9962896985	0.9963641056
-0.07669172932	0.3044182981	0.4158172374	1.365940353	0.9964297098	0.9965013091
-0.07368421053	0.3044610728	0.4158744893	1.365936491	0.9965697212	0.9966385127
-0.07067669173	0.3045038476	0.4159317413	1.36593263	0.9967097326	0.9967757163
-0.06766917293	0.3045466223	0.4159889932	1.36592877	0.996849744	0.9969129198
-0.06466165414	0.3045893971	0.4160462451	1.365924911	0.9969897553	0.9970501234
-0.06165413534	0.3046321718	0.416103497	1.365921053	0.9971297667	0.9971873269
-0.05864661654	0.3046749466	0.4161607489	1.365917197	0.9972697781	0.9973245305
-0.05563909774	0.3047177213	0.4162180008	1.365913341	0.9974097895	0.9974617341
-0.05263157895	0.304760496	0.4162752527	1.365909487	0.9975498009	0.9975989376
-0.04962406015	0.3048032708	0.4163325047	1.365905633	0.9976898122	0.9977361412
-0.04661654135	0.3048460455	0.4163897566	1.365901781	0.9978298236	0.9978733448
-0.04360902256	0.3048888203	0.4164470085	1.36589793	0.997969835	0.9980105483
-0.04060150376	0.304931595	0.4165042604	1.36589408	0.9981098464	0.9981477519
-0.03759398496	0.3049743698	0.4165615123	1.365890231	0.9982498578	0.9982849555
-0.03458646617	0.3050171445	0.4166187642	1.365886383	0.9983898691	0.998422159
-0.03157894737	0.3050599192	0.4166760161	1.365882536	0.9985298805	0.9985593626
