# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.2	0.17773538	0.2661969292	1.497714913	0.5817679626	0.6379379318
-0.1969924812	0.1796567886	0.2684688124	1.49434271	0.5880571662	0.6433824741
-0.1939849624	0.1815781972	0.2707406956	1.491041875	0.5943463698	0.6488270165
-0.1909774436	0.1834996059	0.2730125788	1.487810164	0.6006355734	0.6542715589
-0.1879699248	0.1854210145	0.275284462	1.484645431	0.6069247769	0.6597161013
-0.184962406	0.1873424231	0.2775563451	1.481545613	0.6132139805	0.6651606437
-0.1819548872	0.1892638318	0.2798282283	1.478508734	0.6195031841	0.670605186
-0.1789473684	0.1911852404	0.2821001115	1.475532897	0.6257923876	0.6760497284
-0.1759398496	0.193106649	0.2843719947	1.472616278	0.6320815912	0.6814942708
-0.1729323308	0.1950280577	0.2866438779	1.469757128	0.6383707948	0.6869388132
-0.169924812	0.1969494663	0.2889157611	1.466953765	0.6446599983	0.6923833555
-0.1669172932	0.1988708749	0.2911876443	1.464204572	0.6509492019	0.6978278979
-0.1639097744	0.2007922836	0.2934595275	1.461507994	0.6572384055	0.7032724403
-0.1609022556	0.2027136922	0.2957314106	1.458862534	0.663527609	0.7087169827
-0.1578947368	0.2046351008	0.2980032938	1.456266753	0.6698168126	0.7141615251
-0.154887218	0.2065565094	0.300275177	1.453719265	0.6761060162	0.7196060674
-0.1518796992	0.2084779181	0.3025470602	1.451218733	0.6823952198	0.7250506098
-0.1488721805	0.2103993267	0.3048189434	1.448763873	0.6886844233	0.7304951522
-0.1458646617	0.2123207353	0.3070908266	1.446353443	0.6949736269	0.7359396946
-0.1428571429	0.214242144	0.3093627098	1.443986249	0.7012628305	0.741384237
-0.1398496241	0.2161635526	0.311634593	1.441661137	0.707552034	0.7468287793
-0.1368421053	0.2180849612	0.3139064762	1.439376995	0.7138412376	0.7522733217
-0.1338345865	0.2200063699	0.3161783593	1.43713275	0.7201304412	0.7577178641
-0.1308270677	0.2219277785	0.3184502425	1.434927365	0.7264196447	0.7631624065
-0.1278195489	0.2238491871	0.3207221257	1.432759841	0.7327088483	0.7686069489
-0.1248120301	0.2257705958	0.3229940089	1.430629209	0.7389980519	0.7740514912
-0.1218045113	0.2276920044	0.3252658921	1.428534537	0.7452872554	0.7794960336
-0.1187969925	0.229613413	0.3275377753	1.426474921	0.751576459	0.784940576
-0.1157894737	0.2315348217	0.3298096585	1.424449489	0.7578656626	0.7903851184
-0.1127819549	0.2334562303	0.3320815417	1.422457397	0.7641548662	0.7958296608
-0.1097744361	0.2353776389	0.3343534249	1.420497828	0.7704440697	0.8012742031
-0.1067669173	0.2372990476	0.336625308	1.418569992	0.7767332733	0.8067187455
-0.1037593985	0.2392204562	0.3388971912	1.416673125	0.7830224769	0.8121632879
-0.1007518797	0.2411418648	0.3411690744	1.414806486	0.7893116804	0.8176078303
-0.0977443609	0.2430632735	0.3434409576	1.412969358	0.795600884	0.8230523727
-0.09473684211	0.2449846821	0.3457128408	1.411161048	0.8018900876	0.828496915
-0.09172932331	0.2469060907	0.347984724	1.409380882	0.8081792911	0.8339414574
-0.08872180451	0.2488274994	0.3502566072	1.407628208	0.8144684947	0.8393859998
-0.08571428571	0.250748908	0.3525284904	1.405902395	0.8207576983	0.8448305422
-0.08270676692	0.2526703166	0.3548003735	1.404202829	0.8270469018	0.8502750846
-0.07969924812	0.2545917253	0.3570722567	1.402528917	0.8333361054	0.8557196269
-0.07669172932	0.2565131339	0.3593441399	1.400880081	0.839625309	0.8611641693
-0.07368421053	0.2584345425	0.3616160231	1.399255763	0.8459145126	0.8666087117
-0.07067669173	0.2603559512	0.3638879063	1.39765542	0.8522037161	0.8720532541
-0.06766917293	0.2622773598	0.3661597895	1.396078524	0.8584929197	0.8774977965
-0.06466165414	0.2641987684	0.3684316727	1.394524565	0.8647821233	0.8829423388
-0.06165413534	0.2661201771	0.3707035559	1.392993045	0.8710713268	0.8883868812
-0.05864661654	0.2680415857	0.3729754391	1.391483482	0.8773605304	0.8938314236
-0.05563909774	0.2699629943	0.3752473222	1.389995407	0.883649734	0.899275966
-0.05263157895	0.271884403	0.3775192054	1.388528365	0.8899389375	0.9047205084
-0.04962406015	0.2738058116	0.3797910886	1.387081912	0.8962281411	0.9101650507
