# VHH-NNLO SMEFT grid scan points
# process: ZHH
# energy_tev: 14.0
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-15	-1	0.7641290355	0.9988652902	1.307194523	2.501166579	2.393769377
-15	-0.9487179487	0.796891516	1.037603811	1.302064071	2.608405563	2.486605805
-15	-0.8974358974	0.8296539966	1.076342332	1.297338814	2.715644547	2.579442232
-15	-0.8461538462	0.8624164771	1.115080853	1.292972575	2.82288353	2.67227866
-15	-0.7948717949	0.8951789577	1.153819374	1.288925934	2.930122514	2.765115088
-15	-0.7435897436	0.9279414382	1.192557895	1.28516504	3.037361498	2.857951516
-15	-0.6923076923	0.9607039187	1.231296416	1.281660658	3.144600482	2.950787943
-15	-0.641025641	0.9934663993	1.270034937	1.27838741	3.251839466	3.043624371
-15	-0.5897435897	1.02622888	1.308773458	1.275323161	3.35907845	3.136460799
-15	-0.5384615385	1.05899136	1.34751198	1.272448511	3.466317434	3.229297227
-15	-0.4871794872	1.091753841	1.386250501	1.269746392	3.573556418	3.322133654
-15	-0.4358974359	1.124516321	1.424989022	1.267201724	3.680795402	3.414970082
-15	-0.3846153846	1.157278802	1.463727543	1.264801135	3.788034386	3.50780651
-15	-0.3333333333	1.190041283	1.502466064	1.262532725	3.89527337	3.600642938
-15	-0.2820512821	1.222803763	1.541204585	1.26038587	4.002512354	3.693479366
-15	-0.2307692308	1.255566244	1.579943106	1.258351054	4.109751338	3.786315793
-15	-0.1794871795	1.288328724	1.618681627	1.256419729	4.216990322	3.879152221
-15	-0.1282051282	1.321091205	1.657420148	1.254584197	4.324229306	3.971988649
-15	-0.07692307692	1.353853685	1.696158669	1.252837502	4.431468289	4.064825077
-15	-0.02564102564	1.386616166	1.73489719	1.251173348	4.538707273	4.157661504
-15	0.02564102564	1.419378646	1.773635711	1.249586018	4.645946257	4.250497932
-15	0.07692307692	1.452141127	1.812374232	1.248070314	4.753185241	4.34333436
-15	0.1282051282	1.484903607	1.851112753	1.246621494	4.860424225	4.436170788
-15	0.1794871795	1.517666088	1.889851274	1.245235226	4.967663209	4.529007215
-15	0.2307692308	1.550428568	1.928589795	1.243907545	5.074902193	4.621843643
-15	0.2820512821	1.583191049	1.967328316	1.242634815	5.182141177	4.714680071
-15	0.3333333333	1.61595353	2.006066837	1.241413692	5.289380161	4.807516499
-15	0.3846153846	1.64871601	2.044805358	1.2402411	5.396619145	4.900352926
-15	0.4358974359	1.681478491	2.083543879	1.239114203	5.503858129	4.993189354
-15	0.4871794872	1.714240971	2.1222824	1.23803038	5.611097113	5.086025782
-15	0.5384615385	1.747003452	2.161020921	1.236987207	5.718336097	5.17886221
-15	0.5897435897	1.779765932	2.199759442	1.235982441	5.825575081	5.271698637
-15	0.641025641	1.812528413	2.238497963	1.235013999	5.932814065	5.364535065
-15	0.6923076923	1.845290893	2.277236484	1.234079945	6.040053049	5.457371493
-15	0.7435897436	1.878053374	2.315975005	1.23317848	6.147292032	5.550207921
-15	0.7948717949	1.910815854	2.354713526	1.232307928	6.254531016	5.643044348
-15	0.8461538462	1.943578335	2.393452047	1.231466725	6.36177	5.735880776
-15	0.8974358974	1.976340816	2.432190568	1.230653412	6.469008984	5.828717204
-15	0.9487179487	2.009103296	2.470929089	1.229866625	6.576247968	5.921553632
-15	1	2.041865777	2.50966761	1.229105086	6.683486952	6.014390059
-14.48717949	-1	0.7266080662	0.9531562547	1.311788706	2.378351988	2.28422819
-14.48717949	-0.9487179487	0.7593705467	0.9918947757	1.306206542	2.485590972	2.377064618
-14.48717949	-0.8974358974	0.7921330273	1.030633297	1.301086132	2.592829956	2.469901045
-14.48717949	-0.8461538462	0.8248955078	1.069371818	1.296372459	2.70006894	2.562737473
-14.48717949	-0.7948717949	0.8576579884	1.108110339	1.292018909	2.807307924	2.655573901
-14.48717949	-0.7435897436	0.8904204689	1.14684886	1.287985733	2.914546908	2.748410329
-14.48717949	-0.6923076923	0.9231829494	1.185587381	1.284238819	3.021785892	2.841246757
-14.48717949	-0.641025641	0.95594543	1.224325902	1.280748737	3.129024876	2.934083184
-14.48717949	-0.5897435897	0.9887079105	1.263064423	1.277489954	3.23626386	3.026919612
-14.48717949	-0.5384615385	1.021470391	1.301802944	1.274440214	3.343502844	3.11975604
-14.48717949	-0.4871794872	1.054232872	1.340541465	1.271580029	3.450741828	3.212592468
-14.48717949	-0.4358974359	1.086995352	1.379279986	1.268892257	3.557980812	3.305428895
-14.48717949	-0.3846153846	1.119757833	1.418018507	1.266361767	3.665219796	3.398265323
-14.48717949	-0.3333333333	1.152520313	1.456757028	1.263975143	3.77245878	3.491101751
-14.48717949	-0.2820512821	1.185282794	1.495495549	1.261720458	3.879697763	3.583938179
-14.48717949	-0.2307692308	1.218045274	1.53423407	1.259587063	3.986936747	3.676774606
-14.48717949	-0.1794871795	1.250807755	1.572972591	1.257565429	4.094175731	3.769611034
-14.48717949	-0.1282051282	1.283570235	1.611711112	1.255646998	4.201414715	3.862447462
-14.48717949	-0.07692307692	1.316332716	1.650449633	1.253824062	4.308653699	3.95528389
-14.48717949	-0.02564102564	1.349095196	1.689188154	1.252089666	4.415892683	4.048120317
-14.48717949	0.02564102564	1.381857677	1.727926675	1.250437512	4.523131667	4.140956745
-14.48717949	0.07692307692	1.414620158	1.766665196	1.248861885	4.630370651	4.233793173
-14.48717949	0.1282051282	1.447382638	1.805403717	1.247357589	4.737609635	4.326629601
-14.48717949	0.1794871795	1.480145119	1.844142238	1.245919887	4.844848619	4.419466028
-14.48717949	0.2307692308	1.512907599	1.882880759	1.244544452	4.952087603	4.512302456
-14.48717949	0.2820512821	1.54567008	1.921619281	1.243227326	5.059326587	4.605138884
-14.48717949	0.3333333333	1.57843256	1.960357802	1.241964878	5.166565571	4.697975312
-14.48717949	0.3846153846	1.611195041	1.999096323	1.240753771	5.273804555	4.790811739
-14.48717949	0.4358974359	1.643957521	2.037834844	1.239590937	5.381043539	4.883648167
-14.48717949	0.4871794872	1.676720002	2.076573365	1.238473545	5.488282523	4.976484595
-14.48717949	0.5384615385	1.709482482	2.115311886	1.237398983	5.595521506	5.069321023
-14.48717949	0.5897435897	1.742244963	2.154050407	1.236364835	5.70276049	5.16215745
-14.48717949	0.641025641	1.775007444	2.192788928	1.235368863	5.809999474	5.254993878
-14.48717949	0.6923076923	1.807769924	2.231527449	1.234408991	5.917238458	5.347830306
-14.48717949	0.7435897436	1.840532405	2.27026597	1.233483292	6.024477442	5.440666734
-14.48717949	0.7948717949	1.873294885	2.309004491	1.232589972	6.131716426	5.533503161
-14.48717949	0.8461538462	1.906057366	2.347743012	1.231727363	6.23895541	5.626339589
-14.48717949	0.8974358974	1.938819846	2.386481533	1.230893906	6.346194394	5.719176017
-14.48717949	0.9487179487	1.971582327	2.425220054	1.230088149	6.453433378	5.812012445
-14.48717949	1	2.004344807	2.463958575	1.229308733	6.560672362	5.904848872
-13.97435897	-1	0.6890870969	0.9074472192	1.316883197	2.255537398	2.174687003
-13.97435897	-0.9487179487	0.7218495774	0.9461857402	1.310779655	2.362776382	2.267523431
-13.97435897	-0.8974358974	0.754612058	0.9849242612	1.3052061	2.470015366	2.360359859
-13.97435897	-0.8461538462	0.7873745385	1.023662782	1.300096374	2.57725435	2.453196286
